method,mean_crps_K_mean,mean_crps_K_std,mean_crps_K_count,fixed_top_01_crps_K_mean,fixed_top_01_crps_K_std,fixed_top_01_crps_K_count,hot_region_crps_K_mean,hot_region_crps_K_std,hot_region_crps_K_count,excess_field_rel_l2_mean,excess_field_rel_l2_std,excess_field_rel_l2_count,peak_absolute_error_K_mean,peak_absolute_error_K_std,peak_absolute_error_K_count,hot_region_95_coverage_mean,hot_region_95_coverage_std,hot_region_95_coverage_count,pointwise_95_coverage_mean,pointwise_95_coverage_std,pointwise_95_coverage_count,mean_95_interval_width_K_mean,mean_95_interval_width_K_std,mean_95_interval_width_K_count,hot_region_95_interval_width_K_mean,hot_region_95_interval_width_K_std,hot_region_95_interval_width_K_count
diffusion mean + RBF,0.7282499036063439,0.0033645727227845936,33,2.2498129175233545,0.2278459031539518,33,1.3644707964968346,0.08229979959760217,33,0.4190311356381539,0.07800606387530677,33,7.561496662933659,3.9789303230040964,33,0.94896331738437,0.010275367946452656,33,0.9983885233785273,0.00033875752561157013,33,11.457260571725186,0.016996402729307577,33,12.20792172335263,0.1631637352596499,33
advective mean + RBF,0.7272341561176853,0.003532204199861527,33,2.2859839785422587,0.2377974334753917,33,1.3759577222628507,0.08878156502271983,33,0.4131367677776491,0.07619422839229986,33,7.583863692772888,4.036924105409065,33,0.9457735247208932,0.009161981892405144,33,0.9982915924539274,0.00035018445109222317,33,11.457297198143582,0.016042909469406626,33,12.21433344238248,0.1652114164398871,33
diffusive stochastic forecast,0.8503747725892772,0.003636191819850555,33,2.2138008350013076,0.20969650689991845,33,1.4568156793693858,0.08526018299014827,33,0.4264054519333544,0.07991146271849864,33,7.559611729203301,3.9843264490985133,33,0.9629186602870814,0.01113308042403488,33,0.9987520143457769,0.0003707637562800315,33,13.493287793646525,0.018884876559008744,33,14.603036115840343,0.19162163830160087,33
advective stochastic forecast,0.8497020314647336,0.0035194962612337434,33,2.2479015118630454,0.2299320735719289,33,1.4668900112048573,0.08408479612176893,33,0.4216790828735662,0.07783616478652632,33,7.586386579787879,4.040073261607855,33,0.9625199362041468,0.012791448282535454,33,0.9987883634425019,0.0003933505819854227,33,13.490963777321975,0.018288541925054067,33,14.550172832654837,0.18076043536734276,33
