forcing_multiplier,fixed_top_01_crps_K,mean_crps_K,excess_field_rel_l2,hot_region_95_coverage,hot_region_95_interval_width_K,forcing_marginal_variance_K2,selected
0.5,3.222803438232162,0.17913732381001546,0.35638362183614686,0.7149122807017544,2.6111258354376505,0.25819952199733276,False
1.0,3.1051740213401122,0.21435073365872714,0.35684635947158894,0.7631578947368421,3.234750292299539,0.5163990439946655,False
2.0,2.9803726977804454,0.2661535851945966,0.35744115882697103,0.8070175438596491,4.1726112592910285,1.032798087989331,False
4.0,2.7611471648340777,0.34346336612692413,0.35821931065254725,0.8640350877192983,5.471205187822824,2.065596175978662,False
8.0,2.598189810937001,0.4560341477292484,0.35969931267919186,0.9035087719298245,7.5263146569074415,4.131192351957324,False
16.0,2.522926257696465,0.619900781258889,0.36474039478331804,0.9166666666666666,10.313760690893554,8.262384703914648,False
32.0,2.4123836618784384,0.8545985319244368,0.37339809335138247,0.956140350877193,14.245085806408023,16.524769407829297,True
64.0,2.467181886261128,1.1900786740855052,0.3932916046974419,0.9912280701754387,19.93279590054641,33.04953881565859,False
128.0,2.6382210092427396,1.669440766136247,0.4520170834867165,0.9912280701754387,28.309317479221622,66.09907763131719,False
256.0,3.2649874968068393,2.3449316037904455,0.5137293324716831,0.9868421052631579,39.85987680855693,132.19815526263437,False
