trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,fixed_top_01_crps_K,fixed_top_01_mae_K,fixed_top_03_crps_K,fixed_top_03_mae_K,fixed_top_05_crps_K,fixed_top_05_mae_K,fixed_top_10_crps_K,fixed_top_10_mae_K,true_peak_location_crps_K,true_peak_location_mae_K,field_maximum_crps_K,forcing_multiplier,forcing_marginal_variance_K2
DiagonalScanPath_8,diffusive stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,296.12149833303096,0.37163367003392933,0.374204092591178,336.214847986714,342.6425433083092,6.427695321595195,0.6439175848062055,False,0.9904038384646141,0.7236842105263158,0.18456080085988402,1.4951246928661737,1.8403765717793588,2.9384456629024527,38.43822716268953,1.0,False,0.7236842105263158,2.9384456629024527,38.43822716268953,3.654247221980463,4.1077677734345635,1.4951246928661737,1.7527659972639185,0.9952669664514383,1.181427296462927,0.5819326008905471,0.7005442848717455,6.073124159732745,6.427695321595195,6.073124159732734,0.5,0.25819952199733276
DiagonalScanPath_8,diffusive stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,296.12149833303096,0.3701928297177266,0.3707101273494835,336.214847986714,342.6263931772561,6.4115451905420855,0.8198689136667321,False,0.9944022391043582,0.8157894736842105,0.21911227183075327,1.456418952461764,2.5241303570976514,3.510869654040457,36.13090898038636,1.0,False,0.8157894736842105,3.510869654040457,36.13090898038636,3.512122600435871,4.00782056942291,1.456418952461764,1.724843708225072,0.9852192901707648,1.1685325377237807,0.5927060264301878,0.6959773726269212,5.959741092187023,6.4115451905420855,5.959741092186986,1.0,0.5163990439946655
DiagonalScanPath_8,diffusive stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,296.12149833303096,0.3694194810374424,0.3677169335535467,336.214847986714,342.61312971085516,6.398281724141157,1.0890498047871247,False,0.9948020791683326,0.8289473684210527,0.27046661638173874,1.4241417995772538,3.4783427623177876,4.440747057032099,33.42907441843297,1.0,False,0.8289473684210527,4.440747057032099,33.42907441843297,3.3431480338367714,3.9055590554429043,1.4241417995772538,1.7086441069084686,0.990599195101638,1.1656559307031906,0.6178957605216225,0.6961291487314462,5.8608510991041936,6.398281724141157,5.8608510991042735,2.0,1.032798087989331
DiagonalScanPath_8,diffusive stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,296.12149833303096,0.36821834551606386,0.36473174888203946,336.214847986714,342.60889617210586,6.394048185391853,1.4870025193881513,False,0.9956017592962815,0.8552631578947368,0.34638798023856765,1.3801797325974154,4.823006674318186,5.677851910220482,29.762015973171646,1.0,False,0.8552631578947368,5.677851910220482,29.762015973171646,3.1302852973631357,3.7891521167334474,1.3801797325974154,1.6822606931915247,0.987860465250379,1.1545896584883608,0.65496951451765,0.6916829425406623,5.663089793435411,6.394048185391853,5.663089793435364,4.0,2.065596175978662
DiagonalScanPath_8,diffusive stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,296.12149833303096,0.36774763896720647,0.36246616486322014,336.214847986714,342.59893566901485,6.384087682300844,2.0648764763773064,False,0.9968012794882047,0.8947368421052632,0.45875990323543253,1.4136007417824474,6.735420030002878,7.598637845084325,25.72421139867351,1.0,False,0.8947368421052632,7.598637845084325,25.72421139867351,2.9657146851226517,3.6529062503896492,1.4136007417824474,1.69392544884462,1.0527261836102746,1.1782625981883916,0.746582992376812,0.7043447325977402,5.106295049310898,6.384087682300844,5.1062950493109245,8.0,4.131192351957324
DiagonalScanPath_8,diffusive stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,296.12149833303096,0.3691093660627941,0.36219634402885315,336.214847986714,342.5988690239165,6.384021037202501,2.891923002965702,False,0.9968012794882047,0.8947368421052632,0.622859239093239,1.5028030819341704,9.439218778195976,10.316273159716127,22.119511743140368,1.0,False,0.8947368421052632,10.316273159716127,22.119511743140368,2.8872327608599586,3.559397378746212,1.5028030819341704,1.7472127535650552,1.1820469673510825,1.2316079528658355,0.8879674323487972,0.7316880851236998,5.267898104915617,6.384021037202501,5.26789810491558,16.0,8.262384703914648
DiagonalScanPath_8,diffusive stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,296.12149833303096,0.37358469810374934,0.3662089508031097,336.214847986714,342.61447181537454,6.399623828660538,4.0696398978458435,True,0.9988004798080767,0.9605263157894737,0.8548468631048667,1.5907733983756664,13.292426376645814,14.188032387132449,20.41078631516499,1.0,True,0.9605263157894737,14.188032387132449,20.41078631516499,2.7814080463674253,3.6052091224411984,1.5907733983756664,1.7831857815584868,1.3229535795781007,1.266927711904694,1.0849173315683696,0.7497530082706838,4.799821728366101,6.399623828660538,4.7998217283661635,32.0,16.524769407829297
DiagonalScanPath_8,diffusive stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,296.12149833303096,0.3864410425838902,0.37568463038703714,336.214847986714,342.6197946948385,6.404946708124498,5.740914036810044,True,0.9996001599360256,0.9868421052631579,1.1898510299197602,1.8780106769065226,18.748913701477708,20.036019958838732,20.679303293410058,1.0,True,0.9868421052631579,20.036019958838732,20.679303293410058,2.765284234011704,3.546539437452874,1.8780106769065226,1.972592128440909,1.6467312324745025,1.434760969786109,1.413473336218003,0.8343942715252574,3.587757415169984,6.404946708124498,3.5877574151699307,64.0,33.04953881565859
DiagonalScanPath_8,diffusive stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,296.12149833303096,0.4202695369004633,0.4045993709047778,336.214847986714,342.6314844047741,6.4166364180600794,8.108601842662734,True,0.9996001599360256,0.9868421052631579,1.6659803992809357,2.2654488934280255,26.450033514472747,28.26669742541477,28.431607607222258,1.0,True,0.9868421052631579,28.26669742541477,28.431607607222258,2.8270443943087744,3.661904585589092,2.2654488934280255,2.2564496797716673,2.0854979908503575,1.6787888113997873,1.875281291479649,0.957400315159232,3.4189861074290544,6.4166364180600794,3.41898610742909,128.0,66.09907763131719
DiagonalScanPath_8,diffusive stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,296.12149833303096,0.4802639750291011,0.4549562355918798,336.214847986714,342.6418406081344,6.426992621420368,11.46000201887892,True,0.9996001599360256,0.9868421052631579,2.341599195448682,3.00329548933905,37.365016656761384,39.78077131526341,40.18073021449441,1.0,True,0.9868421052631579,39.78077131526341,40.18073021449441,3.5313217782671873,3.759200960534514,3.00329548933905,2.5904341370949453,2.8283755115511187,1.985699514330232,2.5740928210667184,1.112178061952919,4.379834727473401,6.426992621420368,4.477881186368406,256.0,132.19815526263437
