family,method,mean_crps_K_mean,mean_crps_K_std,mean_crps_K_count,fixed_top_01_crps_K_mean,fixed_top_01_crps_K_std,fixed_top_01_crps_K_count,hot_region_crps_K_mean,hot_region_crps_K_std,hot_region_crps_K_count,excess_field_rel_l2_mean,excess_field_rel_l2_std,excess_field_rel_l2_count,peak_absolute_error_K_mean,peak_absolute_error_K_std,peak_absolute_error_K_count,hot_region_95_coverage_mean,hot_region_95_coverage_std,hot_region_95_coverage_count,pointwise_95_coverage_mean,pointwise_95_coverage_std,pointwise_95_coverage_count,mean_95_interval_width_K_mean,mean_95_interval_width_K_std,mean_95_interval_width_K_count,hot_region_95_interval_width_K_mean,hot_region_95_interval_width_K_std,hot_region_95_interval_width_K_count
Diagonal,diffusion mean + RBF,0.7311650611147635,0.0029948614684684677,7,2.4850218188900506,0.18893557701504493,7,1.4590080173558193,0.08375423684509618,7,0.41757473956496244,0.023936113079584438,7,5.618202488979575,3.464737953378311,7,0.9454887218045113,0.009079809991346752,7,0.998343519734963,0.0002759158573939481,7,11.459529464178408,0.024522402806578282,7,12.179603710081917,0.09850844752187314,7
Diagonal,advective mean + RBF,0.7298965738029322,0.0035055998288216522,7,2.536913925321707,0.22272100272136613,7,1.4776738827364848,0.09428452813633482,7,0.4100747434745475,0.020827078154546493,7,5.633662499111308,3.444436713415448,7,0.9379699248120301,0.0064203952167666304,7,0.9980579196892672,0.00027591585739393396,7,11.458935207079422,0.020288152770116936,7,12.241929405645958,0.190464560537542,7
Diagonal,diffusive stochastic forecast,0.8531486382453467,0.0036301126982483368,7,2.4423132669037058,0.16952900301098273,7,1.551074371215392,0.09713248439934916,7,0.4249276126924624,0.026573075234120235,7,5.59231556096831,3.5180379145550202,7,0.9530075187969924,0.010352576216703211,7,0.9984006397441023,0.00023084776856842972,7,13.495780124753733,0.025398826693013257,7,14.6018154490538,0.1954596073728963,7
Diagonal,advective stochastic forecast,0.852444892161527,0.003562678803423686,7,2.501604779060583,0.18563589834230532,7,1.5669659770253919,0.08940342238190478,7,0.4181914430430811,0.021847262245773918,7,5.6225314429751405,3.51362573677184,7,0.9511278195488722,0.009946433500242845,7,0.9984006397441023,0.00023084776856840006,7,13.496146358078338,0.027767469855881615,7,14.563696352244694,0.19930626298554766,7
Horizontal,diffusion mean + RBF,0.7270223440337652,0.0031660975293507335,11,2.1628639844111692,0.18820533767066985,11,1.3337209922490256,0.05217546567956265,11,0.5021183259671911,0.06519178656295639,11,11.361711492637209,1.8518392390115614,11,0.9533492822966507,0.006871486419303884,11,0.998582385227727,0.00020880966328152022,11,11.44851078963152,0.012303231702218509,11,12.228710561611468,0.16591320101730092,11
Horizontal,advective mean + RBF,0.7258921073294593,0.0031726030505318547,11,2.1743586348537387,0.18320131287153182,11,1.3335178025856265,0.05016778135474477,11,0.4939389039154209,0.06600508985412494,11,11.443070608008917,1.7590469895278726,11,0.9521531100478469,0.006638486567230459,11,0.9985096870342772,0.0002585644904769315,11,11.447117809243702,0.012613102021391402,11,12.215735034836564,0.15819249703462018,11
Horizontal,diffusive stochastic forecast,0.8494668622234701,0.0035252344187786315,11,2.168487805836819,0.17646830458863516,11,1.4424439250625753,0.05016873562056471,11,0.5128615377985016,0.06337601560182025,11,11.326168147651071,1.8678069086883415,11,0.9665071770334929,0.0068714864193038724,11,0.9989095270982516,0.0003143724082794399,11,13.48181301711919,0.013617332555981488,11,14.631077744623628,0.20314749114637795,11
Horizontal,advective stochastic forecast,0.8486421188101976,0.0035160154916622196,11,2.1705298015018353,0.18228969336451806,11,1.4445853901113745,0.05077980711127185,11,0.5059167804871674,0.06254961190743524,11,11.404221229451702,1.7740204893964109,11,0.9641148325358851,0.010345334119827607,11,0.9988731780015265,0.0003001828042901004,11,13.479975422381829,0.01355409420734294,11,14.58616155938875,0.18822115836555992,11
Spiral,diffusion mean + RBF,0.7270315304658793,0.0019236413948362854,12,2.1751058915147627,0.11451525100931668,12,1.3230021911232759,0.03022167270784502,12,0.35673382128945447,0.03561020725136345,12,5.353528717193403,2.8329142997918666,12,0.9484649122807017,0.011846534702348938,12,0.9982673597227776,0.000393735277023038,12,11.46509608388704,0.014723926776617364,12,12.262375215979937,0.1069659316519868,12
Spiral,advective mean + RBF,0.7264359148711085,0.0021634558667783252,12,2.2289721454879348,0.09584380529129394,12,1.3429210397645248,0.030926352484341304,12,0.35483788806146466,0.03313395000269638,12,5.419062998098265,2.945208672189295,12,0.9451754385964911,0.009443954770595687,12,0.9982340397174463,0.0003983226389026489,12,11.467167734999164,0.01211611108579895,12,12.238160020337576,0.12380360646695701,12
Spiral,diffusive stochastic forecast,0.8488657371266141,0.0025052592727391088,12,2.1025442256339435,0.10322283985792025,12,1.4008269293771587,0.03961508316771022,12,0.3619714950823349,0.036087621159900864,12,5.379872705024795,2.8657297913756516,12,0.9660087719298245,0.01184653470234895,12,0.9988004798080766,0.0003812325426811847,12,13.50191272839894,0.01652724826125909,12,14.574796331825373,0.1988011564544578,12
Spiral,advective stochastic forecast,0.8487889844487628,0.002531382738623049,12,2.1567750564736214,0.119231458153813,12,1.4204166829364961,0.0353341104027871,12,0.3620786565523643,0.03614897270438543,12,5.450824635071825,2.9827163118199436,12,0.9682017543859649,0.008796814781862148,12,0.9989337598294016,0.00031127506763756224,12,13.497222277067303,0.013706802126757862,12,14.52688249361698,0.1609176726162576,12
