method,baseline,n_held_out,mean_crps_K_mean_change,mean_crps_K_median_change,mean_crps_K_win_count,fixed_top_01_crps_K_mean_change,fixed_top_01_crps_K_median_change,fixed_top_01_crps_K_win_count,excess_field_rel_l2_mean_change,excess_field_rel_l2_median_change,excess_field_rel_l2_win_count,peak_absolute_error_K_mean_change,peak_absolute_error_K_median_change,peak_absolute_error_K_win_count,hot_region_95_coverage_mean_change,hot_region_95_coverage_median_change,hot_region_95_coverage_win_count
advective mean + RBF,diffusion mean + RBF,30,-0.0009486467355811416,-0.0009419243657319276,25,0.03786936491893072,0.02809508174575326,6,-0.005507493797941816,-0.006422073827998448,24,0.059652723695641424,0.01916745607891812,12,-0.0035087719298245576,0.0,3
diffusive stochastic forecast,diffusion mean + RBF,30,0.12209284066432186,0.12205787096280912,0,-0.036927927293069915,-0.036328781737911875,19,0.007749917585049334,0.006216381838271001,0,-0.008535247898322496,-0.0028896268697451433,19,0.013596491228070199,0.013157894736842146,21
advective stochastic forecast,diffusive stochastic forecast,30,-0.0004973144088984194,-0.000702435990614092,22,0.03627575024964853,0.02002306841264745,8,-0.0040753193443330915,-0.004907791206717915,22,0.06405060781397083,0.03509284813762292,9,-0.00043859649122806785,0.0,7
advective stochastic forecast,diffusion mean + RBF,30,0.12159552625542344,0.12166308946872961,0,-0.0006521770434213832,0.015945078435624538,11,0.0036745982407162424,0.003228089994224498,9,0.055515359915648335,0.022448576565807343,12,0.01315789473684213,0.013157894736842146,18
