trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,fixed_top_01_crps_K,fixed_top_01_mae_K,fixed_top_03_crps_K,fixed_top_03_mae_K,fixed_top_05_crps_K,fixed_top_05_mae_K,fixed_top_10_crps_K,fixed_top_10_mae_K,true_peak_location_crps_K,true_peak_location_mae_K,field_maximum_crps_K,family,run_index,role,fraction_saturated,forcing_multiplier,forcing_marginal_variance_K2,base_forcing_intensity_K2_per_s,displacement_m,crps_estimator,previous_n_saturated,previous_saturated_fraction,previous_clipped_hot_mae_K,previous_posterior_hot_mae_K,previous_posterior_hot_95_coverage
DiagonalScanPath_1,diffusion mean + RBF,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,294.6560504149699,0.4294029991440326,0.3851136907518022,334.19579037327884,341.3672500501756,7.171459676896745,3.4196267389530575,True,0.9988004798080767,0.9605263157894737,0.7299683265097286,1.3916884388203061,11.45332749617605,12.319257041988282,17.9848650143598,1.0,True,0.9605263157894737,12.319257041988282,17.9848650143598,2.301110684481217,2.953976025595632,1.3916884388203061,1.624991633014635,1.1862983418401283,1.2461193665618913,0.9486735806358431,0.7642456147443686,5.235796354021552,7.171459676896745,5.235796354021631,Diagonal,1,evaluation,0.03,32.0,,,0.0001437529593419603,unbiased_M_times_M_minus_1,85,0.03398640543782487,2.331933136134589,2.0635505257513413,0.47058823529411764
DiagonalScanPath_1,advective mean + RBF,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,294.6560504149699,0.41356462426365104,0.3817541573327161,334.19579037327884,341.2595438213388,7.06375344805997,3.4196267389530575,False,0.9976009596161536,0.9342105263157895,0.7266754040259606,1.3510566981633012,11.457425795427344,12.207162694157484,18.25835923706308,1.0,False,0.9342105263157895,12.207162694157484,18.25835923706308,2.250154995095776,2.9655493337764676,1.3510566981633012,1.5801741489225065,1.1631930049239525,1.2213110754701593,0.9393128315156898,0.7399199584751691,5.002893273171003,7.06375344805997,5.002893273170941,Diagonal,1,evaluation,0.03,32.0,,,0.0001437529593419603,unbiased_M_times_M_minus_1,85,0.03398640543782487,2.331933136134589,2.0635505257513413,0.47058823529411764
DiagonalScanPath_1,diffusive stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,294.6560504149699,0.4423304960290758,0.39361034535795336,334.19579037327884,341.4556273636767,7.259836990397844,4.1089910500313565,True,0.9984006397441023,0.9605263157894737,0.853000040082821,1.482591286993434,13.494226073760196,14.474616089592534,18.71576076963254,1.0,True,0.9605263157894737,14.474616089592534,18.71576076963254,2.2349475274038912,2.931671595659216,1.482591286993434,1.703313544320002,1.2960141254824942,1.3319180797273633,1.0705112383959023,0.8130502370298611,4.5534084497047225,7.259836990397844,4.553408449704725,Diagonal,1,evaluation,0.03,32.0,16.524769407829076,1077.1162951691497,0.0001437529593419603,unbiased_M_times_M_minus_1,85,0.03398640543782487,2.331933136134589,2.0635505257513413,0.47058823529411764
DiagonalScanPath_1,advective stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,294.6560504149699,0.42361724627753566,0.3869170506260698,334.19579037327884,341.2960614156026,7.1002710423237545,4.072786128791171,True,0.9984006397441023,0.9605263157894737,0.8493606716805555,1.4426942051294265,13.489511104885436,14.396749185913228,17.843971210043193,1.0,True,0.9605263157894737,14.396749185913228,17.843971210043193,2.274306708559578,2.944393991639845,1.4426942051294265,1.6345387728317515,1.264458845818874,1.290939995979556,1.0502912273079719,0.7809422656964209,4.806311250493302,7.1002710423237545,4.806311250493344,Diagonal,1,evaluation,0.03,32.0,16.524769407829076,1077.1162951691497,0.0001437529593419603,unbiased_M_times_M_minus_1,85,0.03398640543782487,2.331933136134589,2.0635505257513413,0.47058823529411764
DiagonalScanPath_2,diffusion mean + RBF,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,1,294.7833581687172,0.45001204007758955,0.4208153877723474,330.73381085494185,327.4142562418244,3.319554613117475,3.4196267389530575,True,0.9984006397441023,0.9473684210526315,0.728947942398128,1.4124691677417573,11.467866173339916,12.094881551908074,18.455383543214197,1.0,True,0.9473684210526315,12.094881551908074,18.455383543214197,2.554681276486041,3.6108705912425547,1.4124691677417573,1.6119387135174754,1.153155925241213,1.1533146264765308,0.9385624412432046,0.6873267305694661,1.8960160996467923,3.319554613117475,1.6579367654871713,Diagonal,2,evaluation,0.03,32.0,,,0.00015351501602884935,unbiased_M_times_M_minus_1,76,0.030387844862055178,2.5723192018558456,2.190519750972342,0.5657894736842105
DiagonalScanPath_2,advective mean + RBF,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,1,294.7833581687172,0.44289889607874466,0.4229050484709737,330.73381085494185,327.15490584756236,3.5789050073794897,3.4196267389530575,True,0.998000799680128,0.9342105263157895,0.7286741052433066,1.4394907905785204,11.467442168856664,12.230374872002416,17.715064227867,1.0,True,0.9342105263157895,12.230374872002416,17.715064227867,2.6443157320890567,3.636110497349093,1.4394907905785204,1.5955970311907328,1.1664989765628624,1.141141842322486,0.9414499450185045,0.6730040103043121,2.3269708676248975,3.5789050073794897,2.092108656169808,Diagonal,2,evaluation,0.03,32.0,,,0.00015351501602884935,unbiased_M_times_M_minus_1,76,0.030387844862055178,2.5723192018558456,2.190519750972342,0.5657894736842105
DiagonalScanPath_2,diffusive stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,1,294.7833581687172,0.4544555841359705,0.4227196426113893,330.73381085494185,327.417287592432,3.316523262509861,4.066078283263772,True,0.9984006397441023,0.9473684210526315,0.8503216902990691,1.5020392840196506,13.5001923954585,14.420025527572792,18.143380433014887,1.0,True,0.9473684210526315,14.420025527572792,18.143380433014887,2.609656996723288,3.609989131199418,1.5020392840196506,1.6379617224820173,1.262011583963706,1.1873008934802205,1.0531244226104002,0.7068497493752943,1.9327439839678333,3.316523262509861,1.4387971935603745,Diagonal,2,evaluation,0.03,32.0,16.524769407829297,1077.1162951691497,0.00015351501602884935,unbiased_M_times_M_minus_1,76,0.030387844862055178,2.5723192018558456,2.190519750972342,0.5657894736842105
DiagonalScanPath_2,advective stochastic forecast,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,1,294.7833581687172,0.4474223591625204,0.4249214813121487,330.73381085494185,327.1574881244062,3.576322730535651,4.058695152361402,True,0.9984006397441023,0.9473684210526315,0.8506306164365534,1.5068962059796145,13.498420653157499,14.426205518044164,18.127549111039105,1.0,True,0.9473684210526315,14.426205518044164,18.127549111039105,2.5858432161945095,3.6359237718899524,1.5068962059796145,1.621993487983957,1.2674437480642682,1.176926678298445,1.0555380478274399,0.6929945999412435,2.097780168676219,3.576322730535651,1.6980568410738002,Diagonal,2,evaluation,0.03,32.0,16.524769407829297,1077.1162951691497,0.00015351501602884935,unbiased_M_times_M_minus_1,76,0.030387844862055178,2.5723192018558456,2.190519750972342,0.5657894736842105
DiagonalScanPath_3,diffusion mean + RBF,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,294.9015209525281,0.43389213873423843,0.40831988592733587,326.4740358780628,333.4254850584476,6.95144918038477,3.419801081179824,True,0.9984006397441023,0.9473684210526315,0.7304429741522486,1.4226514039875813,11.458596969806527,12.198357258521256,18.89114723012533,1.0,True,0.9473684210526315,12.198357258521256,18.89114723012533,2.4396810941860947,3.008653202192337,1.4226514039875813,1.5573483966623336,1.1719351438655268,1.1799007729280806,0.9480077616661642,0.7264896893034547,3.5763208337646457,5.58720419666821,5.291281181492266,Diagonal,3,evaluation,0.03,32.0,,,0.00015850959871082173,unbiased_M_times_M_minus_1,80,0.03198720511795282,2.5364864097536155,2.032651194332652,0.7
DiagonalScanPath_3,advective mean + RBF,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,117,2,294.9015209525281,0.42532220157846473,0.4133545086615277,326.4740358780628,333.37541734493607,6.901381466873261,3.419881396702813,True,0.9984006397441023,0.9473684210526315,0.7284082176776702,1.470876317571298,11.459972935546396,12.576168615679942,18.79030424713444,1.0,True,0.9473684210526315,12.576168615679942,18.79030424713444,2.4637429714739416,3.066737116610286,1.470876317571298,1.628994100538634,1.1833233157098608,1.1616674939083995,0.9502958198484862,0.6922604883097584,4.540082095999455,5.888756755716258,4.8170326023780445,Diagonal,3,evaluation,0.03,32.0,,,0.00015850959871082173,unbiased_M_times_M_minus_1,80,0.03198720511795282,2.5364864097536155,2.032651194332652,0.7
