fraction_saturated,method,baseline,n_held_out,mean_crps_K_mean_change,mean_crps_K_median_change,mean_crps_K_win_count,fixed_top_01_crps_K_mean_change,fixed_top_01_crps_K_median_change,fixed_top_01_crps_K_win_count,excess_field_rel_l2_mean_change,excess_field_rel_l2_median_change,excess_field_rel_l2_win_count,peak_absolute_error_K_mean_change,peak_absolute_error_K_median_change,peak_absolute_error_K_win_count,hot_region_95_coverage_mean_change,hot_region_95_coverage_median_change,hot_region_95_coverage_win_count
0.03,physics mean + advective forced space-time,physics mean + RBF,30,-0.1633052494776396,-0.15928814027018734,30,-0.15758442268116496,-0.12525911499137532,21,0.010828663993336147,0.012094216788561207,8,-0.14051260652623992,-0.09087930100295671,20,-0.01403508771929826,-0.013157894736842035,1
0.03,physics mean + advective forced space-time,physics mean + space-time,30,-0.15854504122241048,-0.15560053014774777,30,-0.1595951331103196,-0.09721072136395836,24,0.0038591346760919834,0.006753021512251378,9,-0.12374466258002594,-0.11684897942700445,20,-0.011842105263157912,-0.013157894736842035,3
0.03,physics mean + advective forced space-time,physics mean + advective space-time,30,-0.14502000041245777,-0.1420205302074551,30,-0.1354194954295379,-0.09898090236080659,24,0.005350645221520335,0.004333522423437042,11,-0.10373321145673126,-0.03427729213791597,18,-0.010964912280701743,-0.013157894736842035,1
0.03,physics mean + advective forced space-time,physics mean + forced space-time,30,-0.025444186168740203,-0.02288044017394192,30,-0.015298696220276043,-0.01780952247963974,18,-0.014494784854456821,-0.013157780502422,20,-0.04764445858363993,-0.04403624020497521,20,-0.0017543859649122714,0.0,6
