method,field_rel_l2,hot_region_rel_l2,peak_true,peak_pred,peak_abs_error,true_peak_x,true_peak_y,posterior_mean_at_true_peak,posterior_sd_at_true_peak,peak_ci_lower,peak_ci_upper,true_peak_in_95,lengthscale,noise_sd,signal_sd,actual_frac_saturated,threshold
exact clipped,0.10429277577149469,0.24891479514522236,1303.4432712568118,829.8326653569519,473.61060589985993,0.33870967741935454,-0.11290322580645151,794.8343437474863,15.147024310571977,765.1461760987652,824.5225113962074,False,0.7,20.0,500.0,0.031141868512110725,808.9584790988589
discard saturated,0.04876384346639204,0.10077339755330264,1303.4432712568118,1106.109290014219,197.33398124259293,0.33870967741935454,-0.11290322580645151,1087.400187400211,89.51471610650837,911.9513438314547,1262.8490309689676,False,0.7,20.0,500.0,0.031141868512110725,808.9584790988589
censored Laplace,0.0427663380139813,0.08172146104125069,1303.4432712568118,1130.4521676608902,172.9911035959217,0.33870967741935454,-0.11290322580645151,1126.471192603749,85.72148978010858,958.457072634736,1294.4853125727618,False,0.7,20.0,500.0,0.031141868512110725,808.9584790988589
censored sampled,0.04269123775087924,0.08067867669579708,1303.4432712568118,1131.9966771974714,171.44659405934044,0.33870967741935454,-0.11290322580645151,1129.2203803654497,81.23750993757712,973.6310844968549,1287.9421519318123,False,0.7,20.0,500.0,0.031141868512110725,808.9584790988589
oracle true,0.0015798401900014715,0.0031009586130576706,1303.4432712568118,1297.834545062784,5.608726194027895,0.33870967741935454,-0.11290322580645151,1297.834545062784,15.147024310571977,1268.146377414063,1327.522712711505,True,0.7,20.0,500.0,0.031141868512110725,808.9584790988589
