trajectory,family,run_index,role,model,state_representation,propagation,gamma_mode,region_basis,stage,field_excess_rel_l2,overall_rmse_K,overall_mae_K,overall_signed_error_K,overall_crps_K,top_1pct_rmse_K,top_1pct_mae_K,top_1pct_signed_error_K,top_1pct_crps_K,top_1pct_coverage_95,top_1pct_interval_width_95_K,peak_absolute_error_K,mean_posterior_sd_K
DiagonalScanPath_1,Diagonal,1,evaluation,coherent latent previous state | moment-matched | development-recalibrated gamma,coherent latent previous state,moment-matched,development-recalibrated gamma,current-frame truth,current forecast before Y_n,0.4127981189662162,0.5080254114200488,0.1387419626013607,0.04640438608744814,0.6608710630551844,4.249794834681723,2.9938006611074,-2.194823022387285,2.6136700023541386,0.4230769230769231,3.3569329552247646,6.123233290219446,2.642889043922909
DiagonalScanPath_1,Diagonal,1,evaluation,coherent latent previous state | moment-matched | development-recalibrated gamma,coherent latent previous state,moment-matched,development-recalibrated gamma,current-frame truth,current posterior after Y_n,0.48022318127535324,0.591004580766567,0.3201745077050677,0.022886323325026013,0.5487976639173899,4.232817398097215,2.9635356402464916,-2.1411119313124933,2.6065219412366596,0.4230769230769231,3.1182186134639815,6.151740944614971,2.0794951132229027
DiagonalScanPath_1,Diagonal,1,evaluation,strict oracle | exact previous state | fixed gamma,true previous state,exact state; innovation only,fixed gamma,current-frame truth,current forecast before Y_n,0.5668798341307599,0.6976518247738861,0.030216813230094994,0.02818349946101419,0.1920156305285051,6.8405955043632165,2.6432379891357263,2.6432379891357263,2.518670847637048,0.7692307692307693,2.7617013499674123,17.655371725178156,0.7159318740849088
DiagonalScanPath_1,Diagonal,1,evaluation,strict oracle | exact previous state | fixed gamma,true previous state,exact state; innovation only,fixed gamma,current-frame truth,current posterior after Y_n,0.5697706800387721,0.701209552181772,0.07837707633808139,0.028401004100866097,0.18233492659884232,6.834584005312577,2.6379725019386626,2.636307763460967,2.500163605380952,0.7692307692307693,2.694097311222464,17.632773411617336,0.6580407905687441
DiagonalScanPath_1,Diagonal,1,evaluation,recalibrated oracle | exact previous state | development-recalibrated gamma,true previous state,exact state; innovation only,development-recalibrated gamma,current-frame truth,current forecast before Y_n,0.3910734116630491,0.4812890895750968,0.02287692762169221,0.006494659106209417,0.18455121958550957,4.703619488367048,1.8609889444051821,0.6920002638450762,1.7482007241648807,0.8461538461538461,2.7617013499674123,4.778333705094553,0.7159318740849088
DiagonalScanPath_1,Diagonal,1,evaluation,recalibrated oracle | exact previous state | development-recalibrated gamma,true previous state,exact state; innovation only,development-recalibrated gamma,current-frame truth,current posterior after Y_n,0.39602143646892485,0.4873785609709859,0.07115097679476368,0.006712163746061349,0.17521774491916953,4.702746182195189,1.8583075356913066,0.6850700381703169,1.7494819866384894,0.8461538461538461,2.694097311222464,4.7666537940293665,0.6580407905687441
DiagonalScanPath_2,Diagonal,2,evaluation,hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current-frame truth,current forecast before Y_n,0.43228718039238645,0.5185463672486894,0.16142081027366845,0.051469538659019494,0.22024584811838194,4.687425872139243,3.6350595383703923,-2.8169487825029718,3.245041351082684,0.19230769230769232,2.754073225081024,3.3473659582493838,0.7159318740849122
DiagonalScanPath_2,Diagonal,2,evaluation,hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current-frame truth,current posterior after Y_n,0.43515150874576813,0.5219822476763841,0.18760012542977514,0.04383276035427724,0.2127820150350421,4.669622559268472,3.6178180668348388,-2.7939759674422757,3.2436849646918207,0.15384615384615385,2.685615011131102,3.32640331151822,0.6576942420071075
DiagonalScanPath_2,Diagonal,2,evaluation,hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current-frame truth,current forecast before Y_n,0.43228718039238645,0.5185463672486894,0.16142081027366845,0.051469538659019494,0.22008124024364498,4.687425872139243,3.6350595383703923,-2.8169487825029718,3.2133464751180676,0.23076923076923078,3.025763073253739,3.3473659582493838,0.7184373254567812
DiagonalScanPath_2,Diagonal,2,evaluation,hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current-frame truth,current posterior after Y_n,0.43516959740266803,0.5220039457691088,0.18761155763572449,0.043674896053376905,0.2125763998862669,4.670146771738281,3.619091211954784,-2.7952982882937887,3.2120329646173924,0.2692307692307692,2.9539354607532924,3.32165691731916,0.6600748546608661
DiagonalScanPath_2,Diagonal,2,evaluation,hybrid previous state | mean-only | development-recalibrated gamma,hybrid previous state,mean-only,development-recalibrated gamma,current-frame truth,current forecast before Y_n,0.43189465047680364,0.5180755113663171,0.1614193432141045,0.050963085044733035,0.22026042628900885,4.683324791657966,3.6380286386973397,-2.86255550422837,3.248864164018821,0.19230769230769232,2.754073225081024,3.872433288143384,0.7159318740849122
DiagonalScanPath_2,Diagonal,2,evaluation,hybrid previous state | mean-only | development-recalibrated gamma,hybrid previous state,mean-only,development-recalibrated gamma,current-frame truth,current posterior after Y_n,0.4347438200172162,0.5214932081703618,0.18759865837021114,0.04332630673999083,0.21279571587588192,4.6652906886547845,3.620787167161784,-2.8395826891676674,3.247428185341634,0.15384615384615385,2.685615011131102,3.8514706414121633,0.6576942420071075
DiagonalScanPath_2,Diagonal,2,evaluation,hybrid previous state | moment-matched | development-recalibrated gamma,hybrid previous state,moment-matched,development-recalibrated gamma,current-frame truth,current forecast before Y_n,0.43189465047680364,0.5180755113663171,0.1614193432141045,0.050963085044733035,0.22009625144481762,4.683324791657966,3.6380286386973397,-2.86255550422837,3.217178257577965,0.23076923076923078,3.025763073253737,3.872433288143384,0.7184373254567812
DiagonalScanPath_2,Diagonal,2,evaluation,hybrid previous state | moment-matched | development-recalibrated gamma,hybrid previous state,moment-matched,development-recalibrated gamma,current-frame truth,current posterior after Y_n,0.4347603394443487,0.5215130239070228,0.18761009057616054,0.043168442439090376,0.21259048813222045,4.665795113872641,3.6220603122817354,-2.8409050100191915,3.2157908111030244,0.2692307692307692,2.9539354607532924,3.84672424721316,0.6600748546608661
DiagonalScanPath_2,Diagonal,2,evaluation,coherent latent previous state | mean-only | fixed gamma,coherent latent previous state,mean-only,fixed gamma,current-frame truth,current forecast before Y_n,0.44722511967861106,0.5364650437729902,0.14485548534724435,-0.014274708494286,0.2268061715908875,4.689717053037025,3.6346296028448117,-2.8164051175908447,3.2449438398240953,0.19230769230769232,2.754073225081024,3.346162574379548,0.7159318740849122
DiagonalScanPath_2,Diagonal,2,evaluation,coherent latent previous state | mean-only | fixed gamma,coherent latent previous state,mean-only,fixed gamma,current-frame truth,current posterior after Y_n,0.4462491744860497,0.5352943571156226,0.161738190354645,-0.02206133537662061,0.2158313330275226,4.674028517284243,3.620469396951213,-2.7968569077227765,3.2497545485698227,0.19230769230769232,2.6317799828414215,3.326441831071918,0.6577007362896288
DiagonalScanPath_2,Diagonal,2,evaluation,coherent latent previous state | moment-matched | fixed gamma,coherent latent previous state,moment-matched,fixed gamma,current-frame truth,current forecast before Y_n,0.44722511967861106,0.5364650437729902,0.14485548534724435,-0.014274708494286,0.6692542364449146,4.689717053037025,3.6346296028448117,-2.8164051175908447,3.211838966273485,0.23076923076923078,3.0393067089019827,3.346162574379548,2.678998574927976
DiagonalScanPath_2,Diagonal,2,evaluation,coherent latent previous state | moment-matched | fixed gamma,coherent latent previous state,moment-matched,fixed gamma,current-frame truth,current posterior after Y_n,0.5225336139469131,0.6268007000150985,0.3416548641044232,-0.00047846293410720654,0.5510603940306729,4.676027747167037,3.6196454213394023,-2.7929890647396336,3.2159678963617533,0.23076923076923078,2.874728901644132,3.3146380373061106,2.079431076542415
