region,n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,model,state_representation,propagation,gamma_mode,region_basis,stage
above_camera_ceiling,76,2.5552963758274725,1.4546069631998535,-0.4926563904242009,0.8134804704584999,0.6973684210526315,3.1040594977257987,1.0,0.0,0.6421274030758233,3.160734938929396,1.8159939473819762,0.9709539879247223,0.27631578947368424,1.1988136579130104,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current-frame truth,current posterior after Y_n
current_top_1pct,26,4.212227552233456,2.93836909283615,-2.142042254361826,0.8181486754000471,0.34615384615384615,3.0693884941367875,1.0,0.0,2.689026251794504,5.2049366305895255,3.6649415227457585,2.467623512695754,0.6153846153846154,2.5730505039512894,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current-frame truth,current posterior after Y_n
overall,2501,0.4880072343431168,0.15778978655441084,0.06800738955718691,0.7159318740849088,0.9900039984006398,2.736460163123701,1.0,0.0,-0.09499142588687332,0.6816392061980465,0.22039776725417476,0.06602685015597999,0.009596161535385846,0.22068849782889363,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | mean-only | development-recalibrated gamma,hybrid previous state,mean-only,development-recalibrated gamma,current-frame truth,current forecast before Y_n
above_camera_ceiling,76,2.5516132321074876,1.451227747547355,-0.5622166956915674,0.7159318740849087,0.7105263157894737,2.749062118874823,1.0,0.0,0.785293567785598,3.564044742900873,2.027047265359275,1.172435140603977,0.27631578947368424,1.2021489338367264,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | mean-only | development-recalibrated gamma,hybrid previous state,mean-only,development-recalibrated gamma,current-frame truth,current forecast before Y_n
current_top_1pct,26,4.214478938369124,2.947811346424529,-2.231065399068399,0.7159318740849085,0.38461538461538464,2.7617013499674123,1.0,0.0,3.11630963758962,5.886703876337391,4.117446719623104,2.6017949739231137,0.6153846153846154,2.607464368835441,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | mean-only | development-recalibrated gamma,hybrid previous state,mean-only,development-recalibrated gamma,current-frame truth,current forecast before Y_n
overall,2501,0.49140556083346804,0.17910836336025598,0.0446412395249511,0.6583953771263871,0.9896041583366654,2.5176864895930122,1.0,0.0,-0.06697991453581731,0.7104491816591587,0.273739910670338,0.1391153243113759,0.010795681727309077,0.21053194714622328,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | mean-only | development-recalibrated gamma,hybrid previous state,mean-only,development-recalibrated gamma,current-frame truth,current posterior after Y_n
above_camera_ceiling,76,2.548010236712162,1.4395635839152277,-0.5412994126626723,0.6874218052197512,0.7105263157894737,2.6281475712538143,1.0,0.0,0.793136074114628,3.622983486547909,2.0694449427351556,1.194119067953379,0.3026315789473684,1.202831189963922,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | mean-only | development-recalibrated gamma,hybrid previous state,mean-only,development-recalibrated gamma,current-frame truth,current posterior after Y_n
current_top_1pct,26,4.208799795724072,2.9346154168458507,-2.2201049218539834,0.696290274310901,0.38461538461538464,2.649461304270867,1.0,0.0,3.1974842330011586,5.977931492453081,4.198116696294813,2.749828844600727,0.6538461538461539,2.60486473616081,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | mean-only | development-recalibrated gamma,hybrid previous state,mean-only,development-recalibrated gamma,current-frame truth,current posterior after Y_n
overall,2501,0.4880072343431168,0.15778978655441084,0.06800738955718691,0.7211434975124938,0.9920031987205118,2.756665326806491,1.0,0.0,-0.09698856185244971,0.6017220186112531,0.21091313274697002,0.06602685015597999,0.007996801279488205,0.2202959954442933,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | moment-matched | development-recalibrated gamma,hybrid previous state,moment-matched,development-recalibrated gamma,current-frame truth,current forecast before Y_n
above_camera_ceiling,76,2.5516132321074876,1.451227747547355,-0.5622166956915674,0.8609363898292166,0.7631578947368421,3.3105636759337425,1.0,0.0,0.6930784215013117,3.0706868887145418,1.7484627095182874,0.9301484505960889,0.23684210526315788,1.1915624346238436,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | moment-matched | development-recalibrated gamma,hybrid previous state,moment-matched,development-recalibrated gamma,current-frame truth,current forecast before Y_n
current_top_1pct,26,4.214478938369124,2.947811346424529,-2.231065399068399,0.8501826137247005,0.4230769230769231,3.292617452954298,1.0,0.0,2.6947018284012922,5.069147533483082,3.5622005881156324,2.3187568409351798,0.6153846153846154,2.5741520343868385,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | moment-matched | development-recalibrated gamma,hybrid previous state,moment-matched,development-recalibrated gamma,current-frame truth,current forecast before Y_n
overall,2501,0.49098044390215145,0.17946205646484775,0.045666727924788694,0.6629033345875804,0.989204318272691,2.5337929854912145,1.0,0.0,-0.07014921186592882,0.6355258001049469,0.2649073012272247,0.1394700795777658,0.009196321471411436,0.2104543992491926,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | moment-matched | development-recalibrated gamma,hybrid previous state,moment-matched,development-recalibrated gamma,current-frame truth,current posterior after Y_n
above_camera_ceiling,76,2.5438085134620088,1.4462817340099832,-0.5096445658625269,0.8134804704584999,0.6973684210526315,3.1040594977257987,1.0,0.0,0.663073253199749,3.1481106084729236,1.8059004154893608,0.9863337634772024,0.27631578947368424,1.1916610814107853,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | moment-matched | development-recalibrated gamma,hybrid previous state,moment-matched,development-recalibrated gamma,current-frame truth,current posterior after Y_n
current_top_1pct,26,4.192020602863528,2.9172485270902873,-2.1884852783724047,0.8181486754000471,0.34615384615384615,3.0693884941367875,1.0,0.0,2.7460092318825917,5.182768683741243,3.6396807036415,2.467623512695754,0.6153846153846154,2.5528305370346507,DiagonalScanPath_1,Diagonal,1,evaluation,hybrid previous state | moment-matched | development-recalibrated gamma,hybrid previous state,moment-matched,development-recalibrated gamma,current-frame truth,current posterior after Y_n
overall,2501,0.5105418550346154,0.13909357635138125,0.04712187697396262,0.7159318740849088,0.9856057576969213,2.736460163123701,1.0,0.0,-0.06581893987356405,0.7131151349940676,0.19428325708946564,0.0293670097665204,0.013594562175129948,0.22583947859744416,DiagonalScanPath_1,Diagonal,1,evaluation,coherent latent previous state | mean-only | fixed gamma,coherent latent previous state,mean-only,fixed gamma,current-frame truth,current forecast before Y_n
above_camera_ceiling,76,2.6038494823227785,1.5245940460164447,-0.47319207025968074,0.7159318740849087,0.6842105263157895,2.749062118874823,1.0,0.0,0.6609456673018037,3.6370073418661133,2.12952391310298,1.20888373763891,0.2894736842105263,1.2617348855969992,DiagonalScanPath_1,Diagonal,1,evaluation,coherent latent previous state | mean-only | fixed gamma,coherent latent previous state,mean-only,fixed gamma,current-frame truth,current forecast before Y_n
current_top_1pct,26,4.2770263652698235,3.0231552024104555,-2.130273914993023,0.7159318740849085,0.38461538461538464,2.7617013499674123,1.0,0.0,2.9755260131641728,5.974068930422525,4.2226855820249645,2.613591514901709,0.6153846153846154,2.6821971890589333,DiagonalScanPath_1,Diagonal,1,evaluation,coherent latent previous state | mean-only | fixed gamma,coherent latent previous state,mean-only,fixed gamma,current-frame truth,current forecast before Y_n
overall,2501,0.5098734578865846,0.14751709337836288,0.023725163304036716,0.6583953771263871,0.984406237504998,2.5176864895930136,1.0,0.0,-0.03670667068243662,0.7336627955946808,0.22523985118288703,0.062019184465390134,0.01479408236705318,0.2145921955722595,DiagonalScanPath_1,Diagonal,1,evaluation,coherent latent previous state | mean-only | fixed gamma,coherent latent previous state,mean-only,fixed gamma,current-frame truth,current posterior after Y_n
above_camera_ceiling,76,2.601152328217839,1.5191711895932185,-0.454335283249328,0.687421805219751,0.6973684210526315,2.6281475712538174,1.0,0.0,0.6695435890548688,3.6971562846005472,2.182099935426665,1.322142915309859,0.3026315789473684,1.264652166970582,DiagonalScanPath_1,Diagonal,1,evaluation,coherent latent previous state | mean-only | fixed gamma,coherent latent previous state,mean-only,fixed gamma,current-frame truth,current posterior after Y_n
current_top_1pct,26,4.272776804247414,3.0122852540284666,-2.121692021245036,0.696290274310901,0.38461538461538464,2.6494613042708712,1.0,0.0,3.0600403027821184,6.0665601923858885,4.30726484165602,2.745385491015097,0.6538461538461539,2.682050513695813,DiagonalScanPath_1,Diagonal,1,evaluation,coherent latent previous state | mean-only | fixed gamma,coherent latent previous state,mean-only,fixed gamma,current-frame truth,current posterior after Y_n
