model,state_representation,propagation,gamma_mode,stage,region,rmse_K_mean,rmse_K_std,mae_K_mean,mae_K_std,signed_error_K_mean,signed_error_K_std,posterior_sd_K_mean,posterior_sd_K_std,coverage_95_mean,coverage_95_std,interval_width_95_K_mean,interval_width_95_K_std,mean_z_mean,mean_z_std,rms_z_mean,rms_z_std,mean_abs_error_over_sd_mean,mean_abs_error_over_sd_std,median_abs_error_over_sd_mean,median_abs_error_over_sd_std,fraction_abs_z_gt_1_96_mean,fraction_abs_z_gt_1_96_std,positive_sd_fraction_mean,positive_sd_fraction_std,zero_sd_nonzero_error_fraction_mean,zero_sd_nonzero_error_fraction_std,crps_K_mean,crps_K_std,n_trajectories
hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current posterior after Y_n,current_top_1pct,4.3016681142430055,0.36986364135492,3.1542403066853217,0.3918188565493867,-2.622394691421904,0.443312656729747,0.8730986096587142,0.10295413716199218,0.38846153846153847,0.14925168712264983,3.330478775720964,0.39043183677589166,3.130785148640476,0.7243298955101818,5.0546828672057424,0.7896282484516409,3.7359253985715566,0.7514348981984031,2.481728768232116,0.7117855589712757,0.6012820512820514,0.15760764154399345,1.0,0.0,0.0,0.0,2.749229122294023,0.3888076916392088,30
hybrid previous state | mean-only | development-recalibrated gamma,hybrid previous state,mean-only,development-recalibrated gamma,current forecast before Y_n,overall,0.49192154288393747,0.031139750136569642,0.16086911396066725,0.00797086367227727,0.05610619505022551,0.011634228029203351,0.7159318740849115,2.290546893696837e-15,0.9910702385712381,0.0014217493047156173,2.7381721842140174,0.004444462697681693,-0.07836806417082523,0.016250468026827298,0.6871066377826813,0.043495409638482446,0.22469891310019774,0.011133550496638221,0.08577407769323578,0.019062690267266952,0.008543249366919898,0.0014492082520439575,1.0,0.0,0.0,0.0,0.21961799935393342,0.00391964591740092,30
hybrid previous state | mean-only | development-recalibrated gamma,hybrid previous state,mean-only,development-recalibrated gamma,current forecast before Y_n,above_camera_ceiling,2.5848892889492006,0.19898849951105219,1.4335379794297707,0.131662745165214,-0.7774925715047112,0.30162435506869967,0.7159318740849112,2.239031499692974e-15,0.7302631578947368,0.03859425693362508,2.7400701245836516,0.02539355858041108,1.0859868091478466,0.4213031518595658,3.6105241050388344,0.277943344491254,2.00233853432226,0.18390401367937645,0.9338652334988441,0.22264067890432768,0.2600877192982456,0.04380138295520459,1.0,0.0,0.0,0.0,1.2139799171747072,0.12288352590478398,30
hybrid previous state | mean-only | development-recalibrated gamma,hybrid previous state,mean-only,development-recalibrated gamma,current forecast before Y_n,current_top_1pct,4.312757347481631,0.3729344399425364,3.1768821263601246,0.4093451413742717,-2.6848095824438776,0.41381605728563847,0.7159318740849115,2.248030287623391e-15,0.3141025641025641,0.12578394585082242,2.741239941370883,0.0368472995065467,3.7500908670612585,0.5780103837597212,6.023977285540058,0.5209077196335377,4.437408420208621,0.5717654936057792,2.8574486568901647,0.7449496094362887,0.6653846153846154,0.1282206003042378,1.0,0.0,0.0,0.0,2.814279345424391,0.3964059503415589,30
hybrid previous state | mean-only | development-recalibrated gamma,hybrid previous state,mean-only,development-recalibrated gamma,current posterior after Y_n,overall,0.4950799673880861,0.03058246019753776,0.18264864110511173,0.007915033279941633,0.03590832099783225,0.011045141880717969,0.6582574279636646,0.0003831040758146119,0.9904971344795416,0.0015563270361346278,2.517482816048264,0.0033778707885071236,-0.05577387374985109,0.016475024878013483,0.7164004991064178,0.042948142184737345,0.2798703638409798,0.012116341742747916,0.15215641496610155,0.013786779726133631,0.008956417433026791,0.0015875975505650305,1.0,0.0,0.0,0.0,0.2105740531195944,0.003765424698636504,30
hybrid previous state | mean-only | development-recalibrated gamma,hybrid previous state,mean-only,development-recalibrated gamma,current posterior after Y_n,above_camera_ceiling,2.5810017754777252,0.19589433724426653,1.4324483908732775,0.12583085290306237,-0.7537335504085522,0.2884832295291158,0.6878383442569013,0.006196360265757558,0.7162280701754385,0.03965224786789334,2.630714386841282,0.02844353127787142,1.0723382307656417,0.41822747519408565,3.6670348529473142,0.2795817166861196,2.0553730904618894,0.18102399978520456,0.9864052054834398,0.23211112792203645,0.26666666666666666,0.043010534429309306,1.0,0.0,0.0,0.0,1.212871372331993,0.11599376379168834,30
hybrid previous state | mean-only | development-recalibrated gamma,hybrid previous state,mean-only,development-recalibrated gamma,current posterior after Y_n,current_top_1pct,4.303988118870338,0.3656209626843655,3.160572327947086,0.39402179328416903,-2.6683607681726107,0.4084089509130246,0.698927608871754,0.006856286906096226,0.2987179487179487,0.11187561470678291,2.671091474153996,0.03985587287466606,3.806022825968275,0.590542287456081,6.10752871613225,0.5237990176291512,4.507293027301546,0.5730611803085717,2.943101825217806,0.7417950363321677,0.6679487179487179,0.12182860531491896,1.0,0.0,0.0,0.0,2.808984043998112,0.37832808762792797,30
hybrid previous state | moment-matched | development-recalibrated gamma,hybrid previous state,moment-matched,development-recalibrated gamma,current forecast before Y_n,overall,0.49192154288393747,0.031139750136569642,0.16086911396066725,0.00797086367227727,0.05610619505022551,0.011634228029203351,0.7218786835384432,0.003422010648897245,0.9930294548847128,0.0016323965123886865,2.7609370188283084,0.013512120921816749,-0.08269586573077242,0.015745243194062775,0.5810838163230068,0.07228352399914509,0.21271212775227982,0.011416387135557692,0.08547406762059429,0.01894680574903168,0.006850593096094895,0.0017020013297500882,1.0,0.0,0.0,0.0,0.21897035143503485,0.004007895665037231,30
hybrid previous state | moment-matched | development-recalibrated gamma,hybrid previous state,moment-matched,development-recalibrated gamma,current forecast before Y_n,above_camera_ceiling,2.5848892889492006,0.19898849951105219,1.4335379794297707,0.131662745165214,-0.7774925715047112,0.30162435506869967,0.8865786418709257,0.10176084769215307,0.781578947368421,0.05631400848651834,3.3933637630593427,0.39435635097674276,0.9198482376909517,0.4242574392589188,2.9424719035376783,0.4813360134446419,1.6361882056807646,0.25895726932094404,0.7429027141498132,0.1431341441864734,0.21622807017543857,0.057890955714397084,1.0,0.0,0.0,0.0,1.194105045027588,0.12698109894126144,30
hybrid previous state | moment-matched | development-recalibrated gamma,hybrid previous state,moment-matched,development-recalibrated gamma,current forecast before Y_n,current_top_1pct,4.312757347481631,0.3729344399425364,3.1768821263601246,0.4093451413742717,-2.6848095824438776,0.41381605728563847,0.9182461113710381,0.13020746278564913,0.4064102564102564,0.16087502177602267,3.517361207239416,0.5115336333062733,3.089741938680463,0.7502744737954926,4.907502230409486,0.8727969305915366,3.6268463619433176,0.7925128383530973,2.3490572303680177,0.7230579515373373,0.591025641025641,0.16550126456024417,1.0,0.0,0.0,0.0,2.7513826428398716,0.4109772901341104,30
