model,state_representation,propagation,gamma_mode,stage,region,rmse_K_mean,rmse_K_std,mae_K_mean,mae_K_std,signed_error_K_mean,signed_error_K_std,posterior_sd_K_mean,posterior_sd_K_std,coverage_95_mean,coverage_95_std,interval_width_95_K_mean,interval_width_95_K_std,mean_z_mean,mean_z_std,rms_z_mean,rms_z_std,mean_abs_error_over_sd_mean,mean_abs_error_over_sd_std,median_abs_error_over_sd_mean,median_abs_error_over_sd_std,fraction_abs_z_gt_1_96_mean,fraction_abs_z_gt_1_96_std,positive_sd_fraction_mean,positive_sd_fraction_std,zero_sd_nonzero_error_fraction_mean,zero_sd_nonzero_error_fraction_std,crps_K_mean,crps_K_std,n_trajectories
coherent latent previous state | moment-matched | development-recalibrated gamma,coherent latent previous state,moment-matched,development-recalibrated gamma,current forecast before Y_n,overall,0.5404952902354014,0.045602307870208025,0.16608572709485195,0.03092899039452563,-0.031156509847757072,0.03910769435560189,2.6976296217288853,0.07700313858601325,0.9933359989337599,0.0015970606713065624,10.317232770055393,0.2948179411457731,0.017189778573332194,0.01919941301288434,0.5314088621495439,0.07783922588784624,0.10469996535477968,0.01287111790238913,0.009071740844373956,0.003642106944561962,0.006490737038517926,0.0016658256146188286,1.0,0.0,0.0,0.0,0.6756783774778684,0.016543387384420193,30
coherent latent previous state | moment-matched | development-recalibrated gamma,coherent latent previous state,moment-matched,development-recalibrated gamma,current forecast before Y_n,above_camera_ceiling,2.603067142768645,0.2009784937372761,1.4698609284435666,0.13630206088478083,-0.7153973408503216,0.32172246788764586,0.976441615120553,0.1097113395993582,0.7872807017543859,0.05431554385440415,3.7363337347709313,0.42782006044424414,0.8710443504377257,0.41914661952819865,2.920875734339599,0.4780355717020555,1.606516166039067,0.24691237779165803,0.7208455717468205,0.14481257494080058,0.20964912280701756,0.05698146748298216,1.0,0.0,0.0,0.0,1.2209522792750613,0.12929475492042106,30
coherent latent previous state | moment-matched | development-recalibrated gamma,coherent latent previous state,moment-matched,development-recalibrated gamma,current forecast before Y_n,current_top_1pct,4.321808531129047,0.3740993065022773,3.1882957069566475,0.40630662147448265,-2.687483124868886,0.42381576375340835,0.94749272735533,0.134637171136152,0.4166666666666667,0.15486510487304309,3.628611651360975,0.5243150678128343,3.068379916319006,0.7491527857000836,4.877707678268015,0.8622556097017924,3.580124657058906,0.7762598051510452,2.2901399438363144,0.6620379206769185,0.5769230769230769,0.16160791736581237,1.0,0.0,0.0,0.0,2.755574675909912,0.4064254807563328,30
coherent latent previous state | moment-matched | development-recalibrated gamma,coherent latent previous state,moment-matched,development-recalibrated gamma,current posterior after Y_n,overall,0.614757350911913,0.05310152625343563,0.33556547223637884,0.04239426452827472,-0.05568454827538826,0.043080009737377155,2.276437216837618,0.2972084480516834,0.9925629748100759,0.0016489171813498468,8.707168760969179,1.1363182103236085,0.029516636854524957,0.02147446389121947,0.590433611333396,0.06954112604332509,0.1985509180900059,0.030924365800692098,0.10505581574227851,0.02294056539781179,0.0070105291216846595,0.0016359386654603608,1.0,0.0,0.0,0.0,0.595238279601925,0.06094011312672629,30
coherent latent previous state | moment-matched | development-recalibrated gamma,coherent latent previous state,moment-matched,development-recalibrated gamma,current posterior after Y_n,above_camera_ceiling,2.5982840991584317,0.20104630704704612,1.4768104793137504,0.12729514879667697,-0.6791747920639095,0.32535139318719625,0.8725239562148239,0.06685254014001946,0.769298245614035,0.05685560324600186,3.3357375834830663,0.256443393130387,0.8703215324596368,0.42686638549298295,3.1163902026742094,0.4179886442994707,1.7524615416181861,0.2246153898996211,0.8299644477870872,0.16823075554477604,0.2219298245614035,0.05579569415948353,1.0,0.0,0.0,0.0,1.2259753287761754,0.12241066994048531,30
coherent latent previous state | moment-matched | development-recalibrated gamma,coherent latent previous state,moment-matched,development-recalibrated gamma,current posterior after Y_n,current_top_1pct,4.3043275361540765,0.3743439753052538,3.15818588336592,0.3956723544261565,-2.651318966889533,0.451936387449214,0.8612297243685241,0.08544030018122253,0.38846153846153847,0.15229657275273845,3.2916810913938037,0.3370588610094538,3.2417136933980055,0.7102064790603475,5.182914857977707,0.7698498595554372,3.8129583925221295,0.7517529464908221,2.4891666657740714,0.7139855325485858,0.5974358974358974,0.1524249118003108,1.0,0.0,0.0,0.0,2.760657824872566,0.39771178944464286,30
strict oracle | exact previous state | fixed gamma,true previous state,exact state; innovation only,fixed gamma,current forecast before Y_n,overall,0.6726402474657192,0.07865727515345752,0.028987064622106977,0.003593500840691172,0.026497670391517205,0.0033488363427667785,0.7159318740849115,2.290546893696837e-15,0.997361055577769,0.0005101035061642066,2.7381721842140174,0.004444462697681605,-0.037011441103088134,0.00467759079318435,0.9395310808384852,0.10986698315953058,0.04048857953022082,0.005019333501926183,3.5208575421854905e-05,4.0260544096817654e-05,0.002532320405171265,0.0004849887523895423,1.0,0.0,0.0,0.0,0.19067219493759377,0.0032989747362025443,30
strict oracle | exact previous state | fixed gamma,true previous state,exact state; innovation only,fixed gamma,current forecast before Y_n,above_camera_ceiling,3.8583169369519585,0.45110021798574906,0.9045680570872747,0.11386803818262055,0.8984388101226667,0.11177348141149467,0.7159318740849112,2.239031499692974e-15,0.9131578947368422,0.01678643248574381,2.7400701245836516,0.025393558580411073,-1.2549222106796565,0.15612306904810144,5.3892235792456855,0.6300881889947123,1.2634834260501029,0.15904870603528426,0.08993806071692464,0.019581900133831744,0.08333333333333333,0.015959958812187442,1.0,0.0,0.0,0.0,0.9340714692072277,0.10635515244083603,30
strict oracle | exact previous state | fixed gamma,true previous state,exact state; innovation only,fixed gamma,current forecast before Y_n,current_top_1pct,6.590660158757672,0.7718521179955112,2.5051655559153456,0.33454805508141405,2.5037451977855363,0.3333363697220486,0.7159318740849115,2.248030287623391e-15,0.7641025641025642,0.045991462056104326,2.741239941370883,0.03684729950654673,-3.4971835846612773,0.4655978896708766,9.205708528037965,1.0781083311622086,3.4991675138327847,0.4672903486927836,0.3670852846938952,0.11344090188976191,0.23076923076923078,0.044027036267103,1.0,0.0,0.0,0.0,2.3746542792504357,0.3118159417256386,30
strict oracle | exact previous state | fixed gamma,true previous state,exact state; innovation only,fixed gamma,current posterior after Y_n,overall,0.6776505802126522,0.07785344029494062,0.0804018612395342,0.0043554766337272986,0.030306993866111118,0.007678183688078187,0.6582487732505188,0.000357762776777528,0.9974010395841664,0.0005328327664503676,2.517371667627768,0.0033166760592435564,-0.0433155910656041,0.012454042720838512,0.9603551296130982,0.11196268228403448,0.12761893898961063,0.00681944241648721,0.050753306727133934,0.004518138407909925,0.002572304411568706,0.000532142568276663,1.0,0.0,0.0,0.0,0.18168652583477296,0.00325630753375055,30
strict oracle | exact previous state | fixed gamma,true previous state,exact state; innovation only,fixed gamma,current posterior after Y_n,above_camera_ceiling,3.8607022088955083,0.449972547747315,0.9495358138464595,0.105899731249104,0.9376865035595385,0.1023049692993804,0.6885485724881748,0.005578133584343231,0.9144736842105263,0.01753440459068922,2.633841724112993,0.026979254416367556,-1.3299718277603774,0.14701623405974723,5.44547121787497,0.6507650684138206,1.34870905732004,0.15232053984670535,0.1826431676348939,0.04642635747388137,0.08464912280701754,0.01751169162184124,1.0,0.0,0.0,0.0,0.9351654187563248,0.10560704687631094,30
strict oracle | exact previous state | fixed gamma,true previous state,exact state; innovation only,fixed gamma,current posterior after Y_n,current_top_1pct,6.592287833258108,0.7707951735232099,2.515262609999989,0.32505745522982793,2.512195695514056,0.3255551132146812,0.7036177167532695,0.006631369695892144,0.7653846153846153,0.04556431626783971,2.6958767828411934,0.044466998430868716,-3.547640685771976,0.4683789416807114,9.297159133953443,1.1148622933543009,3.5522983876185585,0.4672309953961488,0.39473800832347256,0.08673404494875275,0.23205128205128206,0.04458351250360476,1.0,0.0,0.0,0.0,2.3752142967569805,0.31143606512056193,30
recalibrated oracle | exact previous state | development-recalibrated gamma,true previous state,exact state; innovation only,development-recalibrated gamma,current forecast before Y_n,overall,0.435792862534363,0.05299216541062584,0.02108780375850052,0.00226727026085675,0.01058098490542152,0.004770369121626527,0.7159318740849115,2.290546893696837e-15,0.9979075036652005,0.00046585593285392886,2.7381721842140174,0.0044444626976815746,-0.014779318100546788,0.006663160692103419,0.6087071665741715,0.07401844690650097,0.029455042472378387,0.0031668798986701514,3.5208575421854905e-05,4.0260544096817654e-05,0.0021191523390643742,0.00047134600708265617,1.0,0.0,0.0,0.0,0.18287446309933386,0.0019428727565305732,30
recalibrated oracle | exact previous state | development-recalibrated gamma,true previous state,exact state; innovation only,development-recalibrated gamma,current forecast before Y_n,above_camera_ceiling,2.4989952876627313,0.3044479332439508,0.6427524569244091,0.07103163824488716,0.37974902443719544,0.15117780289835703,0.7159318740849112,2.239031499692974e-15,0.9311403508771929,0.015330338000891364,2.7400701245836516,0.025393558580411108,-0.5304262014071971,0.21116227447142066,3.490549000708891,0.425247072052895,0.8977843845072008,0.09921563882831508,0.08965187583478139,0.01960970467407214,0.06973684210526315,0.015511004785706882,1.0,0.0,0.0,0.0,0.6764137666937484,0.06342821720479079,30
recalibrated oracle | exact previous state | development-recalibrated gamma,true previous state,exact state; innovation only,development-recalibrated gamma,current forecast before Y_n,current_top_1pct,4.266631298766613,0.5185445474128116,1.7531594892738205,0.18964019141988048,1.0765920282900665,0.39027736080609365,0.7159318740849115,2.248030287623391e-15,0.8076923076923077,0.04040197934145302,2.741239941370883,0.03684729950654667,-1.5037632311959048,0.5451319810351183,5.959549299603579,0.7242931432206494,2.448779769045303,0.264885805876816,0.36243792233674516,0.11239100408379535,0.1948717948717949,0.04031772069011245,1.0,0.0,0.0,0.0,1.6308010072626618,0.17116422292350097,30
recalibrated oracle | exact previous state | development-recalibrated gamma,true previous state,exact state; innovation only,development-recalibrated gamma,current posterior after Y_n,overall,0.44340553490192197,0.05187875084025111,0.07250679280646649,0.003301384993411558,0.014390308380015432,0.008887725292037307,0.6582487732505188,0.000357762776777528,0.9978142076502733,0.000500649592626304,2.517371667627768,0.0033166760592435564,-0.020649269931906394,0.014093760788031571,0.6332152096658489,0.07284842538445312,0.11652173418461824,0.005468244699877201,0.05075259809772003,0.004516972680588332,0.0021591363454618153,0.0005101035061641446,1.0,0.0,0.0,0.0,0.1739012147413568,0.0019027724966566946,30
recalibrated oracle | exact previous state | development-recalibrated gamma,true previous state,exact state; innovation only,development-recalibrated gamma,current posterior after Y_n,above_camera_ceiling,2.502121636231862,0.30401146178147337,0.6878493315216766,0.0662991374818289,0.4189967178740674,0.1675764040045233,0.6885485724881748,0.005578133584343231,0.9280701754385965,0.016475324094191866,2.633841724112993,0.02697925441636756,-0.5918453024175889,0.24134441167489942,3.5343003961654076,0.4326560009315121,0.9805498295885986,0.09724439647623073,0.1817216899884873,0.04670403397639583,0.07105263157894735,0.01678643248574376,1.0,0.0,0.0,0.0,0.6778663905473271,0.06338396964925491,30
recalibrated oracle | exact previous state | development-recalibrated gamma,true previous state,exact state; innovation only,development-recalibrated gamma,current posterior after Y_n,current_top_1pct,4.268314088803846,0.5183339558075988,1.7631770436527439,0.18250993169626029,1.0850425260185852,0.39821504812991915,0.7036177167532695,0.006631369695892144,0.8051282051282052,0.04031772069011242,2.6958767828411934,0.04446699843086871,-1.52408061079962,0.5630634615906956,6.026178819987298,0.7366168907517121,2.491681659883041,0.26358492867448485,0.38905998937862407,0.0867956804051177,0.1948717948717949,0.04031772069011245,1.0,0.0,0.0,0.0,1.6321424300299578,0.17186393805205655,30
