model,state_representation,propagation,gamma_mode,field_excess_rel_l2_mean,field_excess_rel_l2_std,overall_rmse_K_mean,overall_rmse_K_std,overall_mae_K_mean,overall_mae_K_std,overall_signed_error_K_mean,overall_signed_error_K_std,overall_crps_K_mean,overall_crps_K_std,top_1pct_rmse_K_mean,top_1pct_rmse_K_std,top_1pct_mae_K_mean,top_1pct_mae_K_std,top_1pct_signed_error_K_mean,top_1pct_signed_error_K_std,top_1pct_crps_K_mean,top_1pct_crps_K_std,top_1pct_coverage_95_mean,top_1pct_coverage_95_std,top_1pct_interval_width_95_K_mean,top_1pct_interval_width_95_K_std,peak_absolute_error_K_mean,peak_absolute_error_K_std,mean_posterior_sd_K_mean,mean_posterior_sd_K_std,n_trajectories
hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,0.40723775720255595,0.07455527685677106,0.4950901375344149,0.030786699348591184,0.18265884023694917,0.00789086973434173,0.03628716720227895,0.011069730908693372,0.21058002406939197,0.0037951291580838207,4.303514516121585,0.36853772819765346,3.159388036369825,0.39804644357079044,-2.634391914424778,0.41526409367019396,2.8080419939737875,0.3824687757011382,0.3,0.11265561456202926,2.671091474153996,0.03985587287466606,7.620219455551298,3.8881286924521836,0.6582574279636646,0.0003831040758146119,30
hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,0.407393048136946,0.07565462147240298,0.49510663548743883,0.03192092013151151,0.18278301487941787,0.007998855522781536,0.03661687326378848,0.01170204807275108,0.20988940356442073,0.004038182117939868,4.3016681142430055,0.36986364135492,3.1542403066853217,0.3918188565493867,-2.622394691421904,0.443312656729747,2.749229122294025,0.3888076916392065,0.38846153846153847,0.14925168712264983,3.330478775720964,0.39043183677589166,7.639359342017392,3.9269688867840675,0.6632746651513071,0.0025594384572762176,30
hybrid previous state | mean-only | development-recalibrated gamma,hybrid previous state,mean-only,development-recalibrated gamma,0.4074160248689435,0.07568574762694527,0.4950799673880861,0.03058246019753776,0.18264864110511173,0.007915033279941633,0.03590832099783225,0.011045141880717969,0.21057405311959432,0.0037654246986365686,4.303988118870338,0.3656209626843655,3.160572327947086,0.39402179328416903,-2.6683607681726107,0.4084089509130246,2.8089840439981115,0.37832808762792824,0.2987179487179487,0.11187561470678291,2.671091474153996,0.03985587287466606,7.563157972874351,3.753621770084797,0.6582574279636646,0.0003831040758146119,30
hybrid previous state | moment-matched | development-recalibrated gamma,hybrid previous state,moment-matched,development-recalibrated gamma,0.40754752526731397,0.07682134795861167,0.4950641443777778,0.03185671200512963,0.18277342644443706,0.008021517274487307,0.03623802705934178,0.011666817174696682,0.2098830844242251,0.004007498292748767,4.301713118550253,0.36901141165254037,3.1554833426025213,0.38842619805088646,-2.6563635451697363,0.4355749152245211,2.7500619016787735,0.38553210799841475,0.38974358974358975,0.15040356964453108,3.330478775720964,0.39043183677589155,7.582297859340437,3.7896120900081542,0.6632746651513071,0.0025594384572762176,30
coherent latent previous state | mean-only | fixed gamma,coherent latent previous state,mean-only,fixed gamma,0.43979269112850106,0.06328373339414647,0.5387187812597395,0.04558060941816864,0.1771880374034698,0.028854755847324397,-0.05063460303465392,0.036310117683508496,0.2278714781437677,0.01745379700566419,4.311001332216547,0.3717785097277291,3.1687982931607355,0.39551736323895414,-2.6222823388222363,0.42901630839209154,2.8171302747925173,0.3804069988728715,0.3038461538461538,0.12093207355791655,2.6631411303085715,0.043585480857685155,7.620068433848972,3.887105560921229,0.6582668774649562,0.0003767009960602658,30
coherent latent previous state | moment-matched | fixed gamma,coherent latent previous state,moment-matched,fixed gamma,0.5012621556989916,0.06808565832220931,0.6147670542155701,0.05393536705767568,0.33558213137040754,0.04245459322747585,-0.05515800667182758,0.04310879144258567,0.5952542249112871,0.06080453229467398,4.3037859668381335,0.37702518645292343,3.156458242657254,0.400816606957005,-2.6041071576815615,0.46220933069485465,2.759426013147937,0.4031053975449775,0.38974358974358975,0.15309276184448078,3.2916810913938037,0.3370588610094537,7.644294273765235,3.9177149554736443,2.276437216837618,0.2972084480516834,30
coherent latent previous state | mean-only | development-recalibrated gamma,coherent latent previous state,mean-only,development-recalibrated gamma,0.44003544641768466,0.0649437303010337,0.5387215640764919,0.04499516371766439,0.17717052948885834,0.028843909300700545,-0.051161144638214605,0.036276587852689536,0.227855025693698,0.017404773697982864,4.312233272481758,0.367291959614099,3.170444287706424,0.38947464852499486,-2.669494148030209,0.41935531257332653,2.8184904517675,0.3741197652379601,0.3038461538461538,0.12343697335293242,2.6631411303085715,0.043585480857685224,7.540761199837879,3.7188666832380552,0.6582668774649562,0.0003767009960602658,30
coherent latent previous state | moment-matched | development-recalibrated gamma,coherent latent previous state,moment-matched,development-recalibrated gamma,0.5014733936904812,0.06946202051184867,0.614757350911913,0.05310152625343563,0.33556547223637884,0.04239426452827472,-0.05568454827538826,0.043080009737377155,0.5952382796019251,0.060940113126726474,4.3043275361540765,0.3743439753052538,3.15818588336592,0.3956723544261565,-2.651318966889533,0.451936387449214,2.760657824872566,0.3977117894446424,0.38846153846153847,0.15229657275273845,3.2916810913938037,0.3370588610094538,7.564987039754141,3.7423084750337785,2.276437216837618,0.2972084480516834,30
strict oracle | exact previous state | fixed gamma,true previous state,exact state; innovation only,fixed gamma,0.5497707364112684,0.06321420049447203,0.6776505802126522,0.07785344029494062,0.0804018612395342,0.0043554766337272986,0.030306993866111118,0.007678183688078187,0.18168652583477307,0.0032563075337505806,6.592287833258108,0.7707951735232099,2.515262609999989,0.32505745522982793,2.512195695514056,0.3255551132146812,2.3752142967569827,0.3114360651205621,0.7653846153846153,0.04556431626783971,2.6958767828411934,0.044466998430868716,26.42962890326509,6.182765084548747,0.6582487732505188,0.000357762776777528,30
recalibrated oracle | exact previous state | development-recalibrated gamma,true previous state,exact state; innovation only,development-recalibrated gamma,0.3640456150961473,0.07062725539810791,0.44340553490192197,0.05187875084025111,0.07250679280646649,0.003301384993411558,0.014390308380015432,0.008887725292037307,0.17390121474135692,0.0019027724966566872,4.268314088803846,0.5183339558075988,1.7631770436527439,0.18250993169626029,1.0850425260185852,0.39821504812991915,1.6321424300299612,0.1718639380520561,0.8051282051282052,0.04031772069011242,2.6958767828411934,0.04446699843086871,13.330773243134303,4.837713665631512,0.6582487732505188,0.000357762776777528,30
