region,n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,state_representation,stage,region_basis
saturated,76,5.899475516107157,2.190519750972342,-1.833743075800164,0.4052194522588863,0.5657894736842105,1.4734513946683554,1.0,0.0,5.394185006684207,16.97383271076052,6.254303018375628,1.5285805378792197,0.42105263157894735,2.036474625987022,DiagonalScanPath_2,Diagonal,2,evaluation,hybrid previous state,previous posterior,previous-frame truth
previous_top_1pct,26,10.061344539344086,5.6023217009238255,-5.6023217009238255,0.40393077835440994,0.07692307692307693,1.4646894179061314,1.0,0.0,16.19496037419721,28.959132395617925,16.19496037419721,7.475241654922194,0.9230769230769231,5.379689497636069,DiagonalScanPath_2,Diagonal,2,evaluation,hybrid previous state,previous posterior,previous-frame truth
overall,2501,1.0805686193846884,0.303991170007256,-0.05828919595827839,2.8415755762688137,0.984406237504998,10.872182674432553,1.0,0.0,0.15051352899014506,2.8363576548818767,0.3003272878421205,0.0674892660081082,0.01479408236705318,0.7379763893608041,DiagonalScanPath_2,Diagonal,2,evaluation,coherent latent previous state,previous posterior,previous-frame truth
unsaturated,2425,0.3363482434256135,0.24490918467197212,-0.002591804053339982,2.917912334876694,0.9975257731958763,11.167228076039574,1.0,0.0,-0.008334979154683389,0.2499900608645594,0.11929305670635121,0.06442372961666755,0.002061855670103093,0.6972969320258281,DiagonalScanPath_2,Diagonal,2,evaluation,coherent latent previous state,previous posterior,previous-frame truth
saturated,76,5.900377318403093,2.189172938929144,-1.8354757139776947,0.40583031805684094,0.5657894736842105,1.457905057366322,1.0,0.0,5.219035005979737,16.209486477517334,6.076748478687391,1.527378230793724,0.42105263157894735,2.03597223195708,DiagonalScanPath_2,Diagonal,2,evaluation,coherent latent previous state,previous posterior,previous-frame truth
previous_top_1pct,26,10.06313337995799,5.600230222650422,-5.600230222650422,0.4069696541529074,0.07692307692307693,1.477631932861243,1.0,0.0,15.65291436362317,27.64745680311224,15.65291436362317,7.216825711803074,0.8846153846153846,5.375540246643082,DiagonalScanPath_2,Diagonal,2,evaluation,coherent latent previous state,previous posterior,previous-frame truth
overall,2501,1.0510006385093138,0.2558002045262962,-0.050870756047800884,0.020526525258870203,0.022391043582566973,0.0767644153229788,0.03198720511795282,0.9680127948820472,1.9394145803081284,7.097211263541382,2.9909334332574615,1.0602651060697936,0.2375,0.2494014398349934,DiagonalScanPath_3,Diagonal,3,evaluation,hybrid previous state,previous posterior,previous-frame truth
unsaturated,2421,0.24666342320344445,0.19708559106718485,-0.005520812292770499,6.894861338758592e-13,0.0,0.0,0.0,1.0,,,,,,0.19708559106723156,DiagonalScanPath_3,Diagonal,3,evaluation,hybrid previous state,previous posterior,previous-frame truth
saturated,80,5.71763711198393,2.032651194332652,-1.423273428934408,0.6417104958845641,0.7,2.399847534034625,1.0,0.0,1.9394145803081284,7.097211263541382,2.9909334332574615,1.0602651060697936,0.2375,1.8326098131693875,DiagonalScanPath_3,Diagonal,3,evaluation,hybrid previous state,previous posterior,previous-frame truth
previous_top_1pct,26,9.977466230623342,5.149009345287423,-5.149009345287423,0.7138475331619472,0.4230769230769231,2.562575839632733,1.0,0.0,7.3097126632445555,12.326931592083005,7.3097126632445555,3.03744565221461,0.5769230769230769,4.845496609411453,DiagonalScanPath_3,Diagonal,3,evaluation,hybrid previous state,previous posterior,previous-frame truth
overall,2501,1.0855276290174924,0.3177157196619632,-0.06612359378687079,2.844893399485753,0.9888044782087165,10.892954704211036,1.0,0.0,0.06543968873929878,1.336395083066947,0.21832455032664017,0.07129007470195158,0.009596161535385846,0.7378005013676938,DiagonalScanPath_3,Diagonal,3,evaluation,coherent latent previous state,previous posterior,previous-frame truth
unsaturated,2421,0.3702012209368408,0.26092457659807783,-0.021109427548807493,2.917765566088601,0.9983477901693515,11.173439151168468,1.0,0.0,0.0011881295721047312,0.2516658783447213,0.12451144112769327,0.06897915527886586,0.0020652622883106154,0.7015187899844033,DiagonalScanPath_3,Diagonal,3,evaluation,coherent latent previous state,previous posterior,previous-frame truth
saturated,80,5.717635503697151,2.0363576866327953,-1.4283647995662612,0.6395994576670541,0.7,2.404794128161714,1.0,0.0,2.0098524980365093,7.342793859080304,3.0573437674597708,1.0348108966447374,0.2375,1.8357757921045228,DiagonalScanPath_3,Diagonal,3,evaluation,coherent latent previous state,previous posterior,previous-frame truth
previous_top_1pct,26,9.977928227874742,5.15958864566724,-5.15958864566724,0.7090321176688532,0.4230769230769231,2.523745472591252,1.0,0.0,7.512414037972781,12.762114013721169,7.512414037972781,3.0667815230142828,0.5769230769230769,4.858520709831518,DiagonalScanPath_3,Diagonal,3,evaluation,coherent latent previous state,previous posterior,previous-frame truth
overall,2501,0.9965246080410801,0.2582150354230127,-0.03523844142345116,0.02297473444150412,0.021191523390643743,0.08119518061000322,0.02958816473410636,0.9704118352658937,0.9914407767357107,4.494708114639962,2.3851776730992844,1.269294588623555,0.2702702702702703,0.24915217894893282,DiagonalScanPath_4,Diagonal,4,evaluation,hybrid previous state,previous posterior,previous-frame truth
unsaturated,2427,0.24719959622968135,0.19859325250564575,0.0006921952804086023,7.007461978118532e-13,0.0,0.0,0.0,1.0,,,,,,0.1985932525056613,DiagonalScanPath_4,Diagonal,4,evaluation,hybrid previous state,previous posterior,previous-frame truth
