noise_sd,rep,target_frac_saturated_clean,actual_frac_saturated,Tmax,method,objective,success,field_rel_l2,peak_abs_error,peak_rel_error,sat_region_rel_l2,unsat_region_rel_l2,T0_hat,T0_true,T0_rel_error,A_hat,A_true,A_rel_error,xc_hat,xc_true,xc_rel_error,yc_hat,yc_true,yc_rel_error,sx_hat,sx_true,sx_rel_error,sy_hat,sy_true,sy_rel_error
0.0,0,0.1,0.1,663.5329020507428,exact,0.00030989809918733133,True,0.22614386950789928,834.4067744009403,0.5326901854971529,0.39159411367068475,0.02586569043446997,467.9526257214799,473.15,0.01098462280147966,264.74083713408754,1100.0,0.7593265116962841,0.39968240019876095,0.4,0.0007939995030976921,-0.20019310238050633,-0.2,0.0009655119025316072,1.9132409348868264,1.25,0.5305927479094612,0.689856106834413,0.45,0.5330135707431399
0.0,0,0.1,0.1,663.5329020507428,discard,7.2253066338138165e-06,True,0.08426272586692211,332.6405690873503,0.21235969300253493,0.14634254088204107,0.005526872457561193,472.14830805414067,473.15,0.002117070581970425,765.5316082029672,1100.0,0.30406217436093896,0.39766982342704105,0.4,0.005825441432397438,-0.19934302647602925,-0.2,0.003284867619853804,1.3581134091501703,1.25,0.08649072732013625,0.48929813181059195,0.45,0.08732918180131542
0.0,0,0.1,0.1,663.5329020507428,hinge,1.169409742767928e-05,True,0.08298777232485646,332.93777746202454,0.21254943257452033,0.14407647939626653,0.006082841609213485,471.97844303470976,473.15,0.002476079394040414,765.5316082029672,1100.0,0.30406217436093896,0.40421190612694013,0.4,0.010529765317350281,-0.2013242382908754,-0.2,0.0066211914543769235,1.3727823401143733,1.25,0.09822587209149862,0.49279452873498847,0.45,0.09509895274441879
0.0,0,0.1,0.1,663.5329020507428,censored,5.970054400903936,True,0.0829587762777041,332.9374930376507,0.21254925099632954,0.14402388929003238,0.006106972121716808,471.96930724926756,473.15,0.0024953878278187024,765.5316082029672,1100.0,0.30406217436093896,0.40425089878759796,0.4,0.010627246968994836,-0.20127802567520858,-0.2,0.0063901283760428584,1.3731078235332426,1.25,0.09848625882659405,0.4929003733449096,0.45,0.09533416298868798
0.0,1,0.1,0.1,663.5329020507428,exact,0.0003099048787735497,True,0.22612557698109859,834.3774109589585,0.5326714397033314,0.3915592206306328,0.02588764159634929,467.92489542653584,473.15,0.011043230631859108,264.78189482048634,1100.0,0.7592891865268306,0.4002821330481235,0.4,0.0007053326203086685,-0.19962246791624705,-0.2,0.0018876604187648138,1.916311252125818,1.25,0.5330490017006545,0.6893359471185494,0.45,0.531857660263443
0.0,1,0.1,0.1,663.5329020507428,discard,0.0002279693464612582,True,0.25166552956784666,903.3124848868054,0.5766799957750968,0.435473528066894,0.031044847318589544,473.13613769128494,473.15,2.929791549198685e-05,190.3792866601582,1100.0,0.826927921218038,0.3770753607588748,0.4,0.057311598102813,-0.19413220837181788,-0.2,0.029338958140910643,1.9619671655973918,1.25,0.5695737324779134,0.7001426140386944,0.45,0.5558724756415431
0.0,1,0.1,0.1,663.5329020507428,hinge,1.169409742767928e-05,True,0.08298777232485646,332.93777746202454,0.21254943257452033,0.14407647939626653,0.006082841609213485,471.97844303470976,473.15,0.002476079394040414,765.5316082029672,1100.0,0.30406217436093896,0.40421190612694013,0.4,0.010529765317350281,-0.2013242382908754,-0.2,0.0066211914543769235,1.3727823401143733,1.25,0.09822587209149862,0.49279452873498847,0.45,0.09509895274441879
0.0,1,0.1,0.1,663.5329020507428,censored,5.970054400903962,True,0.08295877643158067,332.93749235353243,0.21254925055958443,0.1440238895803622,0.006106971863010516,471.9693070034801,473.15,0.0024953883472892207,765.5316082029672,1100.0,0.30406217436093896,0.40425089156886934,0.4,0.010627228922173299,-0.20127801890881714,-0.2,0.006390094544085623,1.3731078200326796,1.25,0.09848625602614369,0.4929003740692178,0.45,0.09533416459826169
0.0,2,0.1,0.1,663.5329020507428,exact,0.0003099972549096933,True,0.2257064839099787,832.9692379882445,0.5317724538082081,0.39085045205419744,0.025712867447812985,467.78928011948454,473.15,0.011329852859590896,266.33170369526323,1100.0,0.7578802693679425,0.39839459969541485,0.4,0.004013500761462924,-0.1993548795762351,-0.2,0.0032256021188245554,1.909856865883034,1.25,0.5278854927064272,0.68788133923291,0.45,0.5286251982953554
0.0,2,0.1,0.1,663.5329020507428,discard,9.100304075135545e-05,True,0.20300159535059795,755.1283646242764,0.48207838307000944,0.3519649811978767,0.01961459083918584,470.6666831210344,473.15,0.005248476971289404,341.71606327139966,1100.0,0.6893490333896367,0.38656305437958066,0.4,0.0335923640510484,-0.19688931504881985,-0.2,0.015553424755900824,1.6790259508944603,1.25,0.34322076071556823,0.6050108129861879,0.45,0.3444684733026397
0.0,2,0.1,0.1,663.5329020507428,hinge,1.169409742767928e-05,True,0.08298777232485646,332.93777746202454,0.21254943257452033,0.14407647939626653,0.006082841609213485,471.97844303470976,473.15,0.002476079394040414,765.5316082029672,1100.0,0.30406217436093896,0.40421190612694013,0.4,0.010529765317350281,-0.2013242382908754,-0.2,0.0066211914543769235,1.3727823401143733,1.25,0.09822587209149862,0.49279452873498847,0.45,0.09509895274441879
0.0,2,0.1,0.1,663.5329020507428,censored,5.97005440090404,True,0.08295877631582423,332.9374927984061,0.21254925084359438,0.14402388936102786,0.0061069720684405575,471.9693074280864,473.15,0.0024953874498860745,765.5316082029672,1100.0,0.30406217436093896,0.4042508980337769,0.4,0.010627245084442183,-0.20127802511576462,-0.2,0.0063901255788230416,1.3731078237892107,1.25,0.09848625903136857,0.49290037246191765,0.45,0.09533416102648364
10.0,0,0.1,0.09979166666666667,663.5329020507428,exact,0.0003928170838553106,True,0.22612330807089517,834.4618519067539,0.5327253473003508,0.39171519505946817,0.026103069744750126,467.80031317134467,473.15,0.011306534563363222,264.82834207519596,1100.0,0.7592469617498219,0.4067722225630334,0.4,0.01693055640758348,-0.20053623094171627,-0.2,0.002681154708581296,1.9219585621575523,1.25,0.5375668497260419,0.6889256862917891,0.45,0.530945969537309
10.0,0,0.1,0.09979166666666667,663.5329020507428,discard,0.00029556623834217383,True,0.24698301819670165,891.0646728581764,0.5688609206409709,0.4277292823953379,0.029395232515757777,469.92121572466885,473.15,0.006824018335266031,205.93250673521715,1100.0,0.8127886302407117,0.39712377859400205,0.4,0.007190553514994924,-0.1996751590248259,-0.2,0.0016242048758705052,1.9615516949422387,1.25,0.569241355953791,0.7044002299759794,0.45,0.5653338443910653
