target_frac_saturated,actual_frac_saturated,Tmax,method,objective,success,field_rel_l2,peak_abs_error,peak_rel_error,sat_region_rel_l2,unsat_region_rel_l2,T0_hat,T0_true,T0_rel_error,A_hat,A_true,A_rel_error,xc_hat,xc_true,xc_rel_error,yc_hat,yc_true,yc_rel_error,sx_hat,sx_true,sx_rel_error,sy_hat,sy_true,sy_rel_error
0.0,0.0,1573.1120104070187,exact,6.068889735673953e-10,True,4.364139789292962e-05,0.08390090342118128,5.336827329463592e-05,,4.364139789292962e-05,473.1397611355588,473.15,2.1639785356000654e-05,1100.0990106697539,1100.0,9.000969977622927e-05,0.40017037014263324,0.4,0.00042592535658303454,-0.19998554311153371,-0.2,7.228444233148279e-05,1.2500148961577557,1.25,1.1916926204591505e-05,0.44999086009537803,0.45,2.031089915995506e-05
0.0,0.0,1573.1120104070187,discard,6.068889735673953e-10,True,4.364139789292962e-05,0.08390090342118128,5.336827329463592e-05,,4.364139789292962e-05,473.1397611355588,473.15,2.1639785356000654e-05,1100.0990106697539,1100.0,9.000969977622927e-05,0.40017037014263324,0.4,0.00042592535658303454,-0.19998554311153371,-0.2,7.228444233148279e-05,1.2500148961577557,1.25,1.1916926204591505e-05,0.44999086009537803,0.45,2.031089915995506e-05
0.0,0.0,1573.1120104070187,hinge,6.068889735673953e-10,True,4.364139789292962e-05,0.08390090342118128,5.336827329463592e-05,,4.364139789292962e-05,473.1397611355588,473.15,2.1639785356000654e-05,1100.0990106697539,1100.0,9.000969977622927e-05,0.40017037014263324,0.4,0.00042592535658303454,-0.19998554311153371,-0.2,7.228444233148279e-05,1.2500148961577557,1.25,1.1916926204591505e-05,0.44999086009537803,0.45,2.031089915995506e-05
0.0,0.0,1573.1120104070187,censored,1.40407813863627e-13,True,1.8775203889713114e-08,3.5523484029909014e-05,2.2596026106760682e-08,,1.8775203889713114e-08,473.1500059202055,473.15,1.2512322781432585e-08,1100.0000316641283,1100.0,2.8785571182445645e-08,0.400000043341137,0.4,1.0835284239285592e-07,-0.20000000911463997,-0.2,4.557319979725527e-08,1.24999991880335,1.25,6.495732005618037e-08,0.4499999878516807,0.45,2.6996265099931016e-08
0.01,0.01,1393.0697214785998,exact,6.167738384508079e-05,True,0.011728928343910379,54.7804067630218,0.034845104165853416,0.0314924056976443,0.008610234764021925,472.26197748815815,473.15,0.0018768308397798272,1046.0080840894927,1100.0,0.049083559918642966,0.40000692161409573,0.4,1.730403523927948e-05,-0.19998950959311132,-0.2,5.2452034443456474e-05,1.2817620869554216,1.25,0.025409669564337278,0.46141309506516726,0.45,0.025362433478149433
0.01,0.01,1393.0697214785998,discard,2.163404198615488e-09,True,9.2869600701982e-05,0.28541084917446824,0.00018154612857424553,0.000165936108525832,8.497375188435251e-05,473.1301677402492,473.15,4.191537514696269e-05,1099.7403210770983,1100.0,0.00023607174809244086,0.40027617170320573,0.4,0.000690429258014269,-0.19995013941634387,-0.2,0.0002493029182806805,1.2500348669347279,1.25,2.7893547782298354e-05,0.45010596889673365,0.45,0.00023548643718587472
0.01,0.01,1393.0697214785998,hinge,3.971144164442034e-10,True,3.622877300448789e-05,0.031672618973516364,2.0146540935919918e-05,3.3750612987880026e-05,3.640606892183512e-05,473.14368614544816,473.15,1.3344297900919342e-05,1100.0433285015963,1100.0,3.93895469057332e-05,0.40012565233342373,0.4,0.00031413083355927296,-0.20002200824523966,-0.2,0.00011004122619825973,1.2499874916493998,1.25,1.0006680480145746e-05,0.4500298291523326,0.45,6.628700518349381e-05
0.01,0.01,1393.0697214785998,censored,0.010003188530749193,True,0.005053828372825341,23.772487378307233,0.015121369992048182,0.013674169321985303,0.003681414634649063,473.47304244088906,473.15,0.0006827484748791771,1123.4713254938663,1100.0,0.021337568630787535,0.40069949908828895,0.4,0.00174874772072231,-0.19917648286650563,-0.2,0.00411758566747189,1.2377535558447386,1.25,0.009797155324209151,0.4456868983978478,0.45,0.009584670227004896
0.05,0.05,928.3411439696964,exact,0.0005572449851003997,True,0.1216868472951627,501.27346411370536,0.318853530025463,0.24362515747554195,0.034203119379521474,467.9580086562502,473.15,0.01097324599756907,603.2370566780241,1100.0,0.45160267574725077,0.3989697025076429,0.4,0.002575743730892782,-0.20030431097340803,-0.2,0.0015215548670401147,1.5667705617398018,1.25,0.25341644939184144,0.5644979309936586,0.45,0.25443984665257474
0.05,0.05,928.3411439696964,discard,7.923067428405542e-09,True,0.0006123495894725298,2.5925784503101568,0.0016491054283332776,0.0012243260034944911,0.00017565069144558085,473.12288961088643,473.15,5.729766271487975e-05,1102.6151077648774,1100.0,0.002377370695343085,0.39970209796845263,0.4,0.0007447550788684809,-0.20002868020915748,-0.2,0.00014340104578736135,1.249491714381111,1.25,0.00040662849511114986,0.44961139738974304,0.45,0.0008635613561266038
