method,hinge_lambda,target_frac_saturated,actual_frac_saturated,Tmax,objective,success,field_rel_l2,peak_abs_error,peak_rel_error,sat_region_rel_l2,unsat_region_rel_l2,T0_hat,T0_true,T0_rel_error,A_hat,A_true,A_rel_error,xc_hat,xc_true,xc_rel_error,yc_hat,yc_true,yc_rel_error,sx_hat,sx_true,sx_rel_error,sy_hat,sy_true,sy_rel_error
exact,,0.4,0.4,474.19665646137884,2.381226359338045e-06,True,0.330139423057216,1080.6977314298185,0.6874177693929242,0.43413065743146967,0.0004795798695716042,473.3407825213756,473.15,0.0004032178408023634,18.1694935557816,1100.0,0.9834822785856531,2.789226652825072,0.4,5.97306663206268,-0.44782715811174134,-0.2,1.2391357905587066,0.5,1.25,0.6,0.30000000000000004,0.45,0.33333333333333326
discard,,0.4,0.4,474.19665646137884,4.100158723294464e-08,True,0.320441552136429,930.1764406005989,0.591673134257003,0.4213780650869627,0.00042787645075702984,473.240552765935,473.15,0.00019138278756208684,169.48143747139073,1100.0,0.8459259659350993,1.0734050390151817,0.4,1.6835125975379541,-0.7494152063398596,-0.2,2.747076031699298,0.5,1.25,0.6,0.30000000000000004,0.45,0.33333333333333326
censored,,0.4,0.4,474.19665646137884,0.07620595096422267,True,0.24720622665559325,901.3391795818923,0.5733301276341857,0.32494492067807024,0.010740124008521043,470.8116989985651,473.15,0.004941986688016274,200.0,1100.0,0.8181818181818182,0.4777044997696452,0.4,0.1942612494241129,-0.20245795821228846,-0.2,0.012289791061442235,2.1823693419374,1.25,0.7458954735499201,0.7573528782558753,0.45,0.6830063961241672
hinge,0.001,0.4,0.4,474.19665646137884,4.1682864921381886e-08,True,0.320441552136429,930.1764406005989,0.591673134257003,0.4213780650869627,0.00042787645075702984,473.240552765935,473.15,0.00019138278756208684,169.48143747139073,1100.0,0.8459259659350993,1.0734050390151817,0.4,1.6835125975379541,-0.7494152063398596,-0.2,2.747076031699298,0.5,1.25,0.6,0.30000000000000004,0.45,0.33333333333333326
hinge,0.01,0.4,0.4,474.19665646137884,4.781436411731713e-08,True,0.320441552136429,930.1764406005989,0.591673134257003,0.4213780650869627,0.00042787645075702984,473.240552765935,473.15,0.00019138278756208684,169.48143747139073,1100.0,0.8459259659350993,1.0734050390151817,0.4,1.6835125975379541,-0.7494152063398596,-0.2,2.747076031699298,0.5,1.25,0.6,0.30000000000000004,0.45,0.33333333333333326
hinge,0.1,0.4,0.4,474.19665646137884,1.0912935607666955e-07,True,0.320441552136429,930.1764406005989,0.591673134257003,0.4213780650869627,0.00042787645075702984,473.240552765935,473.15,0.00019138278756208684,169.48143747139073,1100.0,0.8459259659350993,1.0734050390151817,0.4,1.6835125975379541,-0.7494152063398596,-0.2,2.747076031699298,0.5,1.25,0.6,0.30000000000000004,0.45,0.33333333333333326
hinge,1.0,0.4,0.4,474.19665646137884,7.222792756701938e-07,True,0.320441552136429,930.1764406005989,0.591673134257003,0.4213780650869627,0.00042787645075702984,473.240552765935,473.15,0.00019138278756208684,169.48143747139073,1100.0,0.8459259659350993,1.0734050390151817,0.4,1.6835125975379541,-0.7494152063398596,-0.2,2.747076031699298,0.5,1.25,0.6,0.30000000000000004,0.45,0.33333333333333326
hinge,10.0,0.4,0.4,474.19665646137884,9.511257892220767e-07,True,0.3145193960565733,1048.8295012009244,0.6671468026819433,0.4135890200548049,0.0013526197678532291,473.3510340725489,473.15,0.0004248844394989058,49.944646149379636,1100.0,0.9545957762278366,-0.12214825594209706,0.4,1.3053706398552427,-0.49808685060683555,-0.2,1.4904342530341776,1.3379208249423595,1.25,0.07033665995388763,0.6531827492846011,0.45,0.4515172206324468
hinge,100.0,0.4,0.4,474.19665646137884,5.748960918561013e-07,True,0.311944197487308,1048.687089445937,0.6670562164170686,0.41020335593734886,0.001012006688126781,473.51514504888587,473.15,0.000771732112196751,49.922264696670034,1100.0,0.9546161230030272,0.03700021043155146,0.4,0.9074994739211214,-0.25271417179668276,-0.2,0.26357085898341376,1.5167314605424345,1.25,0.21338516843394756,0.6387895703575116,0.45,0.41953237857224795
hinge,1000.0,0.4,0.4,474.19665646137884,7.498618758722746e-07,True,0.31131273097924583,1048.520745706794,0.6669504073283765,0.40937115525946177,0.0017531124459802317,473.7198078668292,473.15,0.0012042858857217605,49.89917475403811,1100.0,0.9546371138599654,0.39317509545239593,0.4,0.017062261369010234,-0.10016237348887443,-0.2,0.4991881325556279,1.4764090113195891,1.25,0.1811272090556713,0.6964834531722092,0.45,0.5477410070493537
