method,objective,success,field_rel_l2,peak_abs_error,peak_rel_error,sat_region_rel_l2,unsat_region_rel_l2,T0_hat,T0_true,T0_rel_error,A_hat,A_true,A_rel_error,xc_hat,xc_true,xc_rel_error,yc_hat,yc_true,yc_rel_error,sx_hat,sx_true,sx_rel_error,sy_hat,sy_true,sy_rel_error
exact,0.0003174947304527557,True,0.22557413103416987,836.3162002740746,0.5319698563065827,0.3902082091976214,0.026168855237637824,467.87409243844115,473.15,0.011150602476083325,268.0327245716868,1100.0,0.756333886753012,0.400430957599762,0.4,0.0010773939994049297,-0.20018460974645355,-0.2,0.0009230487322677006,1.908372496899547,1.25,0.5266979975196376,0.6879977180908069,0.45,0.5288838179795708
discard,8.619211975392255e-06,True,0.08881303818149018,351.8133732585861,0.22378391038912163,0.15409056723494,0.006033136469547914,472.18630928602903,473.15,0.002036755181170766,748.6710208043567,1100.0,0.3193899810869485,0.3993754753929344,0.4,0.001561311517664088,-0.19928976261288375,-0.2,0.003551186935581291,1.3655853377758218,1.25,0.09246827022065744,0.4920446419988196,0.45,0.09343253777515462
hinge,1.1126921621840486e-05,True,0.08065584581729897,325.7332989798979,0.20719471438651865,0.139895675761399,0.005988526476602433,471.9957923762272,473.15,0.0024394116533293397,775.1012342637491,1100.0,0.2953625143056826,0.40213693009768553,0.4,0.005342325244213769,-0.2018267736819995,-0.2,0.009133868409997442,1.366862139013495,1.25,0.09348971121079597,0.4920991169890343,0.45,0.0935535933089651
censored,0.06865295449903167,True,0.07817172970968765,326.4408693722198,0.2076447907090949,0.13510289527779554,0.009928703969211963,471.29430715809235,473.15,0.003921996918329548,775.1012342637491,1100.0,0.2953625143056826,0.40210451976466316,0.4,0.005261299411657844,-0.20279109095809375,-0.2,0.013955454790468697,1.3975332110651062,1.25,0.11802656885208496,0.5019668862258089,0.45,0.11548196939068636
