observation_seed,lengthscale,unsat_neg_log_marginal_likelihood
0,0.25,249.2510501585939
0,0.270969773542972,245.2708112678041
0,0.2936984726957182,241.55816430074344
0,0.31833363454510205,238.27480854472975
0,0.3450351714551901,235.31601034781573
0,0.3739764090942936,232.44223628626315
0,0.40534521153077835,229.66459210469566
0,0.43934520070089245,227.17192776669077
0,0.4761970781644497,225.05081779015956
0,0.5161400577281836,223.170484976514
0,0.5594334182362497,221.32025098865074
0,0.6063581866073894,219.41966554353945
0,0.6572189620437259,217.5093759573512
0,0.7123458932525423,215.63556340269486
0,0.77209682151563,213.82514974378387
0,0.8368596035173551,212.10280047578698
0,0.9070546290094362,210.48986894447705
0,0.9831375496551656,209.00029046709932
0,1.065602236766611,207.662182217083
0,1.154983987134132,206.54424636575067
0,1.251862997757979,205.7640293796352
0,1.3568681320372225,205.53050683417945
0,1.4706810018632064,206.19936192923836
0,1.5940403921152975,208.23747253516524
0,1.7277470562793298,212.17818486094546
0,1.872668914318186,218.70365338456213
0,2.029746686535049,228.52559876771545
0,2.2,241.54869992051187
1,0.25,242.13760970553474
1,0.270969773542972,238.33494401613433
1,0.2936984726957182,234.89988099065653
1,0.31833363454510205,231.64426609920238
1,0.3450351714551901,228.40057076864744
1,0.3739764090942936,225.21881437492186
1,0.40534521153077835,222.21877214986503
1,0.43934520070089245,219.45537518465684
1,0.4761970781644497,216.89412182568196
1,0.5161400577281836,214.47659259862232
1,0.5594334182362497,212.18848972125824
1,0.6063581866073894,210.04776224518704
1,0.6572189620437259,208.05343747323263
1,0.7123458932525423,206.1712434390365
1,0.77209682151563,204.37970836762207
1,0.8368596035173551,202.68645918576377
1,0.9070546290094362,201.11166989366146
1,0.9831375496551656,199.6878523398836
1,1.065602236766611,198.47766895530648
1,1.154983987134132,197.59489640999038
1,1.251862997757979,197.20848585272796
1,1.3568681320372225,197.52096788352227
1,1.4706810018632064,198.7415285024571
1,1.5940403921152975,201.06827577762238
1,1.7277470562793298,204.71741361493267
1,1.872668914318186,209.86038197176322
1,2.029746686535049,216.51520679421773
1,2.2,224.47227300008367
2,0.25,247.11252648258312
2,0.270969773542972,243.81900317308302
2,0.2936984726957182,240.62616194756458
2,0.31833363454510205,237.57407233300935
2,0.3450351714551901,234.84797498666362
2,0.3739764090942936,232.57594136417507
2,0.40534521153077835,230.52440636865074
2,0.43934520070089245,228.4681250529947
2,0.4761970781644497,226.42226656558276
2,0.5161400577281836,224.44351983416158
2,0.5594334182362497,222.5291300969473
2,0.6063581866073894,220.63209392128982
2,0.6572189620437259,218.75931779543313
2,0.7123458932525423,216.97710590709616
2,0.77209682151563,215.32923472720034
2,0.8368596035173551,213.81480409170084
2,0.9070546290094362,212.4018988402743
2,0.9831375496551656,211.07782815609997
2,1.065602236766611,209.90139844627737
2,1.154983987134132,208.98803341651123
2,1.251862997757979,208.4914468793637
2,1.3568681320372225,208.6215560428221
2,1.4706810018632064,209.6413536383536
2,1.5940403921152975,211.81161842325102
2,1.7277470562793298,215.42025270509646
2,1.872668914318186,220.76691543299916
2,2.029746686535049,227.99196907511504
2,2.2,236.8621410879466
3,0.25,245.68851875043174
3,0.270969773542972,242.31407333837691
3,0.2936984726957182,239.27481959746075
3,0.31833363454510205,236.40135322585297
3,0.3450351714551901,233.7756007018677
3,0.3739764090942936,231.49470529162076
3,0.40534521153077835,229.4690990232475
3,0.43934520070089245,227.62115526043468
3,0.4761970781644497,225.98105376433128
3,0.5161400577281836,224.6417456194279
3,0.5594334182362497,223.54275835395438
3,0.6063581866073894,222.41331115589335
3,0.6572189620437259,221.03289869700987
3,0.7123458932525423,219.439170720338
3,0.77209682151563,217.7919417820159
3,0.8368596035173551,216.20548496471557
3,0.9070546290094362,214.7397063837603
3,0.9831375496551656,213.44011088819485
3,1.065602236766611,212.36150801278478
3,1.154983987134132,211.61283702701914
3,1.251862997757979,211.4425906996047
3,1.3568681320372225,212.23470664508073
3,1.4706810018632064,214.25703900854745
3,1.5940403921152975,217.44478103524534
3,1.7277470562793298,221.70027767237022
3,1.872668914318186,227.1153581552941
3,2.029746686535049,233.73899557448735
3,2.2,241.34846210985813
4,0.25,242.62908669060067
4,0.270969773542972,239.04562765165977
4,0.2936984726957182,235.6393744050683
4,0.31833363454510205,232.45328172034576
4,0.3450351714551901,229.50908132058248
4,0.3739764090942936,226.71605286445373
4,0.40534521153077835,224.0381633896838
4,0.43934520070089245,221.53224021566086
4,0.4761970781644497,219.1993632177999
4,0.5161400577281836,216.98306563079188
4,0.5594334182362497,214.86194444565888
4,0.6063581866073894,212.8632943926288
4,0.6572189620437259,211.00361313665684
4,0.7123458932525423,209.2832788975552
4,0.77209682151563,207.72333770300335
4,0.8368596035173551,206.37340298185626
4,0.9070546290094362,205.27416170000217
4,0.9831375496551656,204.39724635625782
4,1.065602236766611,203.6598983093012
4,1.154983987134132,203.02040120556254
4,1.251862997757979,202.53414766778954
4,1.3568681320372225,202.3395073122525
4,1.4706810018632064,202.60195909668278
4,1.5940403921152975,203.49098046085385
4,1.7277470562793298,205.15855325998442
4,1.872668914318186,207.69178886255335
4,2.029746686535049,211.14735665060584
4,2.2,215.48243737121248
5,0.25,246.2644874765587
5,0.270969773542972,242.61169952955547
5,0.2936984726957182,239.01584181617164
5,0.31833363454510205,235.66648384309087
5,0.3450351714551901,232.7362987776939
5,0.3739764090942936,230.2966191168943
5,0.40534521153077835,228.27169934232404
5,0.43934520070089245,226.4590335996038
5,0.4761970781644497,224.64247867212404
5,0.5161400577281836,222.7310018900764
5,0.5594334182362497,220.73847166459666
5,0.6063581866073894,218.71712539284025
5,0.6572189620437259,216.72127112789855
5,0.7123458932525423,214.79460747989634
5,0.77209682151563,212.9793777293293
5,0.8368596035173551,211.31063530152704
5,0.9070546290094362,209.82368871587985
5,0.9831375496551656,208.55837131217976
5,1.065602236766611,207.53055138807505
5,1.154983987134132,206.72144041458392
5,1.251862997757979,206.17016450161447
5,1.3568681320372225,206.06574752042667
5,1.4706810018632064,206.69422883057405
5,1.5940403921152975,208.37905784312667
5,1.7277470562793298,211.52521410742548
5,1.872668914318186,216.56643677240052
5,2.029746686535049,223.74500604939578
5,2.2,232.80533373734775
6,0.25,246.14993499068382
6,0.270969773542972,243.38659813608888
6,0.2936984726957182,240.523632490108
6,0.31833363454510205,237.3769537161468
6,0.3450351714551901,234.22237545426358
6,0.3739764090942936,231.22844785084138
6,0.40534521153077835,228.42465267440693
6,0.43934520070089245,225.81862450795808
6,0.4761970781644497,223.4182735417555
6,0.5161400577281836,221.19137198717044
6,0.5594334182362497,219.07188784882172
6,0.6063581866073894,217.02979955896376
6,0.6572189620437259,215.13077728144503
6,0.7123458932525423,213.47767784102456
6,0.77209682151563,212.10542345978257
6,0.8368596035173551,210.96928131480374
6,0.9070546290094362,210.0370403094492
6,0.9831375496551656,209.30614807605846
6,1.065602236766611,208.70686360578787
6,1.154983987134132,208.12026594876968
6,1.251862997757979,207.5212795199031
6,1.3568681320372225,207.08877431571554
6,1.4706810018632064,207.1792931087331
6,1.5940403921152975,208.234481957634
6,1.7277470562793298,210.6667440630881
6,1.872668914318186,214.70700745710533
6,2.029746686535049,220.35197558034
6,2.2,227.33738088402012
7,0.25,250.09573993878837
7,0.270969773542972,246.6257270087682
7,0.2936984726957182,243.36938673975305
7,0.31833363454510205,240.2350270230977
7,0.3450351714551901,237.18162000084044
7,0.3739764090942936,234.28781804537982
7,0.40534521153077835,231.5743110066785
7,0.43934520070089245,228.99434918805196
7,0.4761970781644497,226.50882459861344
7,0.5161400577281836,224.10916998719182
7,0.5594334182362497,221.83794359740955
7,0.6063581866073894,219.752117278451
7,0.6572189620437259,217.84860391472273
7,0.7123458932525423,216.05471774511687
7,0.77209682151563,214.3232887055566
7,0.8368596035173551,212.66603507800835
7,0.9070546290094362,211.118515521588
7,0.9831375496551656,209.73623115198455
7,1.065602236766611,208.62059571176076
7,1.154983987134132,207.95045960655256
7,1.251862997757979,207.99498934608528
7,1.3568681320372225,209.09991620421857
7,1.4706810018632064,211.6270107871805
7,1.5940403921152975,215.82061606179946
7,1.7277470562793298,221.8035206266008
7,1.872668914318186,229.5960790541007
7,2.029746686535049,239.09851744276756
7,2.2,250.10600011886805
8,0.25,244.1399551097433
8,0.270969773542972,240.1196531824495
8,0.2936984726957182,236.50091236058927
8,0.31833363454510205,233.30672670164637
8,0.3450351714551901,230.43403213039204
8,0.3739764090942936,227.78058764954682
8,0.40534521153077835,225.4198365206272
8,0.43934520070089245,223.42819331174925
8,0.4761970781644497,221.627368505659
8,0.5161400577281836,219.7482824041119
8,0.5594334182362497,217.7672192042284
8,0.6063581866073894,215.82921067966285
8,0.6572189620437259,213.9957327558646
8,0.7123458932525423,212.24668978676812
8,0.77209682151563,210.60244296408442
8,0.8368596035173551,209.1192650279813
8,0.9070546290094362,207.83230995098145
8,0.9831375496551656,206.7545230697779
8,1.065602236766611,205.91641300310764
8,1.154983987134132,205.41081888038846
8,1.251862997757979,205.42006910806725
8,1.3568681320372225,206.23431643475007
8,1.4706810018632064,208.1205493345645
8,1.5940403921152975,210.99572891956007
8,1.7277470562793298,214.57773543276275
8,1.872668914318186,218.9792024920416
8,2.029746686535049,224.64206514158107
8,2.2,231.6621429902787
9,0.25,252.9203595564258
9,0.270969773542972,249.089598363658
9,0.2936984726957182,245.46181618566607
9,0.31833363454510205,241.99605379531522
9,0.3450351714551901,238.6944711396123
9,0.3739764090942936,235.6541390729339
9,0.40534521153077835,232.99428341214485
9,0.43934520070089245,230.68962314709665
9,0.4761970781644497,228.57324477361988
9,0.5161400577281836,226.52610049713684
9,0.5594334182362497,224.5158637908575
9,0.6063581866073894,222.571049708796
9,0.6572189620437259,220.79324097747826
9,0.7123458932525423,219.2593069975605
9,0.77209682151563,217.89603098328848
9,0.8368596035173551,216.55049459557176
9,0.9070546290094362,215.18368359239707
9,0.9831375496551656,213.88400486565394
9,1.065602236766611,212.76019586758832
9,1.154983987134132,211.89603749808418
9,1.251862997757979,211.3741943281192
9,1.3568681320372225,211.3082575517842
9,1.4706810018632064,211.9124654895126
9,1.5940403921152975,213.58153948062215
9,1.7277470562793298,216.7897203015142
9,1.872668914318186,221.88558604115212
9,2.029746686535049,229.08146386525863
9,2.2,238.3632981830948
10,0.25,248.54783204858325
10,0.270969773542972,244.99991129363679
10,0.2936984726957182,241.6086464050606
10,0.31833363454510205,238.19325179797426
10,0.3450351714551901,234.77031356549872
10,0.3739764090942936,231.44720583218879
10,0.40534521153077835,228.2911377129535
10,0.43934520070089245,225.35604135090136
10,0.4761970781644497,222.66382548590218
10,0.5161400577281836,220.18285805487847
10,0.5594334182362497,217.86465033614445
10,0.6063581866073894,215.68855505882095
10,0.6572189620437259,213.65301767934102
10,0.7123458932525423,211.75149727214455
10,0.77209682151563,209.976182475006
10,0.8368596035173551,208.316942834484
10,0.9070546290094362,206.7899090752178
10,0.9831375496551656,205.45695518509933
10,1.065602236766611,204.40713574536454
10,1.154983987134132,203.7465261149079
10,1.251862997757979,203.5706341305497
10,1.3568681320372225,203.97667656231954
10,1.4706810018632064,205.19673082812142
10,1.5940403921152975,207.59741486431062
10,1.7277470562793298,211.60651319652646
10,1.872668914318186,217.8121592187569
10,2.029746686535049,226.8436836851675
10,2.2,238.72580733174777
11,0.25,239.07338157693914
11,0.270969773542972,235.31189950646754
11,0.2936984726957182,231.63882832860054
11,0.31833363454510205,228.13079832556528
11,0.3450351714551901,224.83491566082748
11,0.3739764090942936,221.8031054806661
11,0.40534521153077835,219.10232825914318
11,0.43934520070089245,216.72064647458268
11,0.4761970781644497,214.53885654536438
11,0.5161400577281836,212.45623288280746
11,0.5594334182362497,210.47302855332475
11,0.6063581866073894,208.64172598701515
11,0.6572189620437259,206.96415957161128
11,0.7123458932525423,205.3735472434069
11,0.77209682151563,203.8214996302904
11,0.8368596035173551,202.31336021404468
11,0.9070546290094362,200.85942486878542
11,0.9831375496551656,199.46472626846014
11,1.065602236766611,198.16423649476164
11,1.154983987134132,197.02431055570815
11,1.251862997757979,196.13175766909035
11,1.3568681320372225,195.61345671243808
11,1.4706810018632064,195.6674133332234
11,1.5940403921152975,196.55595802596682
11,1.7277470562793298,198.49408544818033
11,1.872668914318186,201.49265685584933
11,2.029746686535049,205.4631471926486
11,2.2,210.3693145361812
12,0.25,250.37303260025624
12,0.270969773542972,246.64464499836987
12,0.2936984726957182,243.21894021542482
12,0.31833363454510205,239.83150640890437
12,0.3450351714551901,236.47355639008475
12,0.3739764090942936,233.28134686538777
12,0.40534521153077835,230.36062470208094
12,0.43934520070089245,227.76411919921156
12,0.4761970781644497,225.50623352783015
12,0.5161400577281836,223.55618517817044
12,0.5594334182362497,221.81331268401073
12,0.6063581866073894,220.17838779908504
12,0.6572189620437259,218.60749662795655
12,0.7123458932525423,217.0493097831831
12,0.77209682151563,215.45353220472612
12,0.8368596035173551,213.84515890132855
12,0.9070546290094362,212.29911033004248
12,0.9831375496551656,210.87013683622018
12,1.065602236766611,209.61764915552396
12,1.154983987134132,208.62084875538977
12,1.251862997757979,207.93862146491227
12,1.3568681320372225,207.62628767574813
12,1.4706810018632064,207.80879640233013
12,1.5940403921152975,208.72370691731368
12,1.7277470562793298,210.7211108484771
12,1.872668914318186,214.24484797618425
