method,field_rel_l2,hot_region_rel_l2,peak_true,peak_pred,peak_abs_error,peak_rel_error,true_peak_location,posterior_mean_at_true_peak,posterior_sd_at_true_peak,peak_ci_lower,peak_ci_upper,true_peak_in_95,target_frac_saturated,observation_seed,actual_frac_saturated,threshold,noise_sd,lengthscale,signal_sd,scenario
censored Laplace,0.07074946755770421,0.09106772834095507,1323.1498397771425,1170.3782051607463,152.7716346163961,0.11546056993977899,0.250429799426934,1170.2998359861872,42.225100591282384,1087.5386388272736,1253.0610331451007,False,0.25,1,0.2545454545454545,840.05531621472,20.0,1.2621763905578742,500.0,unsat_mll_tuned
censored sampled,0.06952297713770973,0.08934757462272631,1323.1498397771425,1173.445457086399,149.7043826907434,0.11314242589180831,0.250429799426934,1173.3031046041312,42.12292140486045,1096.3312945387484,1260.5203135462052,False,0.25,1,0.2545454545454545,840.05531621472,20.0,1.2621763905578742,500.0,unsat_mll_tuned
oracle true,0.010508297428432973,0.009219367638813113,1323.1498397771425,1307.7822058334414,15.367633943701094,0.01161443207844809,0.250429799426934,1307.7822058334414,7.603406994699576,1292.8795281238301,1322.6848835430526,False,0.25,1,0.2545454545454545,840.05531621472,20.0,1.2621763905578742,500.0,unsat_mll_tuned
exact clipped,0.22335347842348852,0.2896913389460466,1323.1498397771425,850.1902948497631,472.9595449273794,0.3574497239156525,0.250429799426934,841.0132878479687,11.192394826987393,819.0761939870735,862.950381708864,False,0.25,2,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
discard saturated,0.17457859046097532,0.2261109918785556,1323.1498397771425,1010.2723411330302,312.8774986441123,0.2364641473234884,0.250429799426934,900.4244189663369,392.3853554085726,131.34912236553464,1669.4997155671392,True,0.25,2,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
censored Laplace,0.12604459420185424,0.162587250874042,1323.1498397771425,1037.6456004998536,285.5042392772889,0.21577619608477316,0.250429799426934,1002.2291648055983,365.4185458777681,286.0088148851728,1718.4495147260238,True,0.25,2,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
censored sampled,0.027733724503966405,0.030445607241864143,1323.1498397771425,1266.65755065125,56.49228912589251,0.042695307385146555,0.250429799426934,1265.1560836862052,273.3311101670269,874.6897538046097,1896.5317460311187,True,0.25,2,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
oracle true,9.041990572895926e-05,0.00011739130075366428,1323.1498397771425,1322.9435021724382,0.20633760470423113,0.00015594424644980835,0.250429799426934,1322.9435021724382,11.192394826987393,1301.006408311543,1344.8805960333334,True,0.25,2,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
exact clipped,0.21888128897384798,0.28309117593973665,1323.1498397771425,864.0344904429352,459.1153493342073,0.3469866643459942,0.250429799426934,863.9912691755948,7.539071819244147,849.2146884098762,878.7678499413133,False,0.25,2,0.2545454545454545,840.05531621472,20.0,1.2863528543169036,500.0,unsat_mll_tuned
discard saturated,0.08391756034769376,0.10874247644953043,1323.1498397771425,1140.383569819313,182.76626995782954,0.13812968453263977,0.250429799426934,1140.383569819313,46.75648663762662,1048.7408560095648,1232.026283629061,False,0.25,2,0.2545454545454545,840.05531621472,20.0,1.2863528543169036,500.0,unsat_mll_tuned
censored Laplace,0.0703187509995418,0.09094870242940123,1323.1498397771425,1167.483697218582,155.66614255856052,0.11764815886973111,0.250429799426934,1167.4368355662364,41.26786938545633,1086.5518115707418,1248.321859561731,False,0.25,2,0.2545454545454545,840.05531621472,20.0,1.2863528543169036,500.0,unsat_mll_tuned
censored sampled,0.06805387115674248,0.08802000293803575,1323.1498397771425,1172.1033083098628,151.0465314672797,0.11415678476197404,0.250429799426934,1172.1033083098628,41.57549676217604,1089.990300491469,1251.5270594786741,False,0.25,2,0.2545454545454545,840.05531621472,20.0,1.2863528543169036,500.0,unsat_mll_tuned
oracle true,0.011618759193025827,0.010168420106546325,1323.1498397771425,1306.1571968652856,16.99264291185682,0.012842568846714203,0.250429799426934,1306.1571968652856,7.539071819244147,1291.380616099567,1320.9337776310042,False,0.25,2,0.2545454545454545,840.05531621472,20.0,1.2863528543169036,500.0,unsat_mll_tuned
