field,field_label,method,target_frac_saturated,actual_frac_saturated,Tmax,objective,success,T0_hat,A_hat,xc_hat,yc_hat,sx_hat,sy_hat,field_rel_l2,peak_abs_error,peak_rel_error,sat_region_rel_l2,unsat_region_rel_l2
matched_gaussian,matched Gaussian,exact,0.1,0.1,663.5329020507428,0.0003098951685898191,True,467.97454644874784,264.7473627059408,0.4002119869661502,-0.19999976942173073,1.9128433325378704,0.6891982711961768,0.22615271738131282,834.372818882167,0.5326685080945371,0.39161358689721454,0.025835640840512656
matched_gaussian,matched Gaussian,discard,0.1,0.1,663.5329020507428,3.185072088039542e-05,True,471.4339983898838,532.142835958422,0.3953516679371054,-0.19874201625290866,1.4865089326622913,0.5359527441272207,0.1472601405760387,565.0709238013901,0.3607445965847024,0.2555889510104115,0.011604085880099283
matched_gaussian,matched Gaussian,hinge,0.1,0.1,663.5329020507428,1.169409742767928e-05,True,471.97844303470976,765.5316082029672,0.40421190612694013,-0.2013242382908754,1.3727823401143733,0.49279452873498847,0.08298777232485646,332.93777746202454,0.21254943257452033,0.14407647939626653,0.006082841609213485
matched_gaussian,matched Gaussian,censored,0.1,0.1,663.5329020507428,0.06821626831197851,True,471.2974308234492,765.5316082029672,0.40618516207241784,-0.20171615006877627,1.4036784277545558,0.502415262402479,0.08054732516726221,333.49304966126965,0.21290392160779747,0.13937861585168035,0.009920549762868776
rotated_gaussian,rotated Gaussian,exact,0.1,0.1,655.4626342284881,0.0016827103086708621,True,476.2594889814322,194.91503116575788,0.4031572853981269,-0.19707819533346924,1.3817009677666563,0.9232837593313236,0.26276945989616424,900.1327059510267,0.5729681615008665,0.44841381091042004,0.06655843318639935
rotated_gaussian,rotated Gaussian,discard,0.1,0.1,655.4626342284881,0.0006549522925674669,True,480.4414697610334,182.23635504447435,-1.316769175648759,-1.3424274723852074,0.7549927707266934,0.5150755834862948,0.31060212114259783,908.6642605132407,0.5783988153366155,0.5365756271837588,0.0527043560308851
rotated_gaussian,rotated Gaussian,hinge,0.1,0.1,655.4626342284881,0.00498952740190561,True,455.7061229617484,240.43639454982804,0.41217661359407565,-0.18926661837456746,2.106802787568527,1.407689695508197,0.25237190502620477,874.9645936230712,0.5569477159002814,0.40977748111080864,0.11260759896618454
rotated_gaussian,rotated Gaussian,censored,0.1,0.1,655.4626342284881,7.211267427709242,True,458.10271123049256,262.4768097711143,0.4137421497332757,-0.1891641493457985,2.0050400866794322,1.340302862683393,0.24696004187018533,850.5459639626313,0.5414043440725345,0.3961037826232487,0.118527449850335
two_component_wake,two-component wake,exact,0.1,0.1,683.8280101265636,0.0004116948371638507,True,469.13455300017256,284.21926467581324,-0.33862949222909566,-0.1561597472334046,2.6515576802604235,0.5435792169022389,0.2311962812392852,928.9592855572253,0.552196999757442,0.39600620528893127,0.03129616123103021
two_component_wake,two-component wake,discard,0.1,0.1,683.8280101265636,0.00013544593142488006,True,472.4507446776033,554.6443333317277,-0.3411094269153305,-0.1441951291554969,2.039929077536302,0.4161419100231698,0.1603238733137501,655.3538598124305,0.3895589836865792,0.2742807980296376,0.023732857359434242
two_component_wake,two-component wake,hinge,0.1,0.1,683.8280101265636,0.0002571142071151954,True,472.4029896227279,790.750675165352,-0.21158807432279753,-0.16918051915586552,1.8283145178962963,0.40990582009514415,0.101285549172823,419.85006830456587,0.24956954698684336,0.1696976758855961,0.02912437755919813
two_component_wake,two-component wake,censored,0.1,0.1,683.8280101265636,0.4121272614448524,True,472.2951916468194,846.7120405062547,-0.20240878475095014,-0.16781985116928763,1.8120439435225315,0.40675842833680487,0.09056990451723336,363.9068973685603,0.21631550493348253,0.14988980541460942,0.031019226857120323
skewed_wake,skewed wake,exact,0.1,0.1,584.5138456453246,0.00013061403021296395,True,470.2192767157321,148.5613622766813,-0.7688620969099172,-0.20116742217403152,2.254300365692482,0.7075170110053659,0.22216205781899345,1001.9944304612036,0.6183691765244639,0.42177674866327397,0.018239952768410523
skewed_wake,skewed wake,discard,0.1,0.1,584.5138456453246,5.997355031288119e-05,True,472.2803988414968,196.10676187285364,-0.8631928733257959,-0.1983233417554897,1.9336079508932038,0.5982051281003795,0.21173760567586866,952.6112206412167,0.5878929045391352,0.40213648488430354,0.016000090657212095
skewed_wake,skewed wake,hinge,0.1,0.1,584.5138456453246,0.00011511253152650611,True,473.4489589994485,364.2925779271888,-0.468002711846383,-0.20126850360753254,1.5441245604703007,0.545223767033716,0.1644158239616364,784.1399900224555,0.483922849438295,0.31108857554898095,0.020816337423709974
skewed_wake,skewed wake,censored,0.1,0.1,584.5138456453246,0.2159014781140991,True,473.73657710060036,449.45538258129864,-0.37395751256160775,-0.20105939725139932,1.45432212859872,0.5291645362236593,0.14314156647131498,699.4251573402876,0.43164207847535874,0.2696723585678643,0.02383885454888519
