trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,fixed_top_01_crps_K,fixed_top_01_mae_K,fixed_top_03_crps_K,fixed_top_03_mae_K,fixed_top_05_crps_K,fixed_top_05_mae_K,fixed_top_10_crps_K,fixed_top_10_mae_K,true_peak_location_crps_K,true_peak_location_mae_K,field_maximum_crps_K,family,run_index,role,fraction_saturated,observed_saturated_fraction,observation_design,mean_type,residual_lengthscale_m,forcing_lengthscale_m,forcing_intensity_K2_per_s,crps_estimator,previous_posterior_design,prior_mean_field_rel_l2,prior_mean_peak_absolute_error_K,propagated_prior_sd_at_true_peak_K,propagated_prior_sd_hot_mean_K,uses_propagated_covariance,previous_n_saturated,previous_saturated_fraction,previous_clipped_hot_mae_K,previous_posterior_hot_mae_K,previous_posterior_hot_95_coverage,lengthscale_m,noise_sd_K,previous_posterior_seed,current_observation_seed,current_sampler_seed,previous_observations_reused_in_current_update,same_previous_posterior_for_pair,same_current_observations_for_pair,same_rbf_covariance_for_pair,displacement_x_m,displacement_y_m,displacement_m,source_experiment,mean_information,residual_model,previous_frame_in_residual,presentation_group
DiagonalScanPath_1,ambient mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,,1.0,117,2,294.6560504149699,0.9793637226823694,0.9850499084365087,334.19579037327884,297.0446455754362,37.15114479784262,3.4196267389530575,False,0.9972011195521792,0.9078947368421052,0.7696188483959013,2.8044559960831705,11.442651384406906,12.123083393480092,51.39517217385717,1.0,False,0.9078947368421052,12.123083393480092,51.39517217385717,5.8567379175437,7.4333293709833885,2.8044559960831705,3.710803244061171,2.03432661160831,2.6041017684156618,1.3802768977024404,1.5402415247693555,39.097507315493104,41.073607940752595,28.93095131144565,Diagonal,1,evaluation,0.03,0.017094017094017,fixed_stride_5,constant ambient,0.0003125,,,unbiased_M_times_M_minus_1,,,,,,,,,,,,,,,,,,,,,,,,19_stochastic_spde_ablation,ambient only,current-only RBF,False,ambient baseline
DiagonalScanPath_1,ambient mean + stochastic ST,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,,2.0,234,5,294.6560504149699,0.974255624239628,0.9745997473476816,334.19579037327884,297.26641239517227,36.92937797810657,2.9480175174836245,False,0.9956017592962816,0.868421052631579,0.6296119460941629,2.7078987840010225,9.064532617733606,9.69591619446244,53.76952798894753,1.0,False,0.868421052631579,9.69591619446244,53.76952798894753,5.9521131816611295,7.181779763317925,2.7078987840010225,3.4026917715517584,1.9430261409779483,2.3491999253036657,1.2696355007854612,1.3712715935726876,39.92644341817399,41.16198472536752,30.79067629417796,Diagonal,1,evaluation,0.03,0.0213675213675213,fixed_stride_5,constant ambient,0.0003125,0.0003125,1077.1162951691497,unbiased_M_times_M_minus_1,,,,,,,,,,,,,,,,,,,,,,,,19_stochastic_spde_ablation,ambient only,joint two-frame stationary stochastic heat covariance,True,ambient baseline
DiagonalScanPath_1,legacy latent-clipped physics mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1702227206133784,1.0,117,2,294.6560504149699,0.4395020080942645,0.4294946851149249,334.19579037327884,340.2588088609208,6.063018487641955,3.4196267389530575,True,0.9984006397441024,0.9473684210526316,0.7287507041357201,1.5005903161499337,11.4465492252087,12.17907139387774,19.87242809933087,1.0,True,0.9473684210526316,12.17907139387774,19.87242809933087,2.7149736516812357,3.8781561627066,1.5005903161499337,1.8940065583876304,1.2412836268705538,1.318772541357715,0.971713903661804,0.7253779157476575,4.249118775051999,6.063018487641955,4.2491187750519455,Diagonal,1,evaluation,0.03,0.017094017094017,fixed_stride_5,physics one-step clipped,0.0003125,,,unbiased_M_times_M_minus_1,,,,,,,,,,,,,,,,,,,,,,,,19_stochastic_spde_ablation,noise-free simulation field clipped at c,current-only RBF,False,legacy latent-clipped
DiagonalScanPath_1,legacy latent-clipped physics mean + stochastic ST,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2.0,234,5,294.6560504149699,0.4776324354951358,0.4347607596836339,334.19579037327884,340.15595385199447,5.960163478715629,2.9480181694010383,False,0.9976009596161536,0.9210526315789472,0.5940236941197773,1.4991819459630682,9.086195879299,10.11521803598112,20.23924512509549,1.0,False,0.9210526315789472,10.11521803598112,20.23924512509549,2.823289033851878,3.783712088102708,1.4991819459630682,1.9507065365410363,1.241268028842876,1.582408701951575,0.9157717541447916,0.9599868242527384,4.402022805359475,5.960163478715629,4.4020228053594375,Diagonal,1,evaluation,0.03,0.0213675213675213,fixed_stride_5,physics one-step clipped,0.0003125,0.0003125,1077.1162951691497,unbiased_M_times_M_minus_1,,,,,,,,,,,,,,,,,,,,,,,,19_stochastic_spde_ablation,noise-free simulation field clipped at c,joint two-frame stationary stochastic heat covariance,True,legacy latent-clipped
DiagonalScanPath_2,ambient mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,,1.0,117,1,294.7833581687172,0.965448120980114,0.9794418614852524,330.73381085494185,296.64554825832784,34.088262596614015,3.4196267389530575,False,0.9972011195521792,0.9078947368421052,0.7726569189039275,2.8405438024550196,11.465155075663642,12.030341515237165,50.90269879270391,1.0,False,0.9078947368421052,12.030341515237165,50.90269879270391,6.1030579459591285,7.812859553684849,2.8405438024550196,3.788842774762747,2.034108083520939,2.6224584616494115,1.3941691371856857,1.5864709004175557,35.8818808316512,37.53308547771684,25.62425551671207,Diagonal,2,evaluation,0.03,0.0085470085470085,fixed_stride_5,constant ambient,0.0003125,,,unbiased_M_times_M_minus_1,,,,,,,,,,,,,,,,,,,,,,,,19_stochastic_spde_ablation,ambient only,current-only RBF,False,ambient baseline
DiagonalScanPath_2,ambient mean + stochastic ST,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,,2.0,234,3,294.7833581687172,0.935630652677297,0.949198804044194,330.73381085494185,297.13504209650057,33.59876875844128,2.9480174744229464,False,0.995201919232307,0.8421052631578947,0.6276739421730584,2.6775889064851164,9.087275197557824,9.726965033942006,53.65128076489616,1.0,False,0.8421052631578947,9.726965033942006,53.65128076489616,6.196101454228023,7.519169512362179,2.6775889064851164,3.3282918229264715,1.882864585212615,2.268488913803318,1.234393705340187,1.2661904540980744,35.44968250730114,37.24370621708488,27.252730858898104,Diagonal,2,evaluation,0.03,0.0128205128205128,fixed_stride_5,constant ambient,0.0003125,0.0003125,1077.1162951691497,unbiased_M_times_M_minus_1,,,,,,,,,,,,,,,,,,,,,,,,19_stochastic_spde_ablation,ambient only,joint two-frame stationary stochastic heat covariance,True,ambient baseline
DiagonalScanPath_2,legacy latent-clipped physics mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1702227206133784,1.0,117,1,294.7833581687172,0.4618313447092765,0.4632933005787223,330.73381085494185,326.574465425674,4.15934542926783,3.4196267389530575,True,0.9976009596161536,0.9210526315789472,0.7299382220827231,1.5835706800233298,11.46441010795504,12.048919693448704,19.78287695404959,1.0,True,0.9210526315789472,12.048919693448704,19.78287695404959,3.0583160571424433,4.2186123024643685,1.5835706800233298,1.8689513971214764,1.247827934274886,1.234752022985273,0.9850099125358672,0.6583740784457094,2.936434154585994,4.15934542926783,2.584916888412374,Diagonal,2,evaluation,0.03,0.0085470085470085,fixed_stride_5,physics one-step clipped,0.0003125,,,unbiased_M_times_M_minus_1,,,,,,,,,,,,,,,,,,,,,,,,19_stochastic_spde_ablation,noise-free simulation field clipped at c,current-only RBF,False,legacy latent-clipped
DiagonalScanPath_2,legacy latent-clipped physics mean + stochastic ST,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2.0,234,3,294.7833581687172,0.4968069240437258,0.4710014186102449,330.73381085494185,326.6094616516928,4.124349203249039,2.9480178168869924,True,0.9972011195521792,0.9078947368421052,0.5939986800735179,1.5367844513332407,9.091250495765005,9.809499620216098,21.232424525872258,1.0,True,0.9078947368421052,9.809499620216098,21.232424525872258,3.0473690369931057,4.2225441848899115,1.5367844513332407,1.9805480900381771,1.2192078523300278,1.4576171816656882,0.9010634075988816,0.848185099695873,2.3038149532052525,4.124349203249039,2.173807890992064,Diagonal,2,evaluation,0.03,0.0128205128205128,fixed_stride_5,physics one-step clipped,0.0003125,0.0003125,1077.1162951691497,unbiased_M_times_M_minus_1,,,,,,,,,,,,,,,,,,,,,,,,19_stochastic_spde_ablation,noise-free simulation field clipped at c,joint two-frame stationary stochastic heat covariance,True,legacy latent-clipped
DiagonalScanPath_3,ambient mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,,1.0,117,2,294.9015209525281,0.9350489517486872,0.9524710607828344,326.4740358780628,297.37049514585203,29.103540732210774,3.4197876965702276,False,0.9964014394242304,0.881578947368421,0.7742908573046433,2.7941565475715153,11.45394062144157,12.24912495212146,53.57294195686761,1.0,False,0.881578947368421,12.24912495212146,53.57294195686761,5.962189218734792,7.262723043159012,2.7941565475715153,3.5450376287404124,2.028170387604678,2.524322649255526,1.410915833622003,1.6354378452736178,31.807948497530894,33.2273428102705,21.42032308845438,Diagonal,3,evaluation,0.03,0.017094017094017,fixed_stride_5,constant ambient,0.0003125,,,unbiased_M_times_M_minus_1,,,,,,,,,,,,,,,,,,,,,,,,19_stochastic_spde_ablation,ambient only,current-only RBF,False,ambient baseline
DiagonalScanPath_3,ambient mean + stochastic ST,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,,2.0,234,5,294.9015209525281,0.8808206210560362,0.9113526613833688,326.4740358780628,297.090711989111,29.383323888951793,2.9580408461114267,False,0.9964014394242304,0.881578947368421,0.618502541591788,2.4751223619842517,9.0732131474998,9.973037753123778,53.65851741583744,1.0,False,0.881578947368421,9.973037753123778,53.65851741583744,5.6098076066323594,6.709384322172978,2.4751223619842517,2.995980737624084,1.7307738705744868,1.957092570118056,1.1571387645216096,1.0937030239795351,31.15905587579038,32.86247320806325,23.088637570693898,Diagonal,3,evaluation,0.03,0.0213675213675213,fixed_stride_5,constant ambient,0.0003125,0.0003125,1077.1162951691497,unbiased_M_times_M_minus_1,,,,,,,,,,,,,,,,,,,,,,,,19_stochastic_spde_ablation,ambient only,joint two-frame stationary stochastic heat covariance,True,ambient baseline
