method,excess_field_rel_l2_mean,excess_field_rel_l2_std,excess_field_rel_l2_count,mean_crps_K_mean,mean_crps_K_std,mean_crps_K_count,fixed_top_01_crps_K_mean,fixed_top_01_crps_K_std,fixed_top_01_crps_K_count,peak_absolute_error_K_mean,peak_absolute_error_K_std,peak_absolute_error_K_count,hot_region_95_coverage_mean,hot_region_95_coverage_std,hot_region_95_coverage_count,hot_region_95_interval_width_K_mean,hot_region_95_interval_width_K_std,hot_region_95_interval_width_K_count
ambient mean + RBF,0.9078149251616038,0.03789016174616693,30,0.7797075480511235,0.017849778478154558,30,5.746757123344891,0.8422891055284498,30,28.39351286623902,7.264951522055602,30,0.8956140350877193,0.01858667229280463,30,12.059280218347997,0.17193791714303044,30
ambient mean + stochastic ST,0.8191622876842051,0.08701179443340479,30,0.6188441857905194,0.008160178926619558,30,5.138101985638567,0.7759560044660382,30,27.82551971724718,7.204204765307966,30,0.8798245614035088,0.022053492800899546,30,9.941201430031564,0.2931895048779846,30
legacy latent-clipped physics mean + RBF,0.4353646177783243,0.08597872951946876,30,0.7267498651962424,0.002706635022956027,30,2.7001790947669573,0.20268319335461332,30,7.835490919248764,4.030036578056351,30,0.9364035087719298,0.014281989653135036,30,12.144037723028209,0.12071333270556736,30
legacy latent-clipped physics mean + stochastic ST,0.4606880666261173,0.08512473393271672,30,0.5908321366374472,0.004299346331117101,30,2.559666360714817,0.208734622895881,30,7.742622771306164,4.006591321142149,30,0.9241228070175438,0.015330338000891432,30,10.039341357012743,0.1936243002928729,30
legacy latent-clipped physics mean + advective stochastic ST,0.44619328177166045,0.08204541388776267,30,0.5657090448399332,0.010432587877454306,30,2.544733338066712,0.20312455061564358,30,7.694978312722524,3.9116585616970103,30,0.9223684210526316,0.015587792407418944,30,9.482756850161042,0.36703197181639385,30
observed-clipped physics mean + RBF,0.4605597650225293,0.09059274703569309,30,0.731128799910201,0.0028122878986239874,30,2.7009351724998365,0.1944019472144955,30,7.832976721245088,4.031675231786231,30,0.9368421052631579,0.011666882722050995,30,12.167081269992643,0.11879629246971234,30
full-posterior propagation + RBF,0.42408295406405055,0.07884187520134024,30,0.728286097019987,0.003525360843584355,30,2.2337617629073794,0.21295540482809008,30,7.611054685367701,3.8976352447066596,30,0.9486842105263158,0.015199975617216258,30,12.44406489346876,0.22258877006487374,30
posterior physics mean + RBF,0.4242376872689073,0.0791327193259307,30,0.7279926525921767,0.003143970972182008,30,2.242930908631004,0.20749908747342877,30,7.618286281606203,3.8876302571831403,30,0.9495614035087719,0.009824210303984726,30,12.230718158001961,0.12994871378408793,30
advective posterior physics mean + RBF,0.4187304426813645,0.07655895875343173,30,0.7270440494186835,0.0032263422640151722,30,2.2808002735498945,0.21578427840827838,30,7.677939005301733,3.912694700543851,30,0.9460526315789474,0.009367982615813753,30,12.230817048892495,0.14861700110586915,30
