method,mean_crps_K_mean,mean_crps_K_std,mean_crps_K_count,fixed_top_01_crps_K_mean,fixed_top_01_crps_K_std,fixed_top_01_crps_K_count,hot_region_crps_K_mean,hot_region_crps_K_std,hot_region_crps_K_count,excess_field_rel_l2_mean,excess_field_rel_l2_std,excess_field_rel_l2_count,peak_absolute_error_K_mean,peak_absolute_error_K_std,peak_absolute_error_K_count,hot_region_95_coverage_mean,hot_region_95_coverage_std,hot_region_95_coverage_count,pointwise_95_coverage_mean,pointwise_95_coverage_std,pointwise_95_coverage_count,mean_95_interval_width_K_mean,mean_95_interval_width_K_std,mean_95_interval_width_K_count,hot_region_95_interval_width_K_mean,hot_region_95_interval_width_K_std,hot_region_95_interval_width_K_count,prior_mean_field_rel_l2_mean,prior_mean_field_rel_l2_std,prior_mean_field_rel_l2_count,prior_mean_peak_absolute_error_K_mean,prior_mean_peak_absolute_error_K_std,prior_mean_peak_absolute_error_K_count,propagated_prior_sd_at_true_peak_K_mean,propagated_prior_sd_at_true_peak_K_std,propagated_prior_sd_at_true_peak_K_count
clipped propagation,0.731128799910201,0.0028122878986239874,30,2.7009351724998365,0.1944019472144955,30,1.4787832590072802,0.07547355509755338,30,0.4605597650225293,0.09059274703569312,30,7.832976721245088,4.031675231786231,30,0.9368421052631579,0.011666882722050919,30,0.9979874716779954,0.0004390504494357033,30,11.45618500154567,0.016974364807611095,30,12.167081269992643,0.11879629246971248,30,0.4590722063677326,0.07976691395987173,30,7.838353337873532,4.0356218641712704,30,0.0,0.0,30
posterior-mean propagation,0.727992652592177,0.0031439709721815382,30,2.242930908631012,0.20749908747342527,30,1.358667110990311,0.07700102722640019,30,0.42423768726890976,0.07913271932592839,30,7.618286281606239,3.887630257183139,30,0.9495614035087719,0.009824210303984806,30,0.9984006397441024,0.0003320490997750192,30,11.457715931394668,0.017729015627123496,30,12.23071815800196,0.12994871378408804,30,0.4044835670227721,0.07327208273789419,30,7.621058271780687,3.8905630871315444,30,0.0,0.0,30
full-posterior propagation,0.728286097019987,0.003525360843584355,30,2.2337617629073794,0.21295540482809014,30,1.3652491423310709,0.08405275344448737,30,0.4240829540640506,0.07884187520134023,30,7.611054685367701,3.8976352447066596,30,0.9486842105263158,0.0151999756172163,30,0.9983873117419699,0.00048669080432474116,30,11.464580533231636,0.017918090755361153,30,12.44406489346876,0.22258877006487338,30,0.4044835670227721,0.07327208273789419,30,7.621058271780687,3.8905630871315444,30,0.5941709281032694,0.2919948868714656,30
