family,method,mean_crps_K_mean,mean_crps_K_std,mean_crps_K_count,fixed_top_01_crps_K_mean,fixed_top_01_crps_K_std,fixed_top_01_crps_K_count,hot_region_crps_K_mean,hot_region_crps_K_std,hot_region_crps_K_count,excess_field_rel_l2_mean,excess_field_rel_l2_std,excess_field_rel_l2_count,peak_absolute_error_K_mean,peak_absolute_error_K_std,peak_absolute_error_K_count,hot_region_95_coverage_mean,hot_region_95_coverage_std,hot_region_95_coverage_count,pointwise_95_coverage_mean,pointwise_95_coverage_std,pointwise_95_coverage_count,mean_95_interval_width_K_mean,mean_95_interval_width_K_std,mean_95_interval_width_K_count,hot_region_95_interval_width_K_mean,hot_region_95_interval_width_K_std,hot_region_95_interval_width_K_count,prior_mean_field_rel_l2_mean,prior_mean_field_rel_l2_std,prior_mean_field_rel_l2_count,prior_mean_peak_absolute_error_K_mean,prior_mean_peak_absolute_error_K_std,prior_mean_peak_absolute_error_K_count,propagated_prior_sd_at_true_peak_K_mean,propagated_prior_sd_at_true_peak_K_std,propagated_prior_sd_at_true_peak_K_count
Diagonal,clipped propagation,0.7337909273113189,0.0022030375396350373,7,2.951870398729576,0.16749049415588615,7,1.5674637327423067,0.05594518252314666,7,0.44732758570244807,0.02344694589459891,7,5.1817985319897035,1.8905898103604852,7,0.9323308270676691,0.009079809991346773,7,0.9978865596618496,0.0003022506781361325,7,11.458611521942615,0.02256392627472616,7,12.13845698888654,0.08890853178763719,7,0.448402077416037,0.017109742611450634,7,5.211457489512002,1.8927356579198644,7,0.0,0.0,7
Diagonal,posterior-mean propagation,0.7311650611147635,0.0029948614684684677,7,2.4850218188900506,0.18893557701504493,7,1.4590080173558193,0.08375423684509618,7,0.41757473956496244,0.023936113079584438,7,5.618202488979575,3.464737953378311,7,0.9454887218045113,0.009079809991346752,7,0.998343519734963,0.0002759158573939481,7,11.459529464178408,0.024522402806578282,7,12.179603710081917,0.09850844752187314,7,0.39888774253083714,0.01987517222246006,7,5.645711952469193,3.4702830450813735,7,0.0,0.0,7
Diagonal,full-posterior propagation,0.7317321989480801,0.003916049414546819,7,2.4708084015391414,0.2268571635358409,7,1.4666837513019275,0.10545185020286497,7,0.4177996066698349,0.023772018298529967,7,5.581239771750453,3.522871171430779,7,0.9436090225563909,0.016494293961263378,7,0.998286399725824,0.0005012260460039868,7,11.4683613794801,0.024693310543196983,7,12.452598838097297,0.31343752374904565,7,0.39888774253083714,0.01987517222246006,7,5.645711952469193,3.4702830450813735,7,0.7641568572255262,0.3992674045465022,7
Horizontal,clipped propagation,0.7313256646213575,0.002173729468360036,11,2.7123406367648166,0.08353342885118867,11,1.4973919161361025,0.03362507300835875,11,0.5560619013302569,0.0674331699749284,11,12.479888571722421,1.6201165016991554,11,0.9461722488038277,0.007096840657507786,11,0.9983642906473773,0.00021565769291104222,11,11.447762298176054,0.012926654397163475,11,12.201966277779468,0.11645479279735955,11,0.5393879311082632,0.06489930466047299,11,12.485246346214467,1.6182503589466615,11,0.0,0.0,11
Horizontal,posterior-mean propagation,0.7270223440337652,0.0031660975293507335,11,2.1628639844111692,0.18820533767066985,11,1.3337209922490256,0.05217546567956265,11,0.5021183259671911,0.06519178656295639,11,11.361711492637209,1.8518392390115614,11,0.9533492822966507,0.006871486419303884,11,0.998582385227727,0.00020880966328152022,11,11.44851078963152,0.012303231702218509,11,12.228710561611468,0.16591320101730092,11,0.46969691363137916,0.07190742203631573,11,11.361392029279743,1.8495218958426136,11,0.0,0.0,11
Horizontal,full-posterior propagation,0.7271434972071478,0.00327363336477882,11,2.169982058814091,0.17711603777137286,11,1.3422167664192337,0.0520070941873173,11,0.5009232135293734,0.06598840048874025,11,11.332622121793525,1.8641337002782268,11,0.9533492822966507,0.012292088592024056,11,0.9985823852277271,0.0003735300811650494,11,11.45471112834335,0.011405055453022363,11,12.472153282686554,0.22733067111294525,11,0.46969691363137916,0.07190742203631573,11,11.361392029279743,1.8495218958426136,11,0.5959635523113984,0.3071136549398414,11
Spiral,clipped propagation,0.7293954329409886,0.0024661192837368323,12,2.5441012816229227,0.10466478401978146,12,1.4099950469604279,0.04206631814554379,12,0.38073491134382637,0.031932441884495184,12,5.119828135373173,2.1023144292262703,12,0.9309210526315789,0.011395071102426806,12,0.9977009196321472,0.0004219471035674697,12,11.462490342736269,0.014558062476654884,12,12.151800843499947,0.13628003231673183,12,0.39167370057740203,0.03615617953915252,12,5.111057325105236,2.1219091574484357,12,0.0,0.0,12
Spiral,posterior-mean propagation,0.7270315304658793,0.0019236413948362854,12,2.1751058915147627,0.11451525100931668,12,1.3230021911232759,0.03022167270784502,12,0.35673382128945447,0.03561020725136345,12,5.353528717193403,2.8329142997918666,12,0.9484649122807017,0.011846534702348938,12,0.9982673597227776,0.000393735277023038,12,11.46509608388704,0.014723926776617364,12,12.262375215979937,0.1069659316519868,12,0.3479688969185111,0.038484427250066025,12,5.344704347004925,2.8461615834902627,12,0.0,0.0,12
Spiral,full-posterior propagation,0.7273232540570355,0.0021872042152500416,12,2.1539492857910325,0.12725767961527895,12,1.3271919650172552,0.037988901248608,12,0.35731133553413064,0.036436023959605074,12,5.383676568254089,2.87014850467885,12,0.9473684210526315,0.016831635501758736,12,0.9982673597227776,0.000548056310949469,12,11.471421994067628,0.015427789550550736,12,12.413339068985806,0.1678903813111607,12,0.3479688969185111,0.038484427250066025,12,5.344704347004925,2.8461615834902627,12,0.49336923059116833,0.15035141394825047,12
