method,baseline,n_held_out,mean_crps_K_mean_change,mean_crps_K_median_change,mean_crps_K_win_count,fixed_top_01_crps_K_mean_change,fixed_top_01_crps_K_median_change,fixed_top_01_crps_K_win_count,excess_field_rel_l2_mean_change,excess_field_rel_l2_median_change,excess_field_rel_l2_win_count,peak_absolute_error_K_mean_change,peak_absolute_error_K_median_change,peak_absolute_error_K_win_count,hot_region_95_coverage_mean_change,hot_region_95_coverage_median_change,hot_region_95_coverage_win_count,hot_region_95_interval_width_K_mean_change,hot_region_95_interval_width_K_median_change,hot_region_95_interval_width_K_win_count
posterior-mean propagation,clipped propagation,30,-0.003136147318023878,-0.003064731620293859,29,-0.45800426386882415,-0.42116782415651843,30,-0.03632207775361957,-0.03310301342319513,30,-0.2146904396388493,-0.47382846313240634,19,0.01271929824561403,0.01315789473684209,21,0.06363688800931708,0.058163963118120776,8
full-posterior propagation,posterior-mean propagation,30,0.0002934444278099524,0.00016837423122589845,9,-0.009169145723632833,-0.0009771000617484482,18,-0.00015473320485913654,7.649992056490973e-09,14,-0.00723159623853841,-5.223415939781262e-07,16,-0.0008771929824561245,0.0,4,0.21334673546680114,0.19173718236507842,1
full-posterior propagation,clipped propagation,30,-0.0028427028902139255,-0.0028564771776585784,28,-0.4671734095924569,-0.4261617952753862,30,-0.03647681095847869,-0.0334820669651362,30,-0.2219220358773877,-0.4782854578435831,19,0.011842105263157906,0.013157894736842146,19,0.2769836234761182,0.21584236773446808,3
