method,mean_crps_K_mean,mean_crps_K_std,mean_crps_K_count,fixed_top_01_crps_K_mean,fixed_top_01_crps_K_std,fixed_top_01_crps_K_count,hot_region_crps_K_mean,hot_region_crps_K_std,hot_region_crps_K_count,excess_field_rel_l2_mean,excess_field_rel_l2_std,excess_field_rel_l2_count,peak_absolute_error_K_mean,peak_absolute_error_K_std,peak_absolute_error_K_count,hot_region_95_coverage_mean,hot_region_95_coverage_std,hot_region_95_coverage_count,pointwise_95_coverage_mean,pointwise_95_coverage_std,pointwise_95_coverage_count,mean_95_interval_width_K_mean,mean_95_interval_width_K_std,mean_95_interval_width_K_count,hot_region_95_interval_width_K_mean,hot_region_95_interval_width_K_std,hot_region_95_interval_width_K_count,prior_mean_field_rel_l2_mean,prior_mean_field_rel_l2_std,prior_mean_field_rel_l2_count,prior_mean_peak_absolute_error_K_mean,prior_mean_peak_absolute_error_K_std,prior_mean_peak_absolute_error_K_count,propagated_prior_sd_at_true_peak_K_mean,propagated_prior_sd_at_true_peak_K_std,propagated_prior_sd_at_true_peak_K_count
clipped propagation,0.7313506326126273,0.0030163822151180494,33,2.7207456806571284,0.21699542589982246,33,1.4847832613475112,0.08093882991645787,33,0.4548925475652577,0.08953021776066444,33,7.734719762804888,4.137695100391701,33,0.9366028708133971,0.011608880947237851,33,0.997988683314553,0.00042976818721323425,33,11.455912885893861,0.016480124449527227,33,12.147587374978205,0.13398817599591986,33,0.4541112180225924,0.0789349560586685,33,7.739902111570843,4.141808849100246,33,0.0,0.0,33
posterior-mean propagation,0.7282499036063439,0.0033645727227845936,33,2.2498129175233545,0.2278459031539518,33,1.3644707964968346,0.08229979959760217,33,0.4190311356381539,0.07800606387530677,33,7.561496662933659,3.9789303230040964,33,0.94896331738437,0.010275367946452656,33,0.9983885233785273,0.00033875752561157013,33,11.457260571725186,0.016996402729307577,33,12.20792172335263,0.1631637352596499,33,0.3996413371439037,0.07246477588744407,33,7.563107466034437,3.9822777673683163,33,0.0,0.0,33
full-posterior propagation,0.72856914831127,0.003734966397574013,33,2.240453880434152,0.23131335034194297,33,1.3711757059708205,0.08904457153834476,33,0.41877394469852125,0.07786206347316049,33,7.5590518913241125,3.9905589211269232,33,0.9481658692185009,0.014688667270832793,33,0.9983764070129525,0.0004682077845308918,33,11.46478449051004,0.01732347651961244,33,12.438463079578845,0.22928372827579838,33,0.3996413371439037,0.07246477588744407,33,7.563107466034437,3.9822777673683163,33,0.6357952713725923,0.3576696605184691,33
