trajectory,diffusivity_m2_s,cooling_rate_1_s,ambient_temperature_K,r_squared,rmse_K_s,n_cooling_samples,n_time_snapshots,end_time_s,heat_flux_cutoff,source_width_m,source_lengthscale_m,cooling_excess_q95_K
DiagonalScanPath_8,3.6109129986233175e-06,13.398722934796755,293.1497049086644,0.7388567626987667,11.083565025815215,55794,355,0.1775000000000001,300.0,0.00015596701320363772,0.00025,3.1709251402787966
HorizontalScanPath_13,3.2085447276738893e-06,12.422901570529978,293.14967530417226,0.6945241771608391,11.499172730903618,65415,400,0.2000000000000001,300.0,0.00016192478766826848,0.00025,3.4305133895116966
SpiralScanPath_13,4.439957388301111e-06,11.75467804940384,293.1499365025225,0.8129271200315221,13.177073499244534,55687,544,0.2720000000000002,300.0,0.00016279422585387354,0.00025,4.002763094994913
