trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,fixed_top_01_crps_K,fixed_top_01_mae_K,fixed_top_03_crps_K,fixed_top_03_mae_K,fixed_top_05_crps_K,fixed_top_05_mae_K,fixed_top_10_crps_K,fixed_top_10_mae_K,true_peak_location_crps_K,true_peak_location_mae_K,field_maximum_crps_K,source_amplitude_fraction_sd,source_amplitude_timescale_multiplier,source_amplitude_timescale_s
DiagonalScanPath_8,physics mean + advective forced + source amplitude,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,234,5,296.12149833303096,0.35341026512811585,0.3568992684955181,336.214847986714,342.7753974833235,6.560549496609497,2.8731590366974666,False,0.9972011195521792,0.9078947368421053,0.5779993944904009,1.4342968772162015,8.612172849316769,9.73841879220026,22.445682023631264,1.0,False,0.9078947368421053,9.73841879220026,22.445682023631264,2.759078288783215,3.3820152366459717,1.4342968772162015,1.6641754630501955,1.1122842097830379,1.1749928185485798,0.8350718521064467,0.6831756472145151,4.929811234033492,6.560549496609497,4.929811234033476,0.0,1.0,0.0005000000000000004
DiagonalScanPath_8,physics mean + advective forced + source amplitude,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,234,5,296.12149833303096,0.35341026512811585,0.3568992684955181,336.214847986714,342.7753974833235,6.560549496609497,5.40864725606811,True,0.9976009596161536,0.9210526315789473,0.5776256454892365,1.4219752359167284,8.616471667398775,9.879418056011195,21.739337590245874,1.0,True,0.9210526315789473,9.879418056011195,21.739337590245874,2.7229289432562656,3.3820152366459717,1.4219752359167284,1.6641754630501955,1.104865588736113,1.1749928185485798,0.8313477634534087,0.6831756472145151,4.165692531247723,6.560549496609497,4.165692531247718,0.1,1.0,0.0005000000000000004
DiagonalScanPath_8,physics mean + advective forced + source amplitude,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,234,5,296.12149833303096,0.35341026512811585,0.3568992684955181,336.214847986714,342.7753974833235,6.560549496609497,5.40864725606811,True,0.9976009596161536,0.9210526315789473,0.5776256454892365,1.4219752359167284,8.616471667398775,9.879418056011195,21.739337590245874,1.0,True,0.9210526315789473,9.879418056011195,21.739337590245874,2.7229289432562656,3.3820152366459717,1.4219752359167284,1.6641754630501955,1.104865588736113,1.1749928185485798,0.8313477634534087,0.6831756472145151,4.165692531247723,6.560549496609497,4.165692531247718,0.1,3.0,0.0015000000000000013
DiagonalScanPath_8,physics mean + advective forced + source amplitude,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,234,5,296.12149833303096,0.35341026512811585,0.3568992684955181,336.214847986714,342.7753974833235,6.560549496609497,5.40864725606811,True,0.9976009596161536,0.9210526315789473,0.5776256454892365,1.4219752359167284,8.616471667398775,9.879418056011195,21.739337590245874,1.0,True,0.9210526315789473,9.879418056011195,21.739337590245874,2.7229289432562656,3.3820152366459717,1.4219752359167284,1.6641754630501955,1.104865588736113,1.1749928185485798,0.8313477634534087,0.6831756472145151,4.165692531247723,6.560549496609497,4.165692531247718,0.1,10.0,0.0050000000000000044
DiagonalScanPath_8,physics mean + advective forced + source amplitude,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,234,5,296.12149833303096,0.35341026512811585,0.3568992684955181,336.214847986714,342.7753974833235,6.560549496609497,11.810807854051435,True,0.9976009596161536,0.9210526315789473,0.5774457828802884,1.4159388483815434,8.628483304291235,10.27227888924013,20.73488603060506,1.0,True,0.9210526315789473,10.27227888924013,20.73488603060506,2.7045935548400752,3.3820152366459717,1.4159388483815434,1.6641754630501955,1.1012954586965957,1.1749928185485798,0.8295555866208224,0.6831756472145151,4.404253219150692,6.560549496609497,4.403656729704837,0.25,1.0,0.0005000000000000004
DiagonalScanPath_8,physics mean + advective forced + source amplitude,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,234,5,296.12149833303096,0.35341026512811585,0.3568992684955181,336.214847986714,342.7753974833235,6.560549496609497,11.810807854051435,True,0.9976009596161536,0.9210526315789473,0.5774457828802884,1.4159388483815434,8.628483304291235,10.27227888924013,20.73488603060506,1.0,True,0.9210526315789473,10.27227888924013,20.73488603060506,2.7045935548400752,3.3820152366459717,1.4159388483815434,1.6641754630501955,1.1012954586965957,1.1749928185485798,0.8295555866208224,0.6831756472145151,4.404253219150692,6.560549496609497,4.403656729704837,0.25,3.0,0.0015000000000000013
DiagonalScanPath_8,physics mean + advective forced + source amplitude,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,234,5,296.12149833303096,0.35341026512811585,0.3568992684955181,336.214847986714,342.7753974833235,6.560549496609497,11.810807854051435,True,0.9976009596161536,0.9210526315789473,0.5774457828802884,1.4159388483815434,8.628483304291235,10.27227888924013,20.73488603060506,1.0,True,0.9210526315789473,10.27227888924013,20.73488603060506,2.7045935548400752,3.3820152366459717,1.4159388483815434,1.6641754630501955,1.1012954586965957,1.1749928185485798,0.8295555866208224,0.6831756472145151,4.404253219150692,6.560549496609497,4.403656729704837,0.25,10.0,0.0050000000000000044
DiagonalScanPath_8,physics mean + advective forced + source amplitude,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,234,5,296.12149833303096,0.35341026512811585,0.3568992684955181,336.214847986714,342.7753974833235,6.560549496609497,23.091461627857672,True,0.9976009596161536,0.9210526315789473,0.5778268346240775,1.428060084928322,8.651847496538004,11.032871800685786,18.443645952100923,1.0,True,0.9210526315789473,11.032871800685786,18.443645952100923,2.7375705909429957,3.3820152366459717,1.428060084928322,1.6641754630501955,1.1088590333887913,1.1749928185485798,0.8333524408487772,0.6831756472145151,6.715444759667561,6.560549496609497,6.520833983355843,0.5,1.0,0.0005000000000000004
DiagonalScanPath_8,physics mean + advective forced + source amplitude,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,234,5,296.12149833303096,0.35341026512811585,0.3568992684955181,336.214847986714,342.7753974833235,6.560549496609497,23.091461627857672,True,0.9976009596161536,0.9210526315789473,0.5778268346240775,1.428060084928322,8.651847496538004,11.032871800685786,18.443645952100923,1.0,True,0.9210526315789473,11.032871800685786,18.443645952100923,2.7375705909429957,3.3820152366459717,1.428060084928322,1.6641754630501955,1.1088590333887913,1.1749928185485798,0.8333524408487772,0.6831756472145151,6.715444759667561,6.560549496609497,6.520833983355843,0.5,3.0,0.0015000000000000013
DiagonalScanPath_8,physics mean + advective forced + source amplitude,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,234,5,296.12149833303096,0.35341026512811585,0.3568992684955181,336.214847986714,342.7753974833235,6.560549496609497,23.091461627857672,True,0.9976009596161536,0.9210526315789473,0.5778268346240775,1.428060084928322,8.651847496538004,11.032871800685786,18.443645952100923,1.0,True,0.9210526315789473,11.032871800685786,18.443645952100923,2.7375705909429957,3.3820152366459717,1.428060084928322,1.6641754630501955,1.1088590333887913,1.1749928185485798,0.8333524408487772,0.6831756472145151,6.715444759667561,6.560549496609497,6.520833983355843,0.5,10.0,0.0050000000000000044
