trajectory,method,lengthscale_m,learned_diffusivity_m2_s,signal_sd_K,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K
DiagonalScanPath_8,RBF source-scale,0.00025,3.8242510579875e-06,3.716638242253305,364,79,296.12149833303096,0.6785207574240373,0.6944039299770758,336.214847986714,300.67693203792265,35.53791594879135,2.3744825574918145,False,0.9848060775689724,0.8157894736842105,0.733688679594652,2.3459063958400885
DiagonalScanPath_8,diffusion source-scale,0.00025,3.8242510579875e-06,3.716638242253305,364,79,296.12149833303096,0.6960144536269575,0.7194722397908759,336.214847986714,302.2595594647649,33.955288521949115,1.7748792058385638,False,0.9676129548180727,0.6052631578947368,0.6752733274108802,2.7170611114127152
DiagonalScanPath_8,RBF unsat-tuned,0.0035,3.8242510579875e-06,3.716638242253305,364,79,296.12149833303096,0.7728919793965492,0.8045460907223018,336.214847986714,296.77262246563197,39.44222552108204,0.05115351550062682,False,0.703718512594962,0.06578947368421052,0.22262777649957458,3.0244833584276467
DiagonalScanPath_8,diffusion unsat-tuned,0.0035,3.8242510579875e-06,3.716638242253305,364,79,296.12149833303096,0.772104215098096,0.8042683460432786,336.214847986714,296.7593867185001,39.455461268213924,0.05278581259154526,False,0.6925229908036785,0.07894736842105263,0.2213547179995585,3.018012157381663
HorizontalScanPath_13,RBF source-scale,0.00025,4.0254351934622146e-06,3.586844117636855,363,74,296.4959614680289,0.4708209180991346,0.47124302451010236,319.1296936365724,301.4118850364814,17.71780860009102,2.0335857591709203,False,0.9900039984006398,0.9078947368421053,0.6756714529628719,1.3056681679454465
HorizontalScanPath_13,diffusion source-scale,0.00025,4.0254351934622146e-06,3.586844117636855,363,74,296.4959614680289,0.4566164988711971,0.47601252396027366,319.1296936365724,302.1890788367541,16.94061479981832,1.9698906051236391,False,0.9872051179528188,0.8289473684210527,0.6002647428804306,1.324242849860711
HorizontalScanPath_13,RBF unsat-tuned,0.0035,4.0254351934622146e-06,3.586844117636855,363,74,296.4959614680289,0.624481837143211,0.6513846987587677,319.1296936365724,297.0501183972413,22.07957523933112,0.049484784314281105,False,0.6289484206317473,0.05263157894736842,0.22865117767793997,2.395431960757263
HorizontalScanPath_13,diffusion unsat-tuned,0.0035,4.0254351934622146e-06,3.586844117636855,363,74,296.4959614680289,0.62225392641665,0.650621850692287,319.1296936365724,297.0217628072933,22.1079308292791,0.050667779835926775,False,0.6365453818472611,0.05263157894736842,0.22656694701101657,2.4005361050174163
SpiralScanPath_13,RBF source-scale,0.00025,3.4097288631486034e-06,3.3007192648952466,366,78,296.4901280292387,0.612380599477781,0.6640198293745476,335.7083806056465,300.14411174971247,35.56426885593402,1.034327257452759,False,0.9828068772491003,0.868421052631579,0.6500225810080126,1.810708493516827
SpiralScanPath_13,diffusion source-scale,0.00025,3.4097288631486034e-06,3.3007192648952466,366,78,296.4901280292387,0.6199642942419015,0.67576830439293,335.7083806056465,299.3812874846865,36.32709312096,1.2765872793108288,False,0.9716113554578168,0.7631578947368421,0.6180909379739026,1.8144521214804787
SpiralScanPath_13,RBF unsat-tuned,0.0035,3.4097288631486034e-06,3.3007192648952466,366,78,296.4901280292387,0.7000756352929961,0.7646654784756968,335.7083806056465,297.49939850315667,38.20898210248981,0.050232474885019536,False,0.5137944822071171,0.039473684210526314,0.29217888556899435,2.785025704798795
SpiralScanPath_13,diffusion unsat-tuned,0.0035,3.4097288631486034e-06,3.3007192648952466,366,78,296.4901280292387,0.6887261784913437,0.7592528194540161,335.7083806056465,297.24733934015904,38.46104126548744,0.05205993990006725,False,0.5429828068772491,0.05263157894736842,0.27136211720878417,2.7109859366864804
