trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K
DiagonalScanPath_8,snapshot RBF,3.8242510579875e-06,12.088789809966908,3.716638242253305,0.1697906824850596,1,194,80,296.12149833303096,0.7213465939801891,0.7212530664517898,336.214847986714,299.5337586136985,36.68108937301548,1.7823795362527144,False,0.9908036785285885,0.8289473684210527,0.8510751947733497,2.2085588544571895
DiagonalScanPath_8,snapshot age diffusion,3.8242510579875e-06,12.088789809966908,3.716638242253305,0.1697906824850596,1,194,80,296.12149833303096,0.7178853862834741,0.7257854968354605,336.214847986714,301.88992021914976,34.32492776756425,2.391685290862945,False,0.9796081567373051,0.6052631578947368,0.8063958803728244,2.8206233947068853
DiagonalScanPath_8,space-time heat,3.8242510579875e-06,12.088789809966908,3.716638242253305,0.1697906824850596,4,760,304,296.12149833303096,0.7375487117033779,0.7768757978559225,336.214847986714,296.7751012210274,39.43974676568661,0.3662512064688443,False,0.9804078368652539,0.4342105263157895,0.8428321602423356,2.6782567045562238
DiagonalScanPath_8,physics mean + RBF,3.8242510579875e-06,12.088789809966908,3.716638242253305,0.1697906824850596,1,194,80,296.12149833303096,0.4178643415040298,0.4074207005622238,336.214847986714,343.7183695619756,7.503521575261573,2.033195822555466,False,0.9920031987205118,0.868421052631579,0.8308350744056202,1.8031556067257755
DiagonalScanPath_8,physics mean + space-time,3.8242510579875e-06,12.088789809966908,3.716638242253305,0.1697906824850596,4,760,304,296.12149833303096,0.3931176879280538,0.41409741811394446,336.214847986714,341.6325089267374,5.4176609400233815,0.5205554087144534,False,0.9816073570571772,0.5,0.8126676834045582,1.8110560289962614
HorizontalScanPath_13,snapshot RBF,4.0254351934622146e-06,12.576700492100297,3.586844117636855,0.17053779783397355,1,188,74,296.4959614680289,0.561553522107258,0.5061018860352007,319.1296936365724,301.6999122661132,17.42978137045924,1.632804531954465,False,0.9920031987205118,0.8552631578947368,0.8088665343313496,1.4676063621954427
HorizontalScanPath_13,snapshot age diffusion,4.0254351934622146e-06,12.576700492100297,3.586844117636855,0.17053779783397355,1,188,74,296.4959614680289,0.5901791141918864,0.5934738818170686,319.1296936365724,303.21180004269036,15.91789359388207,2.29199213687605,False,0.9832067173130747,0.6578947368421053,0.7537742542657014,2.08235278949208
HorizontalScanPath_13,space-time heat,4.0254351934622146e-06,12.576700492100297,3.586844117636855,0.17053779783397355,4,737,281,296.4959614680289,0.5426334377418693,0.5864271158130345,319.1296936365724,297.21732914784485,21.912364488727576,0.2985180731022022,False,0.9812075169932027,0.4605263157894737,0.7927606499747925,1.8180419840376891
HorizontalScanPath_13,physics mean + RBF,4.0254351934622146e-06,12.576700492100297,3.586844117636855,0.17053779783397355,1,188,74,296.4959614680289,0.4395798843605422,0.4362257621949545,319.1296936365724,309.566413611678,9.563280024894425,2.794214699286049,False,0.9916033586565374,0.8289473684210527,0.7965104920280279,1.5073689274010127
HorizontalScanPath_13,physics mean + space-time,4.0254351934622146e-06,12.576700492100297,3.586844117636855,0.17053779783397355,4,737,281,296.4959614680289,0.4090153796816223,0.4568982544192105,319.1296936365724,306.1153852212069,13.01430841536552,0.32670406690936665,False,0.9796081567373051,0.42105263157894735,0.781876002937658,1.614509965636432
SpiralScanPath_13,snapshot RBF,3.4097288631486034e-06,12.910812252663366,3.3007192648952466,0.16948568353503768,1,193,78,296.4901280292387,0.6570378182773383,0.6574777423798067,335.7083806056465,299.8766119513642,35.83176865428226,1.5121065004841676,False,0.989204318272691,0.868421052631579,0.7695631178133796,1.7602416541606816
SpiralScanPath_13,snapshot age diffusion,3.4097288631486034e-06,12.910812252663366,3.3007192648952466,0.16948568353503768,1,193,78,296.4901280292387,0.6287915687581151,0.6613761965869545,335.7083806056465,299.14024476494876,36.56813584069772,1.0330337782694368,False,0.9780087964814075,0.8289473684210527,0.7280920111475393,1.6850592922915848
SpiralScanPath_13,space-time heat,3.4097288631486034e-06,12.910812252663366,3.3007192648952466,0.16948568353503768,4,788,333,296.4901280292387,0.6416956377879874,0.728744733149956,335.7083806056465,296.9757946452654,38.73258596038107,0.2773494831100445,False,0.9784086365453818,0.4473684210526316,0.7459174633115622,2.313088829974
SpiralScanPath_13,physics mean + RBF,3.4097288631486034e-06,12.910812252663366,3.3007192648952466,0.16948568353503768,1,193,78,296.4901280292387,0.33400527899698446,0.32626632753989787,335.7083806056465,335.9352471484317,0.226866542785217,1.6873084408358048,True,0.9908036785285885,0.9078947368421053,0.7317382372045378,1.3087799074779178
SpiralScanPath_13,physics mean + space-time,3.4097288631486034e-06,12.910812252663366,3.3007192648952466,0.16948568353503768,4,788,333,296.4901280292387,0.3124500026623158,0.3544014678766546,335.7083806056465,334.1364471075507,1.5719334980958024,0.3003921429584657,False,0.9804078368652539,0.47368421052631576,0.7156091407506875,1.5262584819421012
