trajectory,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,source_coupling_calibration,physics_mean_peak_K,true_peak_K,physics_mean_excess_rel_l2,physics_mean_hot_rel_l2,history_indices,history_times_s
DiagonalScanPath_8,3.8242510579875e-06,12.088789809966908,3.716638242253305,0.1697906824850596,leave-one-trajectory-out,341.81006927338257,336.214847986714,0.408380092967199,0.4366667550608854,254;304;334;354,0.127500;0.152500;0.167500;0.177500
HorizontalScanPath_13,4.0254351934622146e-06,12.576700492100297,3.586844117636855,0.17053779783397355,leave-one-trajectory-out,305.8773137106297,319.1296936365724,0.4250785257306895,0.48514231397421265,299;349;379;399,0.150000;0.175000;0.190000;0.200000
SpiralScanPath_13,3.4097288631486034e-06,12.910812252663366,3.3007192648952466,0.16948568353503768,leave-one-trajectory-out,334.2580847249841,335.7083806056465,0.3152406678547414,0.3667509277115355,443;493;523;543,0.222000;0.247000;0.262000;0.272000
