trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K
DiagonalScanPath_8,snapshot RBF,3.8242510579875e-06,12.088789809966908,3.716638242253305,0.1697906824850596,1,185,70,296.12149833303096,0.7107591046131988,0.7030664665409204,336.214847986714,300.44667645105164,35.76817153566236,1.8652285047875337,False,0.9932027189124351,0.881578947368421,0.8558493232761237,2.2207746489184967
DiagonalScanPath_8,snapshot age diffusion,3.8242510579875e-06,12.088789809966908,3.716638242253305,0.1697906824850596,1,185,70,296.12149833303096,0.678096292497967,0.6919143246008054,336.214847986714,301.5010329043482,34.713815082365784,2.9191059975631775,False,0.9900039984006398,0.75,0.7858331877530715,2.3811293348297253
DiagonalScanPath_8,space-time heat,3.8242510579875e-06,12.088789809966908,3.716638242253305,0.1697906824850596,2,381,152,296.12149833303096,0.7023029676630504,0.7229442033505507,336.214847986714,298.36440840763686,37.85043957907715,1.0424264050768268,False,0.9908036785285885,0.7894736842105263,0.8390960776469811,2.178673925022316
DiagonalScanPath_8,physics mean + RBF,3.8242510579875e-06,12.088789809966908,3.716638242253305,0.1697906824850596,1,185,70,296.12149833303096,0.40160732830585333,0.4008582908003311,336.214847986714,344.296544167616,8.081696180901986,2.6301589629343933,False,0.9944022391043582,0.9078947368421053,0.8293009986184331,1.793226679730165
DiagonalScanPath_8,physics mean + space-time,3.8242510579875e-06,12.088789809966908,3.716638242253305,0.1697906824850596,2,381,152,296.12149833303096,0.36249750738333814,0.3717884413822466,336.214847986714,342.0338650334906,5.819017046776594,0.9249644840771623,False,0.9932027189124351,0.8552631578947368,0.8089454997007779,1.4797525613424773
HorizontalScanPath_13,snapshot RBF,4.0254351934622146e-06,12.576700492100297,3.586844117636855,0.17053779783397355,1,189,75,296.4959614680289,0.5699338068835429,0.5173639183161541,319.1296936365724,302.5980716468196,16.531621989752807,1.8050137520806857,False,0.9916033586565374,0.8421052631578947,0.8129010724685745,1.6062222827240316
HorizontalScanPath_13,snapshot age diffusion,4.0254351934622146e-06,12.576700492100297,3.586844117636855,0.17053779783397355,1,189,75,296.4959614680289,0.5719842095406154,0.577742657567505,319.1296936365724,302.8164542955036,16.313239341068822,2.8125064603522105,False,0.9820071971211516,0.618421052631579,0.7516207586181999,2.062091169539804
HorizontalScanPath_13,space-time heat,4.0254351934622146e-06,12.576700492100297,3.586844117636855,0.17053779783397355,2,371,143,296.4959614680289,0.5214707371517808,0.5076319397021168,319.1296936365724,299.3313444554948,19.79834918107764,1.3421493540087839,False,0.9936025589764095,0.9078947368421053,0.7902677074584654,1.3080577936913869
HorizontalScanPath_13,physics mean + RBF,4.0254351934622146e-06,12.576700492100297,3.586844117636855,0.17053779783397355,1,189,75,296.4959614680289,0.43712167516322675,0.4621733723369205,319.1296936365724,308.9649233300281,10.164770306544312,2.272438540079866,False,0.9908036785285885,0.8421052631578947,0.7966085311155776,1.6204385078784262
HorizontalScanPath_13,physics mean + space-time,4.0254351934622146e-06,12.576700492100297,3.586844117636855,0.17053779783397355,2,371,143,296.4959614680289,0.3993216553232752,0.4155054300743427,319.1296936365724,306.236632767971,12.893060868601424,1.8046686222789292,False,0.9928028788484606,0.881578947368421,0.7798716285293937,1.2530369432232655
SpiralScanPath_13,snapshot RBF,3.4097288631486034e-06,12.910812252663366,3.3007192648952466,0.16948568353503768,1,193,80,296.4901280292387,0.6693956560909178,0.6771683741159924,335.7083806056465,299.1886662442462,36.519714361400304,1.007000107949598,False,0.9936025589764095,0.8552631578947368,0.7697876925876667,1.8772721714167968
SpiralScanPath_13,snapshot age diffusion,3.4097288631486034e-06,12.910812252663366,3.3007192648952466,0.16948568353503768,1,193,80,296.4901280292387,0.6647289190742137,0.6761914310445838,335.7083806056465,301.4156086761535,34.29277192949297,1.2865027011389305,False,0.9680127948820472,0.6578947368421053,0.7676381075086659,2.149001532694196
SpiralScanPath_13,space-time heat,3.4097288631486034e-06,12.910812252663366,3.3007192648952466,0.16948568353503768,2,382,154,296.4901280292387,0.6533732905684272,0.7109632842366226,335.7083806056465,297.4777078277077,38.230672777938764,0.40512354052452765,False,0.989204318272691,0.6973684210526315,0.7510371769462092,2.078061573841823
SpiralScanPath_13,physics mean + RBF,3.4097288631486034e-06,12.910812252663366,3.3007192648952466,0.16948568353503768,1,193,80,296.4901280292387,0.3371805022317049,0.3252364662099659,335.7083806056465,334.8307598795046,0.8776207261418563,2.359621671801333,True,0.991203518592563,0.8157894736842105,0.7350870138776389,1.368705246623619
SpiralScanPath_13,physics mean + space-time,3.4097288631486034e-06,12.910812252663366,3.3007192648952466,0.16948568353503768,2,382,154,296.4901280292387,0.29431165522040215,0.32022654300635744,335.7083806056465,334.44828913677594,1.2600914688705416,0.6569128334436142,True,0.9924030387844862,0.8026315789473685,0.7135564756896762,1.2482007170419067
