family,method,mean_crps_K_mean,mean_crps_K_std,mean_crps_K_count,fixed_top_01_crps_K_mean,fixed_top_01_crps_K_std,fixed_top_01_crps_K_count,hot_region_crps_K_mean,hot_region_crps_K_std,hot_region_crps_K_count,excess_field_rel_l2_mean,excess_field_rel_l2_std,excess_field_rel_l2_count,peak_absolute_error_K_mean,peak_absolute_error_K_std,peak_absolute_error_K_count,hot_region_95_coverage_mean,hot_region_95_coverage_std,hot_region_95_coverage_count,pointwise_95_coverage_mean,pointwise_95_coverage_std,pointwise_95_coverage_count,mean_95_interval_width_K_mean,mean_95_interval_width_K_std,mean_95_interval_width_K_count,hot_region_95_interval_width_K_mean,hot_region_95_interval_width_K_std,hot_region_95_interval_width_K_count
Diagonal,regular mean + RBF,0.7825725115769826,0.012519164219577187,7,6.446983539764209,0.5491978331884249,7,3.0152053675534587,0.2666341130859271,7,0.9342619667977357,0.02821557611327261,7,33.732206490017056,2.7339652737083804,7,0.8872180451127819,0.02385070966249907,7,0.9965727994516479,0.0007247716650739693,7,11.454109026177063,0.020209848596115677,7,12.069716733985343,0.14941227281970323,7
Diagonal,regular mean + stochastic space-time,0.6256446457078483,0.004069621747246427,7,5.9105926010169485,0.2542329974441891,7,2.6326248026028476,0.09987335037350809,7,0.8728241110238739,0.06294598723944402,7,33.18972529599722,2.6736309422722484,7,0.8684210526315789,0.024022919188823058,7,0.9958873593419776,0.0006814618978380203,7,9.08522924246616,0.023329773143851474,7,10.059409838734679,0.39511620600922337,7
Diagonal,physics mean + RBF,0.7296427809513855,0.001961612606812537,7,2.9591608991280816,0.16251427515554792,7,1.56624886684364,0.05347294327621794,7,0.4260675287136736,0.022203863607795752,7,5.190468884043663,1.900401077572237,7,0.9285714285714286,0.012840790433533408,7,0.9977723196435713,0.0003902039476003601,7,11.457001132418714,0.022159530911489016,7,12.112932175683728,0.1042946708340492,7
Diagonal,physics mean + stochastic space-time,0.5932331982631086,0.004145475253303663,7,2.7783470132609738,0.16320731170855698,7,1.5451147830405085,0.07542136437529504,7,0.4453910287551985,0.03511162120511767,7,5.124171227007041,2.1707126850457863,7,0.9172932330827067,0.009946433500242859,7,0.9974867195978752,0.00030225067813613243,7,9.088573264078947,0.020040031181368503,7,10.118066179695106,0.23795107493281875,7
Horizontal,regular mean + RBF,0.7686378137910285,0.01353911884891991,11,4.881366478094471,0.47504664985797557,11,2.5480072490963424,0.2623441700479612,11,0.9054305803024968,0.04555818866547091,11,19.522840842052496,1.8445970274247214,11,0.9078947368421052,0.013157894736842082,11,0.9972011195521792,0.0003998400639743288,11,11.442576765712268,0.013314107054115672,11,12.099087573868514,0.18700773303416196,11
Horizontal,regular mean + stochastic space-time,0.6096583342220003,0.0042381304425863865,11,4.199451354074663,0.22377836741363205,11,2.1150460885659372,0.1096826907899362,11,0.7944172467315532,0.10394576064358522,11,18.97960171216062,1.9526148168516262,11,0.8971291866028708,0.015365110740030054,11,0.9968739776816548,0.0004669126014562852,11,9.073833002720944,0.020044197716924287,11,10.057652727460097,0.27718059666590555,11
Horizontal,physics mean + RBF,0.7268412724397142,0.002330252377542642,11,2.720168370565725,0.07342936922812962,11,1.4997639866552346,0.032102838387861314,11,0.52488141862212,0.06387294989303448,11,12.475994710199389,1.6175217755032119,11,0.9461722488038279,0.010936965981495081,11,0.9983642906473775,0.00033235082550725975,11,11.448230956843723,0.012845457182830774,11,12.206765643065411,0.13062029901393502,11
Horizontal,physics mean + stochastic space-time,0.5890425757068551,0.0035632006104927712,11,2.496111220679858,0.2324597334004453,11,1.4211324307498543,0.053658646862732536,11,0.5445176620869852,0.0688836161850155,11,12.28427476774378,1.6890154429526607,11,0.9401913875598087,0.006871486419303803,11,0.9981098469703028,0.0003143724082794595,11,9.073425208325494,0.013931799020635864,11,10.093498239290177,0.16758878107906688,11
Spiral,regular mean + RBF,0.788183575732793,0.019537532861898473,12,6.1315664719131755,0.5274816422239966,12,2.955762780257126,0.3227242017199489,12,0.8945731336613748,0.028666213421080246,12,33.41072427453948,2.7728522312419877,12,0.8892543859649122,0.014258219334879304,12,0.9966013594562176,0.00043467197641310193,12,11.45472525762264,0.013509453064838448,12,12.01670217499907,0.17417485546214242,12
Spiral,regular mean + stochastic space-time,0.6232976147765532,0.003839743812471606,12,5.547912205601424,0.25014713559786533,12,2.482364083036648,0.11081288965405357,12,0.8105425116093291,0.073827741950692,12,32.805157967639,2.418905977665785,12,0.8706140350877193,0.01667505874507692,12,0.9959016393442623,0.0006176673137278874,12,9.081519464667805,0.01313668734519554,12,9.765499502311924,0.12446766746633742,12
