comparison,method,baseline,n_held_out,mean_crps_K_mean_change,mean_crps_K_median_change,mean_crps_K_win_count,fixed_top_01_crps_K_mean_change,fixed_top_01_crps_K_median_change,fixed_top_01_crps_K_win_count,excess_field_rel_l2_mean_change,excess_field_rel_l2_median_change,excess_field_rel_l2_win_count,peak_absolute_error_K_mean_change,peak_absolute_error_K_median_change,peak_absolute_error_K_win_count,hot_region_95_coverage_mean_change,hot_region_95_coverage_median_change,hot_region_95_coverage_win_count
stochastic covariance effect with regular mean,regular mean + stochastic space-time,regular mean + RBF,30,-0.16086336226060416,-0.16010367976794831,30,-0.6086551377063247,-0.6850436418798593,25,-0.08865263747739872,-0.0927803595436571,30,-0.5679931489918414,-0.5370684756071,24,-0.0157894736842105,-0.013157894736842035,3
physics-mean effect with RBF covariance,physics mean + RBF,regular mean + RBF,30,-0.05295768285488114,-0.05322716086949264,30,-3.0465780285779345,-3.1023623763260053,30,-0.4724503073832794,-0.504968505366721,30,-20.55802194699026,-25.166840152320816,30,0.04078947368421059,0.03947368421052644,30
physics-mean effect with stochastic covariance,physics mean + stochastic space-time,regular mean + stochastic space-time,30,-0.028012049153072146,-0.028116612741850733,30,-2.5784356249237494,-2.9898405051740187,30,-0.3584742210580878,-0.3895322848647995,30,-20.082896945941016,-25.141168906539207,30,0.04429824561403509,0.03947368421052644,30
stochastic covariance effect with physics mean,physics mean + stochastic space-time,physics mean + RBF,30,-0.1359177285587952,-0.1363292681645712,30,-0.14051273405213982,-0.08316764334111104,22,0.02532344884779297,0.026584269383816084,1,-0.09286814794259998,-0.06413008762933714,20,-0.012280701754385987,-0.013157894736842035,3
advection effect with stochastic covariance,physics mean + advective stochastic space-time,physics mean + stochastic space-time,30,-0.025123091797513982,-0.02261745248473479,30,-0.01493302264810515,-0.017250989288907226,18,-0.014494784854456794,-0.013157780502421973,20,-0.04764445858364005,-0.04403624020497432,20,-0.0017543859649122677,-1.1102230246251565e-16,12
