shape,shape_label,observation_seed,lengthscale,lengthscale_y,angle_degrees,unsat_neg_log_marginal_likelihood,kernel
axis_gaussian,axis Gaussian,0,0.75,0.42,55.0,1705.8140866778099,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.65,-55.0,1593.5768680944643,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.65,-35.0,1593.7966764398634,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.65,-15.0,1593.2751331269087,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.65,0.0,1592.5760182889949,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.65,15.0,1591.775926556159,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.65,35.0,1590.6983306827524,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.65,55.0,1590.076501565989,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.9,-55.0,1527.6857953631866,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.9,-35.0,1529.3686724466406,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.9,-15.0,1531.5014263550706,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.9,0.0,1532.6273704891637,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.9,15.0,1532.9468776414415,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.9,35.0,1532.2325101212755,anisotropic_tuned
axis_gaussian,axis Gaussian,0,0.75,0.9,55.0,1530.4589541262117,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.18,-55.0,1857.634090008712,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.18,-35.0,1857.0683220728774,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.18,-15.0,1808.9476581903527,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.18,0.0,1649.6844738976897,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.18,15.0,1809.3429602243227,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.18,35.0,1856.1519827030902,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.18,55.0,1857.6086818599647,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.28,-55.0,1756.3987802704723,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.28,-35.0,1753.275847015881,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.28,-15.0,1705.757074127721,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.28,0.0,1642.2719440799897,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.28,15.0,1706.9860242550494,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.28,35.0,1750.7249330512032,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.28,55.0,1753.2297187490012,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.42,-55.0,1646.3642424369227,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.42,-35.0,1645.3287179971067,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.42,-15.0,1627.4326784767359,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.42,0.0,1609.7529699235051,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.42,15.0,1623.0726821059538,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.42,35.0,1634.70380021752,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.42,55.0,1637.5160110649808,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.65,-55.0,1545.0461666514343,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.65,-35.0,1541.2666079979363,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.65,-15.0,1536.0736048859371,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.65,0.0,1533.9981025724337,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.65,15.0,1533.0303057218925,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.65,35.0,1534.3457355935252,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.65,55.0,1537.4378419090513,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.9,-55.0,1488.9038172370974,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.9,-35.0,1486.6637178626752,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.9,-15.0,1484.6819375978885,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.9,0.0,1483.9736312297618,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.9,15.0,1484.1542864733983,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.9,35.0,1485.6776529043264,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.0,0.9,55.0,1488.0183180352406,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.18,-55.0,1801.0417648453667,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.18,-35.0,1801.443784232336,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.18,-15.0,1763.0753506095748,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.18,0.0,1579.932456517944,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.18,15.0,1762.485670323545,anisotropic_tuned
