representation,trajectory,family,run_index,n_observed_censored_pixels,n_latent_truth_above_ceiling,fraction_latent_truth_above_ceiling,false_saturation_fraction,fraction_posterior_mean_above_ceiling,mean_posterior_probability_above_ceiling,mean_true_exceedance_K,mean_predicted_exceedance_K,median_true_exceedance_K,median_predicted_exceedance_K,exceedance_recovery_fraction,calibration_slope,calibration_intercept_K,posterior_sd_slope_K_per_K,posterior_sd_intercept_K,pearson_correlation,spearman_correlation,posterior_sd_spearman_correlation,rmse_K,mae_K,bias_K,posterior_sd_K,coverage_95,interval_width_95_K,mean_abs_error_over_sd,median_abs_error_over_sd
coherent latent single-frame posterior,HorizontalScanPath_10,Horizontal,10,73,68,0.9315068493150684,0.0684931506849315,1.0,0.95882800608828,2.9007821826439937,1.2323581321896304,1.5887188027907655,1.1626258083616676,0.42483649395087136,0.006807638904711716,1.2126106545489685,0.005376709599199413,0.8535304810816584,0.07895876738990616,0.2977440164904378,0.17666144978432644,5.503574646505614,2.1722659361989742,-1.4757085284921827,0.8652687978965683,0.726027397260274,2.929432115998266,2.6092004767071963,1.1498289207296362
hybrid saturated-only sampling,HorizontalScanPath_11,Horizontal,11,78,71,0.9102564102564102,0.08974358974358974,1.0,0.974216524216524,2.8456660573663495,1.3132116735445671,1.3018698281474599,1.0738214305638962,0.4614777865959221,0.04598285260241743,1.1823598306729879,0.003166748134600363,0.5227924176244156,0.36197271128998487,0.44520456069751835,0.15429242119382963,4.9974658971769905,2.035023466430805,-1.2950456141368192,0.5298153819689329,0.5641025641025641,1.9229787783213153,3.7979247734540467,1.4552570717822837
coherent latent single-frame posterior,HorizontalScanPath_11,Horizontal,11,78,71,0.9102564102564102,0.08974358974358974,1.0,0.9735042735042734,2.8456660573663495,1.3136713683298658,1.3018698281474599,1.0861732892195164,0.4616393286658739,0.04603908710076566,1.1826595008550835,0.0028756556017314316,0.5197202004520549,0.36171952365632687,0.43544600938967126,0.14684775318578133,4.997262444778922,2.0347462922632884,-1.2945368015558636,0.5271352354557546,0.5641025641025641,1.9164792473904602,3.84894383975417,1.4771579961036154
hybrid saturated-only sampling,HorizontalScanPath_12,Horizontal,12,86,78,0.9069767441860465,0.09302325581395349,1.0,0.9352713178294574,2.6561257542261023,0.6477487838718557,1.2433987360377046,0.6007212317161645,0.24386977267218513,0.020446549110930745,0.5934401781932633,0.005272183878383162,0.35452413009895645,0.3660252992213795,0.17454697201532643,0.13779890995080868,5.234848904337671,2.09883200916295,-1.7647391074193328,0.3642946320338411,0.4186046511627907,1.44087578509253,5.210617003803203,2.294119715186048
coherent latent single-frame posterior,HorizontalScanPath_12,Horizontal,12,86,78,0.9069767441860465,0.09302325581395349,1.0,0.9330749354005168,2.6561257542261023,0.6459792489397765,1.2433987360377046,0.5950739045828755,0.24320356365355572,0.020508009481203335,0.591507396788839,0.005094859075318057,0.35884096949310146,0.3682815040592198,0.1911379759481025,0.1183247132614221,5.235041727012839,2.098172075765782,-1.7669258722799581,0.3673096223857901,0.3953488372093023,1.4470182917022087,5.184944336208506,2.233775503255216
hybrid saturated-only sampling,SpiralScanPath_1,Spiral,1,72,67,0.9305555555555556,0.06944444444444445,1.0,0.94945987654321,2.8415939437166298,0.9959984603235761,1.1061801972315948,0.9907371086367789,0.3505069619556099,0.011247450307664374,0.964037773647063,0.012054878413809356,0.6617463862915642,0.18162217008026507,0.34771330513209364,0.3886583127145024,5.2579030462544845,2.085295254877664,-1.6673307540664173,0.6821423811624541,0.7083333333333334,2.453273329450739,3.028190388769209,0.7583941278647861
coherent latent single-frame posterior,SpiralScanPath_1,Spiral,1,72,67,0.9305555555555556,0.06944444444444445,1.0,0.9493055555555555,2.8415939437166298,0.9978561221990704,1.1061801972315948,0.9871791065557431,0.35116070134001487,0.011614961012490646,0.9648511193294722,0.012588390151576803,0.6587267660957227,0.1857678941715269,0.3432835820895523,0.39979248144305213,5.255791068708405,2.085076470550968,-1.6650744305193297,0.6796571433428513,0.6944444444444444,2.4515617168209607,3.014983312416963,0.7683093104679715
hybrid saturated-only sampling,SpiralScanPath_2,Spiral,2,89,68,0.7640449438202247,0.23595505617977527,1.0,0.8563670411985017,2.7651509200309268,0.36123985347040927,0.8968868849662783,0.34892940936163086,0.13064019430316265,0.0028845980023878203,0.3532635046501874,0.0017100051483293504,0.2803533387112187,0.09097393960498784,0.0765354811619651,0.18635721647516887,5.106585303216588,2.011625074624826,-1.7240624900960055,0.28283319021241426,0.5168539325842697,1.0929897233072423,6.807077472911175,1.7285397489139718
coherent latent single-frame posterior,SpiralScanPath_2,Spiral,2,89,68,0.7640449438202247,0.23595505617977527,1.0,0.8578027465667915,2.7651509200309268,0.3616849019967557,0.8968868849662783,0.34380148112958864,0.13080114339390575,0.0027708918889238795,0.35402296774079167,0.0017463633656548325,0.27978529881998226,0.08805746824685473,0.10730236286597701,0.20719929762949957,5.106837921736886,2.009185082362897,-1.7239355488735786,0.283873504525532,0.5393258426966292,1.0878127672721567,6.744434499557399,1.8945235748050504
hybrid saturated-only sampling,SpiralScanPath_3,Spiral,3,81,69,0.8518518518518519,0.14814814814814814,1.0,0.8838820301783263,2.690812727424352,0.3980417671951839,0.96851026136153,0.3766062601512772,0.1479262243479091,-0.0020248589051847163,0.4034902833084936,-0.0006114374955285053,0.2831517657569948,-0.06258706138075673,-0.0668980635732554,-0.29725977347460725,5.4300478202254014,2.17910508580971,-1.85491229384739,0.2863969092447667,0.37037037037037035,1.090780149052676,7.94475901995262,2.4415865185636996
coherent latent single-frame posterior,SpiralScanPath_3,Spiral,3,81,69,0.8518518518518519,0.14814814814814814,1.0,0.8868998628257887,2.690812727424352,0.3980812210071537,0.96851026136153,0.34446807412319913,0.14794088676256462,-0.0022883156492597067,0.40423864988054603,-0.0002568054091602539,0.28016770842864125,-0.06904370812986602,-0.08227986846912679,-0.2593715747168433,5.4313088383805095,2.17879259799693,-1.8548075598301696,0.2835611562658923,0.35802469135802467,1.0896813655488082,7.862313707820802,2.3872186337460644
hybrid saturated-only sampling,SpiralScanPath_4,Spiral,4,80,66,0.825,0.175,1.0,0.9745833333333334,2.891677441484667,1.367503153544525,1.1300745825416811,1.2610193483310468,0.4729099912479904,-0.014256304410954771,1.4087277874086208,-0.005023789753511516,0.6489596195241873,-0.14193314404810942,-0.09049159795428453,-0.12017534704101869,5.368538606838664,2.3340915269788938,-1.0380009985845575,0.6232455779196261,0.5375,2.1835454286113047,4.395716797018331,1.6539971398396087
coherent latent single-frame posterior,SpiralScanPath_4,Spiral,4,80,66,0.825,0.175,1.0,0.9731944444444445,2.891677441484667,1.3669034496960104,1.1300745825416811,1.255224055195896,0.47270260164086786,-0.014776502628350494,1.4096323290104498,-0.005062378117408274,0.6505495994995865,-0.14641378682375367,-0.09420728525206137,-0.11399645130988416,5.3710854226170754,2.33499842898177,-1.03999565331613,0.6240759877250512,0.525,2.1953851374864763,4.414290645966579,1.6512914210582492
hybrid saturated-only sampling,SpiralScanPath_5,Spiral,5,84,69,0.8214285714285714,0.17857142857142858,1.0,0.953505291005291,2.780542975090039,1.3262435740326688,1.122546336372011,1.217780967489091,0.4769728739724739,0.01910001098757223,1.2731351726570315,0.008902701574119673,0.8266395047369794,0.1945750781234301,0.40127877237851667,0.352283522104494,5.226259764618206,1.9500492688862512,-1.00958287999287,0.807221303937086,0.7023809523809523,2.7157619566509448,2.4150680529386412,1.0904911907607526
coherent latent single-frame posterior,SpiralScanPath_5,Spiral,5,84,69,0.8214285714285714,0.17857142857142858,1.0,0.9566137566137566,2.780542975090039,1.324516478869399,1.122546336372011,1.219763070032684,0.4763517380365282,0.01923980806726845,1.2710193657058741,0.009425930237408533,0.8210856321842673,0.19680359661454566,0.4125319693094629,0.3612349287541104,5.225463698929516,1.9483277669115229,-1.0125254750247226,0.80117830593,0.6904761904761905,2.6876295559850156,2.4151376641474775,1.0637325278192618
hybrid saturated-only sampling,SpiralScanPath_6,Spiral,6,81,70,0.8641975308641975,0.13580246913580246,1.0,0.9459533607681757,2.7480268670190333,0.9193462595336127,1.0585154765141738,0.8964302055244104,0.33454776973519496,0.019583529411489373,0.8655301945597825,-0.0013511285359993,0.5704218100059941,0.308853929504855,0.31418073659347384,0.12546583850931678,5.310809892626881,2.0355564117669664,-1.4674223788615317,0.544880655623884,0.654320987654321,1.9395456226899945,3.9996016117652347,1.1701682057635383
coherent latent single-frame posterior,SpiralScanPath_6,Spiral,6,81,70,0.8641975308641975,0.13580246913580246,1.0,0.9455418381344306,2.7480268670190333,0.9190893269014679,1.0585154765141738,0.8981723636569541,0.3344542726026784,0.019498340637289068,0.8655073629679084,-0.0012239519269638035,0.5664600587756216,0.3089029224735981,0.3154754614644388,0.13256932901758375,5.311016738978361,2.035055286222217,-1.4682758181122755,0.5432029395641268,0.654320987654321,1.9492105965094872,3.9959289924553087,1.1877562978745946
hybrid saturated-only sampling,SpiralScanPath_7,Spiral,7,79,70,0.8860759493670886,0.11392405063291139,1.0,0.9405766526019689,2.80574605061399,0.7636027283530016,1.01366131309058,0.7271508349952285,0.272156750674531,0.010422057280706805,0.7343610822983859,0.0012736250795596597,0.41487120239764586,0.17615378584877645,0.37982678680780335,0.23100341177499784,5.260723790828186,2.1202911782120935,-1.7448224821994425,0.4122157366205167,0.6075949367088608,1.522928276600761,5.253419129562191,1.4247182838578878
coherent latent single-frame posterior,SpiralScanPath_7,Spiral,7,79,70,0.8860759493670886,0.11392405063291139,1.0,0.9441631504922644,2.80574605061399,0.7627673070501836,1.01366131309058,0.7209597805688759,0.2718589969620611,0.010871156921845955,0.7322656014511097,0.0022040199558272717,0.4103950693765894,0.18265309526435922,0.3788120024494795,0.24877963432770536,5.25901802561495,2.1204731229085496,-1.7458513774302271,0.41038288959301494,0.6075949367088608,1.5398613480798014,5.178780521175447,1.4461986798522999
hybrid saturated-only sampling,SpiralScanPath_8,Spiral,8,83,68,0.8192771084337349,0.18072289156626506,1.0,0.9292503346720212,2.8663316486322308,0.6369444561058046,1.028696100824618,0.5876369361228626,0.2222158961995011,-0.00025338513656600375,0.6376707419420369,-0.0008537070304258758,0.3679392266715486,-0.004469811037251144,0.17288239111348624,0.1753635912509066,5.433979026517469,2.098610895750184,-1.7065930945811525,0.36866171822522587,0.4939759036144578,1.3787748000214954,6.271536385623987,1.670754223615881
coherent latent single-frame posterior,SpiralScanPath_8,Spiral,8,83,68,0.8192771084337349,0.18072289156626506,1.0,0.9267068273092371,2.8663316486322308,0.6369018794508371,1.028696100824618,0.584945350983844,0.22220104214205527,-0.0003619460261910138,0.6379393368008051,-0.0009630511231723522,0.3706086398096701,-0.006385417344592484,0.16856892010535557,0.1945260907737527,5.434520140731199,2.099740622270181,-1.706458614065508,0.3706175513605039,0.5180722891566265,1.3821821839661481,6.236464234183637,1.6916248486811423
