representation,true_exceedance_bin,n_pixels,mean_delta_true_K,mean_delta_hat_K,median_delta_hat_K,q25_delta_hat_K,q75_delta_hat_K,mean_posterior_sd_K,q25_posterior_sd_K,q75_posterior_sd_K,mean_abs_error_over_sd,median_abs_error_over_sd,q25_abs_error_over_sd,q75_abs_error_over_sd,coverage_95,mean_posterior_probability_above_ceiling
hybrid saturated-only sampling,latent <= ceiling,306,-0.18087359179220053,0.7376034915300316,0.6344842291721022,0.3914332480864431,0.9634593335297551,0.49888161588055174,0.3276247614664046,0.5643719422698215,1.8709809217715831,1.717051772353289,1.3615045722700034,2.2149180862049924,0.42810457516339867,0.9053376906318084
hybrid saturated-only sampling,0-0.5 K,551,0.2407757016774043,0.8904379787559924,0.7906891901519657,0.5099694373436989,1.1343629416464296,0.5339495672981244,0.3494664054011505,0.644587986196806,1.1746441839528443,1.0803856394011049,0.6793972242068225,1.5382302836268331,0.7931034482758621,0.9404718693284937
hybrid saturated-only sampling,0.5-1 K,377,0.7312894490820658,0.9101909076910001,0.8014427558489388,0.5620698218342,1.174226557506188,0.5477374932945167,0.3593541819181234,0.6727459903234435,0.7590818618395542,0.661510188109919,0.3133232480195602,1.0299845556108167,0.9257294429708223,0.9441644562334216
hybrid saturated-only sampling,1-2 K,496,1.4536749456596842,1.0529947298871023,0.9841297612183268,0.6331407608141575,1.358818290005658,0.6303729461067923,0.40369527275215705,0.7778657209231201,1.359741875906028,0.9036582467747392,0.39299015574150953,1.9473902138675172,0.7762096774193549,0.9554323476702509
hybrid saturated-only sampling,2-5 K,435,2.9397457897320933,1.0647750030552348,0.97507847944496,0.642949822663553,1.3909076324219996,0.6036964665559175,0.3802056428870191,0.7581351553543549,4.245982071735707,3.518333500915844,1.732978089880564,6.2668806173559455,0.28735632183908044,0.9588633461047255
hybrid saturated-only sampling,5-10 K,133,6.939686133247126,1.0785516858039996,1.020175086072129,0.7269658182142962,1.321445474177381,0.6183301761646127,0.3749130246281575,0.6733515758161822,12.24999026283703,11.363982102741922,6.999548166920095,16.35995344390918,0.015037593984962405,0.965998329156224
hybrid saturated-only sampling,10-20 K,68,13.630045202259469,1.123647812321492,0.9904247150713275,0.6372917255619939,1.4022160675771715,0.6428622886454078,0.3869311959137819,0.7239563670548913,24.969691911195536,22.98053268557377,14.506696395896927,31.708514719381085,0.0,0.964950980392157
hybrid saturated-only sampling,>20 K,48,33.326419219798055,1.1564947113300974,1.1158769619242435,0.687566277149088,1.453976374148482,0.6005221037937553,0.41707887447550845,0.6632149348406281,62.96145632329698,57.67729110981352,46.17744167681188,73.752580704063,0.0,0.9631944444444445
coherent latent single-frame posterior,latent <= ceiling,306,-0.18087359179220053,0.7362934881817145,0.632951523061763,0.38979007580375935,0.9564319945844203,0.49842639890669993,0.32888656779584785,0.5644653358038683,1.867392393000757,1.7215230195465754,1.3682756597695267,2.236196989481789,0.4117647058823529,0.905374001452433
coherent latent single-frame posterior,0-0.5 K,551,0.2407757016774043,0.8895593179349528,0.7978825179123987,0.5087169696470255,1.1247376370785105,0.5336299105654748,0.3515009421360446,0.6415548232573038,1.171110610480333,1.0846755440989515,0.6897718916568883,1.5389209528480032,0.7985480943738656,0.9407138535995161
coherent latent single-frame posterior,0.5-1 K,377,0.7312894490820658,0.910591948434047,0.8101825334244381,0.5526643128289379,1.1676757764782335,0.5462825571956862,0.3454250403849075,0.6784503993900098,0.7644699752251933,0.6458436521418153,0.3087293609632912,1.0220250913387965,0.9283819628647215,0.9443707633362806
coherent latent single-frame posterior,1-2 K,496,1.4536749456596842,1.054040926205903,0.9753952952109444,0.6454558471900356,1.3707058196407615,0.6309316846557751,0.400538648162059,0.7612506836486311,1.3564703332607762,0.8990605650565002,0.3797133283676438,1.948503664363892,0.7620967741935484,0.9540994623655913
coherent latent single-frame posterior,2-5 K,435,2.9397457897320933,1.064376260970648,0.9743036142606344,0.6412916181020307,1.3853095969379297,0.6042611792035453,0.3823774302653218,0.7533376350363417,4.258595041001167,3.5037227026561495,1.758600158215501,6.215093105467029,0.28735632183908044,0.9589655172413792
coherent latent single-frame posterior,5-10 K,133,6.939686133247126,1.0804063889834183,1.0283446908742917,0.7388673003395638,1.3193770802513427,0.6168721840205154,0.3688807190876073,0.7152976888768728,12.24739458948702,11.538324685533285,6.905931025584292,16.344117950684744,0.015037593984962405,0.9653299916457813
coherent latent single-frame posterior,10-20 K,68,13.630045202259469,1.1239265985902767,0.9729535583832671,0.6409320507983978,1.3932185031336533,0.6478430442673424,0.39908367218907875,0.7431361836668235,24.496453238386447,22.93330291714672,14.365110347876302,31.43097788150697,0.0,0.9676470588235295
coherent latent single-frame posterior,>20 K,48,33.326419219798055,1.1555369909914788,1.107478007306156,0.6824740781234482,1.4318441482797368,0.5984804508973751,0.4102462268220428,0.668984902188793,62.88823514668372,57.38255538035894,44.834899876390246,76.6338551581795,0.0,0.9626157407407407
