representation,family,run_index,n_observed_censored_pixels,n_latent_truth_above_ceiling,fraction_latent_truth_above_ceiling,false_saturation_fraction,fraction_posterior_mean_above_ceiling,mean_posterior_probability_above_ceiling,mean_true_exceedance_K,mean_predicted_exceedance_K,median_true_exceedance_K,median_predicted_exceedance_K,exceedance_recovery_fraction,calibration_slope,calibration_intercept_K,posterior_sd_slope_K_per_K,posterior_sd_intercept_K,pearson_correlation,spearman_correlation,posterior_sd_spearman_correlation,rmse_K,mae_K,bias_K,posterior_sd_K,coverage_95,interval_width_95_K,mean_abs_error_over_sd,median_abs_error_over_sd,n_trajectories
hybrid saturated-only sampling,Diagonal,4.0,79.57142857142857,70.28571428571429,0.8844977006591741,0.11550229934082586,1.0,0.9563712525369218,2.907127864072891,1.1065099134151126,1.2011631484221863,1.0842496957359546,0.3826025544048234,0.011451950490468172,1.073096805192123,0.002610214965885312,0.6379414194609266,0.15078427356568233,0.21656445870563126,0.14404300064416695,5.828254097135599,2.204928379456569,-1.47723919486377,0.6343891742205601,0.6213685672345939,2.284614107481489,4.089664800552366,1.404460633676161,7
coherent latent single-frame posterior,Diagonal,4.0,79.57142857142857,70.28571428571429,0.8844977006591741,0.11550229934082586,1.0,0.9552270903956256,2.907127864072891,1.1063877165723655,1.2011631484221863,1.0820400100718806,0.38256201754962665,0.011294643091728515,1.073389093238846,0.002362029361327321,0.639951504675783,0.15035774392289727,0.21356655370972955,0.1314579220065212,5.828809801423151,2.2040739668802574,-1.4779776642172346,0.6355967977688141,0.6155530156802047,2.287340992468052,4.090698506271779,1.3874507956068014,7
hybrid saturated-only sampling,Horizontal,6.2727272727272725,81.36363636363636,72.45454545454545,0.8918968850461908,0.1081031149538093,1.0,0.9474940851098556,2.669658929840476,0.9846722329470186,1.2865171230560266,0.9264078650177846,0.37005469634684274,0.00937405636556195,0.9591652662106566,0.0024719129707623743,0.5760575978916738,0.09795783120826274,0.16636443826608963,0.10786238492094831,5.239356239297482,2.0337188789298413,-1.3934494127313897,0.578501845119841,0.5921093259987267,2.08643419731755,4.0328658828513015,1.4504680194781552,11
coherent latent single-frame posterior,Horizontal,6.2727272727272725,81.36363636363636,72.45454545454545,0.8918968850461908,0.1081031149538093,1.0,0.9469276273541002,2.669658929840476,0.9853276595496031,1.2865171230560266,0.9279160930848527,0.3702918999170528,0.009472018477865123,0.9595620061566486,0.0024453322573663935,0.5764601599703127,0.09994237674677331,0.16863170116969625,0.12342499775503182,5.238757610288555,2.033496171557169,-1.3927486337414547,0.5788107951395804,0.5912274760832622,2.094206262993256,4.016085065585991,1.45046822418895,11
hybrid saturated-only sampling,Spiral,6.5,80.16666666666667,68.25,0.8532111223696534,0.14678887763034668,1.0,0.9384684877048904,2.8111079171359,0.9339523606953152,1.0274974106888688,0.8652957793688287,0.3311155588935782,0.006513848903927355,0.9159649879603263,0.0023823564312282094,0.5414551653986286,0.09496804376335756,0.18060952864167887,0.1309105013785611,5.37794844568275,2.1386979390738756,-1.470902875223743,0.5400408833630728,0.578695725531143,1.922009691558846,4.606610048973974,1.4773844136780212,12
coherent latent single-frame posterior,Spiral,6.5,80.16666666666667,68.25,0.8532111223696534,0.14678887763034668,1.0,0.9393399778372489,2.8111079171359,0.9336959989428202,1.0274974106888688,0.8586837836701093,0.33102825021924814,0.0065300178058638565,0.9156589811695369,0.002618035481761392,0.539503334508194,0.09472771009825598,0.18223888630614593,0.1405197443193542,5.3778775111526,2.1385372102231903,-1.4713101627162122,0.5386618296646527,0.574110015907085,1.9179273443774019,4.5865900012482905,1.492381615429769,12
