representation,n_observed_censored_pixels,n_latent_truth_above_ceiling,fraction_latent_truth_above_ceiling,false_saturation_fraction,fraction_posterior_mean_above_ceiling,mean_posterior_probability_above_ceiling,mean_true_exceedance_K,mean_predicted_exceedance_K,median_true_exceedance_K,median_predicted_exceedance_K,exceedance_recovery_fraction,calibration_slope,calibration_intercept_K,posterior_sd_slope_K_per_K,posterior_sd_intercept_K,pearson_correlation,spearman_correlation,posterior_sd_spearman_correlation,rmse_K,mae_K,bias_K,posterior_sd_K,coverage_95,interval_width_95_K,mean_abs_error_over_sd,median_abs_error_over_sd,subset
hybrid saturated-only sampling,2414,2108,0.8732394366197183,0.1267605633802817,1.0,0.9455307005431279,2.778778547217586,0.993644678577195,1.197077159741923,0.9046099708419888,0.3575832552659296,0.009001990881176255,0.9686301394343342,0.002455971020852591,0.577024452034199,0.09236790820388227,0.15763238853255057,0.10186863287400698,5.435650904673688,2.1124438475665617,-1.4424226212085094,0.5730785315962812,0.591963545981773,2.05701720295391,4.298547969935764,1.4239984656462994,all observed-censored pixels
hybrid saturated-only sampling,2108,2108,1.0,0.0,1.0,0.9513651697238035,2.778778547217586,0.993644678577195,1.197077159741923,0.9046099708419888,0.3575832552659296,0.009001990881176255,0.9686301394343342,0.002455971020852591,0.577024452034199,0.09236790820388227,0.15763238853255057,0.10186863287400698,5.803178221511286,2.2857616036665447,-1.785133868640391,0.5838490516195322,0.6157495256166983,2.091319124705307,4.650936734991853,1.3099634604944361,latent truth above ceiling
coherent latent single-frame posterior,2414,2108,0.8732394366197183,0.1267605633802817,1.0,0.9453949185307926,2.778778547217586,0.9937548176796389,1.197077159741923,0.8987580607592065,0.3576228910629434,0.00900539993615834,0.9687308055279276,0.002464041794822949,0.5769284585567432,0.09245413006401465,0.1580814769811931,0.10308936790822631,5.4355244345268945,2.1121061455108636,-1.4424925001632039,0.5729565867939473,0.5886495443247721,2.059015191462737,4.2847990534708025,1.4200265231679774,all observed-censored pixels
coherent latent single-frame posterior,2108,2108,1.0,0.0,1.0,0.9512044064937802,2.778778547217586,0.9937548176796389,1.197077159741923,0.8987580607592065,0.3576228910629434,0.00900539993615834,0.9687308055279276,0.002464041794822949,0.5769284585567432,0.09245413006401465,0.1580814769811931,0.10308936790822631,5.803098388656713,2.2855650421210663,-1.785023729537947,0.5837754850356446,0.614326375711575,2.0922689753267036,4.635712923539034,1.2983256190007215,latent truth above ceiling
