trajectory,family,run_index,role,representation,pixel_index,x_m,y_m,threshold_K,truth_K,posterior_mean_K,posterior_sd_K,lower_95_K,upper_95_K,delta_true_K,delta_hat_K,signed_error_K,absolute_error_K,abs_error_over_sd,covered_95,latent_truth_above_ceiling,posterior_mean_above_ceiling,posterior_probability_above_ceiling,true_exceedance_bin
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,703,0.0004999999999999987,-0.0022500000000000003,294.6560504149699,294.0280685404774,295.10230827644983,0.32911058393080794,294.44517354238343,295.7169280480332,-0.627981874492491,0.4462578614799213,1.0742397359724123,1.0742397359724123,3.264069247308862,False,False,True,0.9111111111111111,latent <= ceiling
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,767,0.0012499999999999994,-0.002,294.6560504149699,294.6061854497578,295.18143224914263,0.4756420607793226,294.4734593450551,296.15589294075096,-0.049864965212123025,0.5253818341727197,0.5752467993848427,0.5752467993848427,1.2094111240757837,True,False,True,0.9111111111111111,latent <= ceiling
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,828,0.0012499999999999994,-0.0017499999999999998,294.6560504149699,294.78905894824953,295.7297158198119,0.5661469652008394,294.85600155909316,296.76663043190945,0.1330085332796216,1.073665404841961,0.9406568715623393,0.9406568715623393,1.661506515765996,False,True,True,1.0,0-0.5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,829,0.0014999999999999979,-0.0017499999999999998,294.6560504149699,294.7997518665128,295.35841108749935,0.5263470200998009,294.6386558309709,296.4794602388703,0.1437014515428814,0.7023606725294371,0.5586592209865557,0.5586592209865557,1.0613895389407317,True,True,True,0.9555555555555556,0-0.5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,830,0.001749999999999998,-0.0017499999999999998,294.6560504149699,294.61285214952375,295.3508370518332,0.6091162437682333,294.5036294682295,296.86327021636527,-0.043198265446164896,0.6947866368632845,0.7379849023094494,0.7379849023094494,1.2115666095916007,True,False,True,0.9166666666666666,latent <= ceiling
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,888,0.0009999999999999992,-0.0015,294.6560504149699,294.67739891346037,295.08621052943573,0.4223837430023772,294.42233530754385,295.984568902956,0.02134849849045395,0.4301601144658207,0.40881161597536675,0.40881161597536675,0.9678677807755162,True,True,True,0.8277777777777777,0-0.5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,890,0.0014999999999999979,-0.0015,294.6560504149699,294.7474014409614,294.8184637675283,0.25123808564136807,294.31261462500333,295.3431258943234,0.09135102599151423,0.16241335255841705,0.07106232656690281,0.07106232656690281,0.28284854338661586,True,True,True,0.7222222222222222,0-0.5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,948,0.0007499999999999989,-0.0012500000000000002,294.6560504149699,294.4798853164427,295.4160375677628,0.556457286874761,294.60940205647006,296.75442500392,-0.1761650985272354,0.7599871527929167,0.9361522513201521,0.9361522513201521,1.682343413234603,False,False,True,0.9666666666666667,latent <= ceiling
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1010,0.0009999999999999992,-0.001,294.6560504149699,294.57643333276,295.6991824830092,0.5824851903713867,294.70858641438934,296.77621701906753,-0.07961708220989294,1.0431320680393128,1.1227491502492057,1.1227491502492057,1.9275153580013806,False,False,True,0.9833333333333333,latent <= ceiling
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1011,0.0012499999999999994,-0.001,294.6560504149699,294.45658818848364,295.6118420695911,0.4938651390889467,294.6953338850043,296.41054407985376,-0.19946222648627554,0.95579165462118,1.1552538811074555,1.1552538811074555,2.3392092084867535,False,False,True,0.9888888888888889,latent <= ceiling
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1069,0.0004999999999999987,-0.0007499999999999998,294.6560504149699,294.4724793372594,296.45339845961604,0.839640428474733,295.3378644255555,298.44312993560584,-0.1835710777104964,1.797348044646128,1.9809191223566245,1.9809191223566245,2.3592469528356395,False,False,True,1.0,latent <= ceiling
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1070,0.0007499999999999989,-0.0007499999999999998,294.6560504149699,294.53168512002617,296.206440415733,0.7283734225039973,295.1547336765334,297.8108746203107,-0.12436529494374327,1.550390000763116,1.6747552957068592,1.6747552957068592,2.2993086292871543,False,False,True,1.0,latent <= ceiling
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1131,0.0007499999999999989,-0.0004999999999999996,294.6560504149699,294.4195855311269,295.2821288717032,0.5246343013157214,294.5206409420728,296.4986252430995,-0.23646488384298436,0.6260784567332962,0.8625433405762806,0.8625433405762806,1.6440849147932624,False,False,True,0.9277777777777778,latent <= ceiling
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1190,0.0002499999999999985,-0.0002500000000000002,294.6560504149699,294.5938606417295,295.56028591906335,0.4993897892501266,294.48962650452063,296.39021474718834,-0.06218977324039088,0.9042355040934353,0.9664252773338262,0.9664252773338262,1.9352123294010284,True,False,True,0.9444444444444444,latent <= ceiling
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1249,-0.0002500000000000011,0.0,294.6560504149699,294.5794176377554,295.28971702804085,0.4531029737351165,294.47942617649215,296.2657392878492,-0.07663277721451323,0.6336666130709432,0.7102993902854564,0.7102993902854564,1.5676334772869902,True,False,True,0.9444444444444444,latent <= ceiling
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1250,-8.673617379884035e-19,0.0,294.6560504149699,294.66179432459995,295.3265101399004,0.4091574794213456,294.60804703927886,296.0742907969248,0.005743909630041344,0.6704597249304811,0.6647158153004398,0.6647158153004398,1.6245965153576556,True,True,True,0.9611111111111111,0-0.5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1252,0.0004999999999999987,0.0,294.6560504149699,294.20863463317613,295.7375422761377,0.4814008990099515,294.82005343027623,296.56715246589994,-0.4474157817937794,1.0814918611677626,1.528907642961542,1.528907642961542,3.175955105413994,False,False,True,1.0,latent <= ceiling
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1309,-0.0005000000000000013,0.0002500000000000002,294.6560504149699,294.6507282305627,295.774192125065,0.40043210270944923,294.9230944382916,296.449587096116,-0.005322184407191344,1.118141710095074,1.1234638945022652,1.1234638945022652,2.805628936592636,False,False,True,0.9944444444444445,latent <= ceiling
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1369,-0.0007500000000000007,0.0004999999999999996,294.6560504149699,294.7315439918857,296.22959742671605,0.3412133433810514,295.4454976698528,296.8748260824182,0.07549357691578962,1.5735470117461432,1.4980534348303536,1.4980534348303536,4.390371783196638,False,True,True,1.0,0-0.5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1370,-0.0005000000000000013,0.0004999999999999996,294.6560504149699,294.8341135897162,295.9964147918466,0.37403692789261545,295.2606654930073,296.6968428418935,0.17806317474628486,1.3403643768766642,1.1623012021303794,1.1623012021303794,3.1074504025016254,False,True,True,1.0,0-0.5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1371,-0.0002500000000000011,0.0004999999999999996,294.6560504149699,294.65024159052416,295.3463494105015,0.4764923326207324,294.5272742920768,296.3498459055798,-0.005808824445750815,0.6902989955315775,0.6961078199773283,0.6961078199773283,1.4609003594007473,True,False,True,0.9444444444444444,latent <= ceiling
