family,method,baseline,n_trajectories,excess_field_rel_l2_mean_change,excess_field_rel_l2_median_change,excess_field_rel_l2_win_count,mean_crps_K_mean_change,mean_crps_K_median_change,mean_crps_K_win_count,fixed_top_01_crps_K_mean_change,fixed_top_01_crps_K_median_change,fixed_top_01_crps_K_win_count,peak_absolute_error_K_mean_change,peak_absolute_error_K_median_change,peak_absolute_error_K_win_count,hot_region_95_coverage_mean_change,hot_region_95_coverage_median_change,hot_region_95_coverage_win_count,hot_region_95_interval_width_K_mean_change,hot_region_95_interval_width_K_median_change,hot_region_95_interval_width_K_win_count
all,advective posterior physics mean + RBF,posterior physics mean + RBF,30,-0.005507244587542842,-0.006421835433218087,24,-0.0009486031734932713,-0.0009418678658673629,25,0.037869364918890355,0.02809508174575659,6,0.05965272369552963,0.019167456078804435,12,-0.0035087719298245576,0.0,3,9.889089053410534e-05,-0.004290701020489784,15
Diagonal,advective posterior physics mean + RBF,posterior physics mean + RBF,7,-0.007499818371575524,-0.007112945724355113,6,-0.0012684492288064706,-0.0010344799666208715,6,0.05189210643160828,0.0572557888582681,1,0.015460010131611008,-0.04885538364561626,5,-0.007518796992481179,0.0,0,0.0623256955640422,-0.018383694223613745,4
Horizontal,advective posterior physics mean + RBF,posterior physics mean + RBF,11,-0.008179108811623642,-0.008027692622733174,11,-0.0011301888024185627,-0.0010430305426400999,11,0.011494650442508676,0.008117040971066913,4,0.0813591153716092,0.03831396985373203,2,-0.0011961722488038314,0.0,0,-0.01297552677490511,0.0,4
Spiral,advective posterior physics mean + RBF,posterior physics mean + RBF,12,-0.0018957010081163776,-0.0020262612870391994,7,-0.0005955728147123881,-0.0004294779616590416,8,0.053866253973154775,0.050393447513466416,1,0.06553428090474256,0.021662272989033227,5,-0.0032894736842105274,0.0,3,-0.02421519564235967,-0.013754495481443918,7
