method,excess_field_rel_l2_mean,excess_field_rel_l2_std,excess_field_rel_l2_count,mean_crps_K_mean,mean_crps_K_std,mean_crps_K_count,fixed_top_01_crps_K_mean,fixed_top_01_crps_K_std,fixed_top_01_crps_K_count,peak_absolute_error_K_mean,peak_absolute_error_K_std,peak_absolute_error_K_count,hot_region_95_coverage_mean,hot_region_95_coverage_std,hot_region_95_coverage_count,hot_region_95_interval_width_K_mean,hot_region_95_interval_width_K_std,hot_region_95_interval_width_K_count
posterior physics mean + RBF,0.4242376872689073,0.07913271932593069,30,0.7279926525921767,0.003143970972182008,30,2.242930908631004,0.20749908747342877,30,7.618286281606203,3.8876302571831403,30,0.9495614035087719,0.009824210303984806,30,12.230718158001961,0.1299487137840881,30
advective posterior physics mean + RBF,0.4187304426813645,0.07655895875343176,30,0.7270440494186835,0.0032263422640151722,30,2.2808002735498945,0.21578427840827838,30,7.677939005301733,3.912694700543851,30,0.9460526315789474,0.009367982615813814,30,12.230817048892495,0.1486170011058692,30
