family,method,excess_field_rel_l2_mean,excess_field_rel_l2_std,excess_field_rel_l2_count,mean_crps_K_mean,mean_crps_K_std,mean_crps_K_count,fixed_top_01_crps_K_mean,fixed_top_01_crps_K_std,fixed_top_01_crps_K_count,peak_absolute_error_K_mean,peak_absolute_error_K_std,peak_absolute_error_K_count,hot_region_95_coverage_mean,hot_region_95_coverage_std,hot_region_95_coverage_count,hot_region_95_interval_width_K_mean,hot_region_95_interval_width_K_std,hot_region_95_interval_width_K_count
Diagonal,posterior physics mean + RBF,0.4175747395649627,0.023936113079580712,7,0.7311650611147638,0.002994861468468077,7,2.4850218188900484,0.18893557701504468,7,5.618202488979615,3.4647379533784024,7,0.9454887218045113,0.009079809991346752,7,12.179603710081917,0.09850844752187495,7
Diagonal,advective posterior physics mean + RBF,0.4100749211933872,0.020827091599141367,7,0.7298966118859573,0.0035056176102878714,7,2.536913925321657,0.22272100272132292,7,5.633662499111226,3.4444367134155227,7,0.9379699248120301,0.0064203952167666304,7,12.241929405645958,0.1904645605375424,7
Horizontal,posterior physics mean + RBF,0.502118325967188,0.06519178656296241,11,0.7270223440337643,0.00316609752935152,11,2.1628639844111484,0.1882053376706711,11,11.361711492637136,1.8518392390115015,11,0.9533492822966507,0.006871486419303884,11,12.228710561611468,0.16591320101730014,11
Horizontal,advective posterior physics mean + RBF,0.4939392171555644,0.06600512049093744,11,0.7258921552313458,0.003172608981767673,11,2.174358634853657,0.1832013128715374,11,11.443070608008746,1.7590469895277634,11,0.9521531100478469,0.006638486567230459,11,12.215735034836564,0.1581924970346178,11
Spiral,posterior physics mean + RBF,0.3567338212894511,0.03561020725136813,12,0.7270315304658791,0.0019236413948367872,12,2.1751058915147623,0.11451525100931985,12,5.353528717193356,2.8329142997919172,12,0.9484649122807017,0.011846534702348938,12,12.262375215979937,0.10696593165198665,12
Spiral,advective posterior physics mean + RBF,0.3548381202813347,0.033133963592881975,12,0.7264359576511668,0.00216345857904454,12,2.2289721454879174,0.09584380529128021,12,5.419062998098099,2.945208672189231,12,0.9451754385964911,0.009443954770595687,12,12.23816002033758,0.12380360646695587,12
