method,field_excess_rel_l2_mean,field_excess_rel_l2_std,overall_rmse_K_mean,overall_rmse_K_std,overall_mae_K_mean,overall_mae_K_std,overall_signed_error_K_mean,overall_signed_error_K_std,overall_crps_K_mean,overall_crps_K_std,top_1pct_rmse_K_mean,top_1pct_rmse_K_std,top_1pct_mae_K_mean,top_1pct_mae_K_std,top_1pct_signed_error_K_mean,top_1pct_signed_error_K_std,top_1pct_crps_K_mean,top_1pct_crps_K_std,top_1pct_coverage_95_mean,top_1pct_coverage_95_std,top_1pct_interval_width_95_K_mean,top_1pct_interval_width_95_K_std,peak_absolute_error_K_mean,peak_absolute_error_K_std,mean_posterior_sd_K_mean,mean_posterior_sd_K_std,n_trajectories
Posterior physics mean + sequential ST,0.4073717316308778,0.07547866425667553,0.4951622597526458,0.03272313429277165,0.18271971838840487,0.007950695138271678,0.0365460823111716,0.011658331824274162,0.20960159934777917,0.0038896667650844185,4.38423394860142,0.392974108456865,3.254679280067739,0.4240376862880766,-2.7100300354790248,0.45379797779495257,2.8263959657924747,0.41539248524838074,0.392,0.1552395257169629,3.5182846768652407,0.4611099146563988,7.59820398638671,3.925819300426945,0.6646803440169792,0.0031292176339086913,30
Posterior physics mean + sequential advective ST,0.407393048136946,0.07565462147240298,0.49510663548743883,0.03192092013151151,0.18278301487941787,0.007998855522781536,0.03661687326378848,0.01170204807275108,0.20988940356442073,0.004038182117939868,4.383701891815464,0.37697111208373607,3.25029784564967,0.40541015377678424,-2.6980157937559484,0.4536664145348315,2.8387054103684175,0.4029184828683912,0.36533333333333334,0.1546460549087838,3.332062254970471,0.39991925246096177,7.639359342017392,3.9269688867840675,0.6632746651513071,0.0025594384572762176,30
Advective posterior mean + sequential advective ST,0.4044589184225702,0.07182935242160135,0.4922940447375632,0.03212526108813016,0.1689899838357348,0.008064228371404272,0.034194205989090294,0.01076244091671704,0.20569330363751312,0.003934135911234377,4.44953873998246,0.3860282268081601,3.3541451870967007,0.44380052318727886,-2.8105865710660276,0.4260412530986298,2.9330911774763266,0.44358942242030097,0.3333333333333333,0.17175229423420416,3.325679548741744,0.4016477040290019,7.662601921562859,3.9295414461223324,0.6632373202950418,0.0025794901235811816,30
Posterior-sample mixture sequential advective ST,0.407157475717369,0.07500351486878169,0.49497483577808216,0.03213936780754919,0.18289973870123868,0.008095740861728944,0.03690925360564507,0.011941385267612192,0.20994095736346083,0.0039991588191609214,4.37853269241327,0.3842245644845614,3.2451683663214417,0.418629040962067,-2.695216458169021,0.4532184937468431,2.834572883429648,0.41541640619604214,0.37600000000000006,0.15882325895852564,3.352202592928594,0.41416850292732404,7.635436638109591,3.919904544057974,0.6635157746828368,0.002853534401945252,30
