method,family,region,rmse_K_mean,rmse_K_std,mae_K_mean,mae_K_std,signed_error_K_mean,signed_error_K_std,posterior_sd_K_mean,posterior_sd_K_std,coverage_95_mean,coverage_95_std,interval_width_95_K_mean,interval_width_95_K_std,positive_sd_fraction_mean,positive_sd_fraction_std,zero_sd_nonzero_error_fraction_mean,zero_sd_nonzero_error_fraction_std,mean_z_mean,mean_z_std,rms_z_mean,rms_z_std,mean_abs_error_over_sd_mean,mean_abs_error_over_sd_std,median_abs_error_over_sd_mean,median_abs_error_over_sd_std,fraction_abs_z_gt_1_96_mean,fraction_abs_z_gt_1_96_std,crps_K_mean,crps_K_std,n_trajectories
Hybrid previous censored representation,Diagonal,overall,1.0675499394862076,0.0603954560083254,0.26306326874196634,0.007253010634968565,-0.049192615440380116,0.009247342483924583,0.020146509335966976,0.005494306127452029,0.019706403153024504,0.003335045542239104,0.07255546328377281,0.019289128684343678,0.031815845090535214,0.0015112533906806358,0.9681841549094647,0.0015112533906806393,2.8783958490592103,1.4447835887519196,10.699154864830627,4.109803552204263,4.089664800552366,1.3405977394107003,1.404460633676161,0.42503606758698703,0.3454363962129515,0.12453274702095389,0.2558067812500281,0.007093696575993722,7
Hybrid previous censored representation,Diagonal,unsaturated_observed_value_pinned,0.24903652745544444,0.0031675699066725186,0.19931203633330383,0.002252214554574196,-0.002364962137449854,0.003455441571645975,6.91435443384762e-13,6.583879195404332e-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,0.1993120363333075,0.00225221455456137,7
Hybrid previous censored representation,Diagonal,saturated_censored_GP_sampled,5.828254097135599,0.3544087917757031,2.204928379456569,0.1644973979252081,-1.47723919486377,0.2976671651978193,0.6343891742205601,0.17850728871763313,0.6213685672345939,0.11281966400820209,2.284614107481489,0.6264100549082784,1.0,0.0,0.0,0.0,2.8783958490592103,1.4447835887519196,10.699154864830627,4.109803552204263,4.089664800552366,1.3405977394107003,1.404460633676161,0.42503606758698703,0.3454363962129515,0.12453274702095389,1.9765865060952503,0.16720818175117544,7
Hybrid previous censored representation,Diagonal,top_1pct,10.324655339872516,0.630117230897698,5.59860940874902,0.5178269910520649,-5.57871064550825,0.5108662224104875,0.6799787499658195,0.21811921540448384,0.27999999999999997,0.18618986725025255,2.4477477348377983,0.8019584279309924,1.0,0.0,0.0,0.0,10.444851992354819,3.87537429885913,18.99064162564065,7.3671371761389315,10.456811097226705,3.8705941958492165,4.661018059907346,2.5947613200590145,0.7314285714285714,0.17695842933945166,5.296314626005296,0.5424914585536621,7
Hybrid previous censored representation,Horizontal,overall,0.975996782598283,0.030696875580750283,0.2601968788072763,0.003876720896164507,-0.045962050427582855,0.015262860995534377,0.01870776468011159,0.005696126021596608,0.019228672167496637,0.002678955554682799,0.0675540280994409,0.018275923788187116,0.032532441568827015,0.0017726288386386844,0.9674675584311729,0.0017726288386386748,2.9432946848473023,1.262913622186892,10.407019226827241,3.2836105033598364,4.0328658828513015,1.0365885712639118,1.4504680194781552,0.35468240588863315,0.3660200172992136,0.10451588298982349,0.2531241557798942,0.003985889979240277,11
Hybrid previous censored representation,Horizontal,unsaturated_observed_value_pinned,0.2507314487256428,0.001881319842842537,0.20068222489277565,0.002199927659410129,-0.0007053761895408635,0.005760378198212527,6.942626172440873e-13,8.562849708368637e-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,0.2006822248927828,0.0021999276594178952,11
Hybrid previous censored representation,Horizontal,saturated_censored_GP_sampled,5.239356239297482,0.19357760067482468,2.0337188789298413,0.10536938147860739,-1.3934494127313897,0.3358227605083174,0.578501845119841,0.18817075674361963,0.5921093259987267,0.08329253191817439,2.08643419731755,0.5999249567069638,1.0,0.0,0.0,0.0,2.9432946848473023,1.262913622186892,10.407019226827241,3.2836105033598364,4.0328658828513015,1.0365885712639118,1.4504680194781552,0.35468240588863315,0.3660200172992136,0.10451588298982349,1.8148967784414736,0.09585798520501061,11
Hybrid previous censored representation,Horizontal,top_1pct,9.363304567762128,0.3516810226983828,5.14498615733925,0.3882166140414812,-5.125507742314994,0.4071627234656293,0.6033114095484412,0.20251034496061474,0.22545454545454546,0.19206059649827376,2.172373183258697,0.6157173496857316,1.0,0.0,0.0,0.0,10.369961576915783,3.418570335516209,18.680935178865038,6.261351816618947,10.389676343611903,3.4007882146123936,4.656931355829363,2.215207365041796,0.7963636363636364,0.17200422827783782,4.861396273873617,0.44025813097029926,11
Hybrid previous censored representation,Spiral,overall,0.9932539070160286,0.027825157862096297,0.2618422924277505,0.00508470479199624,-0.050785575323046006,0.010053929082110457,0.0171943663289494,0.0055664411035101875,0.018492602958816474,0.002933881038992449,0.061206589536785615,0.01740289417696728,0.03205384512861522,0.0016515188529584832,0.9679461548713847,0.0016515188529584689,3.3774611654166513,1.7883311100178154,11.569735142210002,4.418702143442198,4.606610048973974,1.6612140255119556,1.4773844136780212,0.4109902338480732,0.37192471537131205,0.10602646381429161,0.2551372249773829,0.005489137594092693,12
Hybrid previous censored representation,Spiral,unsaturated_observed_value_pinned,0.25007001233764853,0.0026874072974827547,0.19976221196759703,0.0025565499603079473,-0.0037520912718886773,0.005106243745016027,6.930312534281735e-13,8.133320714819521e-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,0.19976221196759636,0.002556549960306255,12
Hybrid previous censored representation,Spiral,saturated_censored_GP_sampled,5.37794844568275,0.15994922201860592,2.1386979390738756,0.12356511842854061,-1.470902875223743,0.31215254313901575,0.5400408833630728,0.17934512120024693,0.578695725531143,0.09813856197263232,1.922009691558846,0.5691811051322648,1.0,0.0,0.0,0.0,3.3774611654166513,1.7883311100178154,11.569735142210002,4.418702143442198,4.606610048973974,1.6612140255119556,1.4773844136780212,0.4109902338480732,0.37192471537131205,0.10602646381429161,1.9289579685658875,0.10997887965672463,12
Hybrid previous censored representation,Spiral,top_1pct,9.559190330716492,0.2770459093243178,5.535126054535386,0.3373431713287598,-5.503612310714502,0.37721367062119887,0.5851758832799927,0.23881014121000915,0.18666666666666668,0.14405386198056322,2.0613841634875616,0.7337909298766786,1.0,0.0,0.0,0.0,12.136881856399617,5.217086157419026,20.690613269959705,8.258242881500635,12.162052025460072,5.1931606226344496,6.903518291532066,3.117478545607458,0.8166666666666668,0.1347950183415432,5.259841105899213,0.41374260751539754,12
