percentile_bin,percentile_lower,percentile_upper,n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,method,stage
50-60%,50.0,60.0,251,0.1864123498334544,0.13134405685219777,0.05881238206480943,0.6536548983047729,1.0,2.5220873578661807,1.0,0.0,-0.0899242392270155,0.31224573766094493,0.2133265183417595,0.12646664248726014,0.0,0.17416471726372157,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
60-70%,60.0,70.0,250,0.19023135167899094,0.1286128440982575,0.07211067417985259,0.6577768961477932,1.0,2.522942668542418,1.0,0.0,-0.10189722105332101,0.2921893542900354,0.19932022277497674,0.12441822272492868,0.0,0.17413727137525425,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
70-80%,70.0,80.0,250,0.16982283077784835,0.11649450712930752,0.05523847757244653,0.6546065515094712,1.0,2.506090003827785,1.0,0.0,-0.08288789259984235,0.27482016961654093,0.18578161606828733,0.11500191127674274,0.0,0.17168803995297482,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
80-90%,80.0,90.0,250,0.22553247141796048,0.1796022816206089,0.027418467373538306,0.656299402651465,1.0,2.526464771207774,1.0,0.0,-0.035599640136636565,0.34898843098225946,0.27734838816774987,0.24473353277151327,0.0,0.1830400338423872,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
90-95%,90.0,95.0,125,0.3206573431080448,0.2395095923956119,0.0011515509301857493,0.6578511526887008,0.992,2.513994853617494,1.0,0.0,0.0015891290814838213,0.4747903188791544,0.3628094333216278,0.3090678118563456,0.008,0.2108455806644458,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
95-99%,95.0,99.0,100,0.751319707128801,0.5663743399019284,0.28768723900138354,0.7672573501501442,0.91,2.916355922530841,1.0,0.0,-0.34885885178333,0.9554445716061323,0.7282133426680132,0.517693101278398,0.06,0.41964302411644233,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
99-100%,99.0,100.0,25,4.288794185758564,3.0073982601425926,-2.1792183481292953,0.817331679142369,0.32,3.0723925013817235,1.0,0.0,2.7387443200966266,5.3001296850257,3.75369620188593,2.5869646169068616,0.64,2.6461658311750638,DiagonalScanPath_1,Diagonal,1,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
0-10%,0.0,10.0,250,0.14684208347461644,0.10682863602465613,0.07924435715937034,0.6697577088608382,1.0,2.5674678579365118,1.0,0.0,-0.1191704366774894,0.22990679754214255,0.16325344038784312,0.1061332759538822,0.0,0.17052061415104094,DiagonalScanPath_1,Diagonal,1,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
10-20%,10.0,20.0,250,0.17268750576367248,0.12542248666128739,0.09147177173352589,0.6586742118389355,1.0,2.5083291048089085,1.0,0.0,-0.13873461817158436,0.2731302722932862,0.1952681291890665,0.13892786283947872,0.0,0.17280251312340905,DiagonalScanPath_1,Diagonal,1,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
20-30%,20.0,30.0,250,0.13050512277898985,0.09599203944702345,0.05945450010548097,0.6586938696419097,1.0,2.5291679473014663,1.0,0.0,-0.08951512852171876,0.20489970863368884,0.14975937079369755,0.09624848954916876,0.0,0.1653976585402752,DiagonalScanPath_1,Diagonal,1,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
