trajectory,family,run_index,role,camera_seed,previous_posterior_seed,current_sampler_seed,threshold_K,previous_unsaturated_pixels_pinned,previous_saturated_pixels_sampled,previous_observations_reused_in_current_likelihood,oracle_uses_true_previous_frame,oracle_uses_true_current_frame_for_inference,same_current_observations_for_all_models,same_current_sampler_seed_for_all_models,same_finite_step_innovation_for_oracle_controls,same_previous_posterior_for_sequential_models,crps_estimator,previous_zero_sd_fraction,mean_difference_posterior_vs_clipped_K,mean_difference_oracle_fixed_vs_posterior_K,mean_difference_oracle_calibrated_vs_posterior_K,previous_n_saturated,previous_saturated_fraction,previous_clipped_hot_mae_K,previous_posterior_hot_mae_K,time_lag_s,innovation_sd_K,propagated_stationary_sd_K,propagated_advective_sd_K,mixture_component_count,mixture_component_weight_ess,mixture_max_component_weight,mixture_normalized_weight_entropy,mixture_resampled_unique_components,mixture_log_weight_range,mixture_mvn_integration_failures
DiagonalScanPath_1,Diagonal,1,evaluation,41,41,41,294.6560504149699,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9660135945621752,0.03820505307430322,-0.04034012413588195,-0.060796840278209904,85,0.03398640543782487,2.331933136134589,2.0635505257513413,0.0004999999999999935,0.7159318740849085,0.018268252242996268,0.016907274443984918,180.0,174.9424263834588,0.007800379950067429,0.9971477091070554,169.0,1.0483432870337595,0.0
DiagonalScanPath_2,Diagonal,2,evaluation,10041,50041,100041,294.7833581687172,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9696121551379449,0.021071639937598724,-0.02199686699043657,-0.04206601592247824,76,0.030387844862055178,2.5723192018558456,2.190519750972342,0.0005000000000000004,0.7159318740849122,0.012234339713615176,0.011110848245908795,180.0,177.6372165206295,0.006903647548729603,0.9987027021594226,173.0,0.5771504828561405,0.0
DiagonalScanPath_3,Diagonal,3,evaluation,20041,100041,200041,294.9015209525281,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9680127948820472,0.03420551686403754,-0.02661347910037671,-0.046876633418317784,80,0.03198720511795282,2.5364864097536155,2.032651194332652,0.0005000000000000004,0.7159318740849122,0.020395862217916793,0.019155748325716263,180.0,105.19092860856082,0.019828696202420573,0.9273513985338594,118.0,6.82710159354211,0.0
DiagonalScanPath_4,Diagonal,4,evaluation,30041,150041,300041,295.3585248883726,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9704118352658937,0.03958407957365008,-0.03992433363309854,-0.06056669451793664,74,0.02958816473410636,2.5943551655465518,2.2136483751588187,0.0005000000000000004,0.7159318740849122,0.02282915450304177,0.021685622186840777,180.0,140.12339239837692,0.013757485413570317,0.9730426935414677,142.0,2.9702256399099554,0.0
DiagonalScanPath_5,Diagonal,5,evaluation,40041,200041,400041,295.50866552712534,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9668132746901239,0.0354846747979622,-0.02642367944856139,-0.04719893127707067,83,0.03318672530987605,2.531485381547889,2.128748577688744,0.0004999999999999866,0.7159318740849036,0.02148635219691768,0.02003073669709785,180.0,170.12037246115065,0.007679500553852785,0.99374065213897,164.0,1.5553450773052049,0.0
DiagonalScanPath_6,Diagonal,6,evaluation,50041,250041,500041,295.76268867732483,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9684126349460216,0.04140932147876773,-0.029239400194819236,-0.049908110172338614,79,0.03158736505397841,2.7201208277385236,2.283562412780356,0.0005000000000000004,0.7159318740849122,0.0292803908488264,0.02783298748122831,180.0,164.89611746254175,0.009949724190653405,0.9903667443360135,160.0,2.552713198549995,0.0
DiagonalScanPath_7,Diagonal,7,evaluation,60041,300041,600041,295.92680693793324,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9680127948820472,0.02795769668026804,-0.009399764134584524,-0.030324298230611606,80,0.03198720511795282,2.846539173110377,2.5218178195117296,0.0005000000000000004,0.7159318740849122,0.01563212580059519,0.014153163836604912,180.0,126.46849593227896,0.014481337023715585,0.955474860706124,132.0,3.5353375795883295,0.0
DiagonalScanPath_8,Diagonal,8,development,70041,350041,700041,296.12149833303096,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9692123150739704,0.04846885625429278,-0.031036468003040635,-0.05162614950485058,77,0.03078768492602959,3.06156684424828,2.5942242004168845,0.0005000000000000004,0.7159318740849122,0.02597822960428596,0.024209086453570516,180.0,161.8419982409503,0.010769000695195078,0.9892804729804527,156.0,1.5801946738969548,0.0
HorizontalScanPath_1,Horizontal,1,evaluation,80041,400041,800041,294.63123831934564,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9676129548180727,0.034686377123682575,-0.04451846381708272,-0.049706276777256066,81,0.032387045181927226,2.3362551184433964,2.072788496217603,0.0005000000000000004,0.7159318740849122,0.020607598945450247,0.019977915660956944,180.0,179.96837630136343,0.005710872123791183,0.999983104202181,178.0,0.055106174442968836,0.0
HorizontalScanPath_2,Horizontal,2,evaluation,90041,450041,900041,294.6301695664475,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9672131147540983,0.02799535610615378,-0.033740662387081705,-0.038892058560525855,82,0.03278688524590164,2.3543719517122503,1.90653286655082,0.0005000000000000004,0.7159318740849122,0.018606712853482407,0.018277741116880974,180.0,179.83584885982793,0.005844110165019297,0.9999117661366476,178.0,0.12825481421565144,0.0
HorizontalScanPath_3,Horizontal,3,evaluation,100041,500041,1000041,294.64317213251667,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9680127948820472,0.021102839619340875,-0.014203131304651204,-0.01959854960741367,80,0.03198720511795282,2.4498292697436965,2.108352308521746,0.0005000000000000004,0.7159318740849122,0.01337536010947428,0.012917743450027861,180.0,179.95725430269277,0.005814641912138878,0.9999770824401141,179.0,0.09214564798661229,0.0
HorizontalScanPath_4,Horizontal,4,evaluation,110041,550041,1100041,294.825260500259,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9640143942423031,0.026910757735929776,-0.032784683598700334,-0.03797357428473391,90,0.03598560575769692,2.149644136871292,1.8164370527120122,0.0005000000000000004,0.7159318740849122,0.018243966829387597,0.017570056814878006,180.0,177.34108960034965,0.007278759741905482,0.9985366778969534,173.0,0.7440519576534115,0.0
HorizontalScanPath_5,Horizontal,5,evaluation,120041,600041,1200041,295.0840552279015,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9668132746901239,0.022649980877831894,-0.0280165405924301,-0.03317080673023773,83,0.03318672530987605,2.2837726459313594,1.981498903042539,0.0005000000000000004,0.7159318740849122,0.016097315107714564,0.015771522427771585,180.0,176.63069626110294,0.007061816834359128,0.9981295168765614,167.0,0.7377268200888665,0.0
HorizontalScanPath_6,Horizontal,6,evaluation,130041,650041,1300041,295.31752139540873,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.968812475009996,0.017757276938220743,-0.015906902478009292,-0.02130733697342774,78,0.031187524990004,2.42798065441825,2.0540222485962705,0.0005000000000000004,0.7159318740849122,0.011569512388834833,0.011071507235591601,180.0,159.36007151528963,0.012065408829993726,0.9879328592619024,156.0,1.8464659337381164,0.0
HorizontalScanPath_7,Horizontal,7,evaluation,140041,700041,1400041,295.52522559779794,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9676129548180727,0.04957831269776602,-0.05642047802352116,-0.06161452333949643,81,0.032387045181927226,2.346534294838893,2.139312985186778,0.0005000000000000004,0.7159318740849122,0.030414350797023346,0.029703489525215405,180.0,61.10901056801363,0.03025045947860412,0.8408192017196173,86.0,29.154166340083762,0.0
HorizontalScanPath_8,Horizontal,8,evaluation,150041,750041,1500041,295.71434881764065,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.9668132746901239,0.045149855008845045,-0.045301624321042205,-0.05046129137848932,83,0.03318672530987605,2.3328248105326024,1.984444912344575,0.0005000000000000004,0.7159318740849122,0.021615471389651263,0.021081555106652407,180.0,147.99131815899554,0.010632407799322136,0.9784449460306697,144.0,2.216334355088918,0.0
HorizontalScanPath_10,Horizontal,10,evaluation,160041,800041,1600041,296.06802208777685,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.970811675329868,0.03512753849950928,-0.029375701752178553,-0.03457497813216656,73,0.029188324670131948,2.7154174495621515,2.1736624194621537,0.0005000000000000004,0.7159318740849122,0.02507993947823194,0.024604685948613567,180.0,169.63576040305014,0.008801048289210635,0.9942263714085391,163.0,1.0317113473542179,0.0
HorizontalScanPath_11,Horizontal,11,evaluation,170041,850041,1700041,296.2091569703494,True,True,False,True,False,True,True,True,True,unbiased_M_times_M_minus_1,0.968812475009996,0.03954992618897692,-0.027297211012707424,-0.032461465443634555,78,0.031187524990004,2.6094915770781015,2.035023466430805,0.0005000000000000004,0.7159318740849122,0.016417114316266454,0.0159619382056997,180.0,170.01813650677138,0.008538892006627729,0.9942251399611661,163.0,1.1826028780633635,0.0
