stage,region,rmse_K_mean,rmse_K_std,mae_K_mean,mae_K_std,signed_error_K_mean,signed_error_K_std,posterior_sd_K_mean,posterior_sd_K_std,coverage_95_mean,coverage_95_std,interval_width_95_K_mean,interval_width_95_K_std,positive_sd_fraction_mean,positive_sd_fraction_std,zero_sd_nonzero_error_fraction_mean,zero_sd_nonzero_error_fraction_std,mean_z_mean,mean_z_std,rms_z_mean,rms_z_std,mean_abs_error_over_sd_mean,mean_abs_error_over_sd_std,median_abs_error_over_sd_mean,median_abs_error_over_sd_std,fraction_abs_z_gt_1_96_mean,fraction_abs_z_gt_1_96_std,crps_K_mean,crps_K_std,n_trajectories
Previous censored representation,top_1pct,9.665974053102964,0.5459865469486451,5.406887541546651,0.4385301750506671,-5.382496913753223,0.4533749362669675,0.6139462451384501,0.21692143925514584,0.22266666666666665,0.1705757660220906,2.1922316373853667,0.7007299862185441,1.0,0.0,0.0,0.0,11.094204118978423,4.267530919656137,19.55707125288388,7.177518838106161,11.114291392194625,4.251474463563776,5.556519694395307,2.832457977975584,0.7893333333333333,0.15719378186643154,5.122255155514581,0.48333693002019,30
Current sequential advective ST,top_1pct,4.383701891815464,0.37697111208373607,3.25029784564967,0.40541015377678424,-2.6980157937559484,0.4536664145348315,0.8739942376240591,0.10502109770773706,0.36533333333333334,0.1546460549087838,3.332062254970471,0.39991925246096177,1.0,0.0,0.0,0.0,3.2199985706848437,0.744438311691933,5.150665496082023,0.8050390358732585,3.848550330080343,0.7759974053064587,2.6050140883377235,0.7488767630135367,0.6253333333333334,0.16391194720575314,2.8387054103684153,0.40291848286839294,30
