trajectory,family,run_index,role,method,field_excess_rel_l2,overall_rmse_K,overall_mae_K,overall_signed_error_K,overall_crps_K,top_1pct_rmse_K,top_1pct_mae_K,top_1pct_signed_error_K,top_1pct_crps_K,top_1pct_coverage_95,top_1pct_interval_width_95_K,peak_absolute_error_K,mean_posterior_sd_K
DiagonalScanPath_1,Diagonal,1,evaluation,Observed-clipped previous state + ST innovation,0.4446756354517417,0.5472566668050421,0.18516518030717816,0.009478459531391112,0.2180916330559698,4.921901625980771,3.9594110430228784,-3.263325425238936,3.5779401853649246,0.04,2.5847593595233955,6.0701142223208535,0.6579609988031162
DiagonalScanPath_1,Diagonal,1,evaluation,Posterior-mean previous state + ST innovation,0.40074009704771135,0.4931857567205522,0.17936134913331891,0.04515747356466033,0.21075509769012687,4.305036010250912,3.0237103522688447,-2.210353304130599,2.6992792749348395,0.36,2.650554007169744,7.178980968655139,0.6583953771263871
DiagonalScanPath_1,Diagonal,1,evaluation,Moment-matched sequential advective ST,0.4004184126327444,0.4927898637894743,0.1797150422379106,0.04618296196449793,0.21067175063430674,4.288794185758564,3.0073982601425926,-2.1792183481292953,2.646165831175063,0.32,3.0723925013817235,7.204528689729102,0.6629033345875804
DiagonalScanPath_1,Diagonal,1,evaluation,Posterior-sample mixture sequential advective ST,0.40105933566905416,0.49357863964442555,0.17969422261571186,0.04593834090020859,0.21014586445232863,4.298791325971757,3.017642833032269,-2.198850586132721,2.6585181862166882,0.36,3.141126800898005,7.182399741392146,0.663570976371033
DiagonalScanPath_1,Diagonal,1,evaluation,Oracle true previous state + fixed clipped-calibrated source,0.5697706800387721,0.701209552181772,0.07837707633808139,0.028401004100866097,0.18233492659884232,6.969894790019122,2.73873038210123,2.7369990540844267,2.5929066497692794,0.76,2.697636880010043,17.632773411617336,0.6580407905687441
DiagonalScanPath_1,Diagonal,1,evaluation,Oracle true previous state + dev-calibrated source,0.3876297318785406,0.47705099652441824,0.07061366232229674,0.007944287958538052,0.174662149841175,4.693144113063583,1.8821055355665772,0.8229938678101303,1.764333709875211,0.84,2.697636880010043,5.3575088097998105,0.6580407905687441
DiagonalScanPath_2,Diagonal,2,evaluation,Observed-clipped previous state + ST innovation,0.4741420694145166,0.5687530391983925,0.19636065232908395,0.022762541274296673,0.22100312185201237,5.214396766233545,4.312510040353115,-3.647650361666217,3.943731507550017,0.08,2.6865015831627375,4.15462913324626,0.6576942420071075
DiagonalScanPath_2,Diagonal,2,evaluation,Posterior-mean previous state + ST innovation,0.43515150874576813,0.5219822476763841,0.18760012542977514,0.04383276035427724,0.2127820150350421,4.75845272897835,3.725265542454879,-2.8684697590866133,3.350844078678159,0.12,2.6865015831627375,3.32640331151822,0.6576942420071075
DiagonalScanPath_2,Diagonal,2,evaluation,Moment-matched sequential advective ST,0.43516959740266803,0.5220039457691088,0.18761155763572449,0.043674896053376905,0.2125763998862669,4.758977251824033,3.7265361139470814,-2.8697914733396463,3.31844472943282,0.24,2.957902356410054,3.32165691731916,0.6600748546608661
DiagonalScanPath_2,Diagonal,2,evaluation,Posterior-sample mixture sequential advective ST,0.43519044702974546,0.5220289557598506,0.18784049903969846,0.04400977181917255,0.21215732428285944,4.7570316034254,3.723570552789279,-2.8659003996739103,3.310179399931213,0.2,2.9266186809277337,3.316803826118303,0.6601968024849122
DiagonalScanPath_2,Diagonal,2,evaluation,Oracle true previous state + fixed clipped-calibrated source,0.6406828699045094,0.7685256232810074,0.08631120512617037,0.04546424980154446,0.1843554224866361,7.634673612356619,2.8564345355634213,2.8564345355634213,2.7106134268448687,0.76,2.6502759547662116,34.20600600221775,0.6577163490131889
DiagonalScanPath_2,Diagonal,2,evaluation,Oracle true previous state + dev-calibrated source,0.3396276246041014,0.40739739447258455,0.0752479485416361,0.02539510086950286,0.173515111883767,3.981864917157854,1.7618882985414006,0.9768949540862354,1.6412470427513972,0.8,2.6502759547662116,13.399254612281709,0.6577163490131889
DiagonalScanPath_3,Diagonal,3,evaluation,Observed-clipped previous state + ST innovation,0.4670288736089977,0.5878162322921376,0.18837713381155297,0.009561412980534395,0.21944809724894274,5.415924882140937,4.231618976278305,-3.6051488162530494,3.851636841414431,0.08,2.6248018083840634,5.079182759676598,0.6581595759618396
DiagonalScanPath_3,Diagonal,3,evaluation,Posterior-mean previous state + ST innovation,0.42244547889147405,0.5317022646414167,0.1835772106678072,0.03255495928023672,0.21296746580776904,4.8020231984517885,3.4047282882968353,-2.4304377902084955,3.1063783946935,0.36,2.598381725977076,6.949524015160478,0.658173803381235
DiagonalScanPath_3,Diagonal,3,evaluation,Moment-matched sequential advective ST,0.4305276571609481,0.5418747311580223,0.18446721944089187,0.027298188646991038,0.21273780380177687,4.927168201271908,3.548329712841687,-2.684161948224755,3.153221778509744,0.44,3.34441316579931,6.292863310894859,0.6635976345941629
DiagonalScanPath_3,Diagonal,3,evaluation,Posterior-sample mixture sequential advective ST,0.43109330087059156,0.542586666914056,0.18474491754279426,0.026122868428882232,0.21320532522788946,4.937836855056334,3.586866258671155,-2.723805021834835,3.1825209321521526,0.44,3.1503082576984163,6.289202403432455,0.661971063216108
DiagonalScanPath_3,Diagonal,3,evaluation,Oracle true previous state + fixed clipped-calibrated source,0.6049679835206577,0.7614304400121651,0.08277631297998259,0.030994435733754065,0.18432568799820787,7.562607099755482,2.8274206215522075,2.8274206215522075,2.6926327396587495,0.72,2.7146385259358135,34.03413484414551,0.6584181089038177
DiagonalScanPath_3,Diagonal,3,evaluation,Oracle true previous state + dev-calibrated source,0.389951726721589,0.49080467553533647,0.07450205514134892,0.01073128141581301,0.1760566967857086,4.8321586933904035,2.0020689991633547,0.9724512950420034,1.879082658666712,0.8,2.7146385259358135,18.26430057136423,0.6584181089038177
DiagonalScanPath_4,Diagonal,4,evaluation,Observed-clipped previous state + ST innovation,0.4398136882171531,0.5925028010426098,0.19031958077853803,0.01546784254102005,0.21960919215815847,5.515392312953206,4.363882186513559,-3.6118164030502453,3.9875763248206755,0.04,2.704360599378674,7.423465270860845,0.6578175780505755
