method,field_rel_l2,hot_region_rel_l2,peak_true,peak_pred,peak_abs_error,true_peak_x,true_peak_y,posterior_mean_at_true_peak,posterior_sd_at_true_peak,peak_ci_lower,peak_ci_upper,true_peak_in_95,shape,shape_label,obs_n,n_observations,n_saturated,actual_frac_saturated,selected_lengthscale,lengthscale,threshold,scenario,observation_seed
oracle true,0.0015770389686947316,0.0030837502102339744,1302.3172913701162,1296.622702100061,5.694589270055303,0.36206896551724155,-0.1206896551724137,1296.622702100061,15.146832796686091,1266.9349098185562,1326.3104943815656,True,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,0.7,0.7,808.9584790988589,fixed_ell_0.70,1
exact clipped,0.09652004453592122,0.23535001409453407,1302.3172913701162,883.5168127088604,418.80047866125585,0.36206896551724155,-0.1206896551724137,883.5168127088604,8.526589792812501,866.8046967149479,900.2289287027728,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,1.3408758478308807,1.3408758478308807,808.9584790988589,unsat_mll_tuned,1
discard saturated,0.07353205315711471,0.1762350161343288,1302.3172913701162,977.5228641980215,324.79442717209474,0.36206896551724155,-0.1206896551724137,977.5228641980215,15.47557636307736,947.1907345263899,1007.8549938696531,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,1.3408758478308807,1.3408758478308807,808.9584790988589,unsat_mll_tuned,1
censored Laplace,0.0730715837982695,0.17500722927138726,1302.3172913701162,979.1081145599135,323.20917681020273,0.36206896551724155,-0.1206896551724137,979.1081145599135,15.019474850606878,949.669943852724,1008.5462852671029,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,1.3408758478308807,1.3408758478308807,808.9584790988589,unsat_mll_tuned,1
censored sampled,0.07302250993475982,0.1747980194048046,1302.3172913701162,979.463185177617,322.8541061924992,0.36206896551724155,-0.1206896551724137,979.463185177617,15.188925976356199,951.5618686662692,1011.0757772826797,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,1.3408758478308807,1.3408758478308807,808.9584790988589,unsat_mll_tuned,1
oracle true,0.03476211066033433,0.05591179737981889,1302.3172913701162,1182.417900326937,119.89939104317932,0.36206896551724155,-0.1206896551724137,1182.417900326937,8.526589792812501,1165.7057843330244,1199.1300163208493,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,1.3408758478308807,1.3408758478308807,808.9584790988589,unsat_mll_tuned,1
exact clipped,0.10430512157112315,0.25184565314850377,1302.3172913701162,828.5159266968116,473.80136467330465,0.36206896551724155,-0.1206896551724137,801.2514593115915,15.146832796686091,771.5636670300868,830.9392515930962,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.7,0.7,808.9584790988589,fixed_ell_0.70,2
discard saturated,0.03952181840191629,0.067773691508221,1302.3172913701162,1172.905308109328,129.41198326078825,0.36206896551724155,-0.1206896551724137,1167.6690250753977,93.64064106166995,984.1333685945247,1351.2046815562708,True,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.7,0.7,808.9584790988589,fixed_ell_0.70,2
censored Laplace,0.03456597106122448,0.047863565422391965,1302.3172913701162,1226.574469666194,75.74282170392212,0.36206896551724155,-0.1206896551724137,1226.574469666194,86.41161849623137,1057.2076974135807,1395.9412419188075,True,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.7,0.7,808.9584790988589,fixed_ell_0.70,2
censored sampled,0.0332860278984929,0.04214961301587445,1302.3172913701162,1242.1867020710265,60.130589299089706,0.36206896551724155,-0.1206896551724137,1242.1867020710265,88.54219326796726,1072.1945678919108,1412.6884368646924,True,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.7,0.7,808.9584790988589,fixed_ell_0.70,2
oracle true,0.0015770389686947316,0.0030837502102339744,1302.3172913701162,1296.622702100061,5.694589270055303,0.36206896551724155,-0.1206896551724137,1296.622702100061,15.146832796686091,1266.9349098185562,1326.3104943815656,True,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.7,0.7,808.9584790988589,fixed_ell_0.70,2
exact clipped,0.09749404043315171,0.2374785868568543,1302.3172913701162,881.5209949306321,420.7962964394841,0.36206896551724155,-0.1206896551724137,881.5209949306321,8.588687959193555,864.6871665306128,898.3548233306515,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.329666261076571,1.329666261076571,808.9584790988589,unsat_mll_tuned,2
discard saturated,0.07851672303852893,0.18896020611606715,1302.3172913701162,958.8768363016846,343.44045506843156,0.36206896551724155,-0.1206896551724137,958.8768363016846,17.3335091339255,924.9031583991907,992.8505142041786,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.329666261076571,1.329666261076571,808.9584790988589,unsat_mll_tuned,2
censored Laplace,0.07421925307178168,0.1774128488565681,1302.3172913701162,977.8441298950816,324.47316147503466,0.36206896551724155,-0.1206896551724137,977.8441298950816,15.301535597973468,947.8531201230536,1007.8351396671095,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.329666261076571,1.329666261076571,808.9584790988589,unsat_mll_tuned,2
censored sampled,0.0741938785646745,0.1772425896600983,1302.3172913701162,978.1280277891892,324.189263580927,0.36206896551724155,-0.1206896551724137,978.1280277891892,17.05447927512535,944.1994378820951,1006.2500587378704,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.329666261076571,1.329666261076571,808.9584790988589,unsat_mll_tuned,2
oracle true,0.0339424680681141,0.054601398698096236,1302.3172913701162,1185.366077516212,116.95121385390416,0.36206896551724155,-0.1206896551724137,1185.366077516212,8.588687959193555,1168.5322491161926,1202.1999059162315,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.329666261076571,1.329666261076571,808.9584790988589,unsat_mll_tuned,2
exact clipped,0.10399915743305059,0.2509840641922917,1302.3172913701162,844.0784739391132,458.238817431003,0.36206896551724155,-0.1206896551724137,796.6612415241901,15.146832796686091,766.9734492426854,826.3490338056948,False,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,0.7,0.7,808.9584790988589,fixed_ell_0.70,3
discard saturated,0.03911951862597136,0.06775560962379733,1302.3172913701162,1164.37070386402,137.9465875060962,0.36206896551724155,-0.1206896551724137,1151.8985169845369,99.0121700469418,957.834663692531,1345.9623702765427,True,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,0.7,0.7,808.9584790988589,fixed_ell_0.70,3
censored Laplace,0.030730464335166775,0.03216560443774998,1302.3172913701162,1240.815536691467,61.50175467864915,0.36206896551724155,-0.1206896551724137,1240.815536691467,89.03745966720561,1066.302115743744,1415.32895763919,True,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,0.7,0.7,808.9584790988589,fixed_ell_0.70,3
censored sampled,0.0323779002654393,0.038786388121556194,1302.3172913701162,1235.9015542433692,66.41573712674699,0.36206896551724155,-0.1206896551724137,1235.9015542433692,92.45030136506706,1035.1632289189865,1418.4830076714675,True,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,0.7,0.7,808.9584790988589,fixed_ell_0.70,3
oracle true,0.0015770389686947316,0.0030837502102339744,1302.3172913701162,1296.622702100061,5.694589270055303,0.36206896551724155,-0.1206896551724137,1296.622702100061,15.146832796686091,1266.9349098185562,1326.3104943815656,True,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,0.7,0.7,808.9584790988589,fixed_ell_0.70,3
exact clipped,0.09544577555048707,0.23110852458374198,1302.3172913701162,885.5727595214452,416.74453184867104,0.36206896551724155,-0.1206896551724137,884.4364546015353,8.55315085746513,867.6722789209036,901.2006302821669,False,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,1.3360585224954493,1.3360585224954493,808.9584790988589,unsat_mll_tuned,3
discard saturated,0.07339469344610998,0.17386768416353976,1302.3172913701162,978.4752124066603,323.84207896345595,0.36206896551724155,-0.1206896551724137,974.1900939378851,18.454159864019193,938.0199406044075,1010.3602472713627,False,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,1.3360585224954493,1.3360585224954493,808.9584790988589,unsat_mll_tuned,3
censored Laplace,0.06708499943751331,0.15637304374763158,1302.3172913701162,1003.7514765985765,298.56581477153975,0.36206896551724155,-0.1206896551724137,1002.0463027686352,16.013769579880474,970.6593143920695,1033.4332911452009,False,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,1.3360585224954493,1.3360585224954493,808.9584790988589,unsat_mll_tuned,3
censored sampled,0.06636766975029779,0.15325096119157697,1302.3172913701162,1009.1031653188986,293.2141260512176,0.36206896551724155,-0.1206896551724137,1007.1194294049137,14.437443374990245,978.460963852071,1033.1908268934378,False,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,1.3360585224954493,1.3360585224954493,808.9584790988589,unsat_mll_tuned,3
oracle true,0.03440975420006813,0.055347630076019866,1302.3172913701162,1183.6860093408563,118.63128202925986,0.36206896551724155,-0.1206896551724137,1183.6860093408563,8.55315085746513,1166.9218336602246,1200.450185021488,False,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,1.3360585224954493,1.3360585224954493,808.9584790988589,unsat_mll_tuned,3
exact clipped,0.10409171233875329,0.25198878713834727,1302.3172913701162,831.7163482605232,470.600943109593,0.36206896551724155,-0.1206896551724137,801.2244277043222,15.146832796686091,771.5366354228175,830.9122199858269,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.7,0.7,808.9584790988589,fixed_ell_0.70,4
discard saturated,0.04501386612348039,0.09047153154089162,1302.3172913701162,1132.8085105273544,169.50878084276178,0.36206896551724155,-0.1206896551724137,1114.3032485290496,93.64064106166995,930.7675920481765,1297.8389050099227,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.7,0.7,808.9584790988589,fixed_ell_0.70,4
censored Laplace,0.04170881718287798,0.07963349288792423,1302.3172913701162,1151.2556925811195,151.06159878899666,0.36206896551724155,-0.1206896551724137,1143.382998299162,87.435122808153,972.0101575951821,1314.7558390031418,True,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.7,0.7,808.9584790988589,fixed_ell_0.70,4
censored sampled,0.04071612990661654,0.07592164292696998,1302.3172913701162,1157.7883300082785,144.52896136183767,0.36206896551724155,-0.1206896551724137,1152.7550376326599,85.95405906975152,988.5806673559249,1322.4433810991316,True,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.7,0.7,808.9584790988589,fixed_ell_0.70,4
oracle true,0.0015770389686947316,0.0030837502102339744,1302.3172913701162,1296.622702100061,5.694589270055303,0.36206896551724155,-0.1206896551724137,1296.622702100061,15.146832796686091,1266.9349098185562,1326.3104943815656,True,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.7,0.7,808.9584790988589,fixed_ell_0.70,4
exact clipped,0.0963954002498636,0.23498787987403943,1302.3172913701162,880.2016463976964,422.1156449724198,0.36206896551724155,-0.1206896551724137,880.2016463976964,8.581256162482072,863.3823843192316,897.0209084761613,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.3309980790266553,1.3309980790266553,808.9584790988589,unsat_mll_tuned,4
discard saturated,0.07452260781420388,0.1790919286499584,1302.3172913701162,968.0596838485839,334.25760752153235,0.36206896551724155,-0.1206896551724137,968.0596838485839,17.30081643356139,934.1500836388035,1001.9692840583642,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.3309980790266553,1.3309980790266553,808.9584790988589,unsat_mll_tuned,4
censored Laplace,0.07125440867733317,0.1701458021182614,1302.3172913701162,983.3362567693177,318.98103460079847,0.36206896551724155,-0.1206896551724137,983.3362567693177,15.605853614662868,952.7487836845785,1013.923729854057,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.3309980790266553,1.3309980790266553,808.9584790988589,unsat_mll_tuned,4
censored sampled,0.0716855160742775,0.171399613751914,1302.3172913701162,980.9316876821849,321.3856036879313,0.36206896551724155,-0.1206896551724137,980.9316876821849,16.818512340050486,953.4270620283348,1019.3005544179176,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.3309980790266553,1.3309980790266553,808.9584790988589,unsat_mll_tuned,4
oracle true,0.034039799666172176,0.05475665051729593,1302.3172913701162,1185.0162901588888,117.30100121122746,0.36206896551724155,-0.1206896551724137,1185.0162901588888,8.581256162482072,1168.197028080424,1201.8355522373536,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.3309980790266553,1.3309980790266553,808.9584790988589,unsat_mll_tuned,4
exact clipped,0.1039894172107405,0.25138131429573335,1302.3172913701162,834.0428043210753,468.2744870490409,0.36206896551724155,-0.1206896551724137,798.61902331001,15.146832796686091,768.9312310285053,828.3068155915147,False,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,0.7,0.7,808.9584790988589,fixed_ell_0.70,5
discard saturated,0.04551151078711816,0.09002288939631718,1302.3172913701162,1141.3740407815899,160.94325058852633,0.36206896551724155,-0.1206896551724137,1135.8707126464528,123.53910657401686,893.7340637613797,1378.007361531526,True,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,0.7,0.7,808.9584790988589,fixed_ell_0.70,5
censored Laplace,0.03265335874532795,0.04129574367447499,1302.3172913701162,1252.1455252715327,50.171766098583475,0.36206896551724155,-0.1206896551724137,1252.1455252715327,90.52814024355702,1074.710370394161,1429.5806801489045,True,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,0.7,0.7,808.9584790988589,fixed_ell_0.70,5
censored sampled,0.03123672399685075,0.03259389705850829,1302.3172913701162,1273.716357220258,28.600934149858176,0.36206896551724155,-0.1206896551724137,1273.716357220258,89.66470830003678,1102.2746691072118,1444.9272866357087,True,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,0.7,0.7,808.9584790988589,fixed_ell_0.70,5
oracle true,0.0015770389686947316,0.0030837502102339744,1302.3172913701162,1296.622702100061,5.694589270055303,0.36206896551724155,-0.1206896551724137,1296.622702100061,15.146832796686091,1266.9349098185562,1326.3104943815656,True,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,0.7,0.7,808.9584790988589,fixed_ell_0.70,5
exact clipped,0.09564695229616264,0.23373205926404086,1302.3172913701162,884.7538530951628,417.56343827495346,0.36206896551724155,-0.1206896551724137,883.9109224403022,9.034170465855876,866.2039483272247,901.6178965533798,False,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,1.2543484977920627,1.2543484977920627,808.9584790988589,unsat_mll_tuned,5
discard saturated,0.0719434361924103,0.1736174056848636,1302.3172913701162,979.3721826254008,322.9451087447154,0.36206896551724155,-0.1206896551724137,979.3721826254008,22.285478074916117,935.6926455985652,1023.0517196522364,False,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,1.2543484977920627,1.2543484977920627,808.9584790988589,unsat_mll_tuned,5
censored Laplace,0.06245930138381907,0.14822139455003974,1302.3172913701162,1022.1536056479873,280.1636857221289,0.36206896551724155,-0.1206896551724137,1022.1536056479873,17.955726190168157,986.9603823152577,1057.346828980717,False,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,1.2543484977920627,1.2543484977920627,808.9584790988589,unsat_mll_tuned,5
censored sampled,0.06107473899797083,0.14433267358962473,1302.3172913701162,1028.880607608799,273.4366837613172,0.36206896551724155,-0.1206896551724137,1027.2374221862412,17.828072684195533,990.3580028076993,1058.939354404342,False,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,1.2543484977920627,1.2543484977920627,808.9584790988589,unsat_mll_tuned,5
oracle true,0.028477305587530144,0.04601846093157791,1302.3172913701162,1204.8801685864296,97.43712278368662,0.36206896551724155,-0.1206896551724137,1204.8801685864296,9.034170465855876,1187.1731944733522,1222.587142699507,False,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,1.2543484977920627,1.2543484977920627,808.9584790988589,unsat_mll_tuned,5
exact clipped,0.10445853824246211,0.2533641520925068,1302.3172913701162,829.949490174275,472.36780119584125,0.36206896551724155,-0.1206896551724137,801.6675867201742,15.146832796686091,771.9797944386695,831.3553790016789,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.7,0.7,808.9584790988589,fixed_ell_0.70,6
discard saturated,0.056734206521320135,0.12492305047436511,1302.3172913701162,1053.0922828870002,249.22500848311597,0.36206896551724155,-0.1206896551724137,1040.9133110458738,93.64064106166995,857.3776545650007,1224.4489675267469,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.7,0.7,808.9584790988589,fixed_ell_0.70,6
censored Laplace,0.04761479225508977,0.09785472745015308,1302.3172913701162,1114.625437835406,187.69185353471016,0.36206896551724155,-0.1206896551724137,1114.625437835406,86.12327757682596,945.8238137848272,1283.427061885985,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.7,0.7,808.9584790988589,fixed_ell_0.70,6
censored sampled,0.045574880348569574,0.0911203963430223,1302.3172913701162,1126.8454528554728,175.47183851464342,0.36206896551724155,-0.1206896551724137,1126.8454528554728,79.0411275857648,974.7862395444555,1285.4202808224893,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.7,0.7,808.9584790988589,fixed_ell_0.70,6
oracle true,0.0015770389686947316,0.0030837502102339744,1302.3172913701162,1296.622702100061,5.694589270055303,0.36206896551724155,-0.1206896551724137,1296.622702100061,15.146832796686091,1266.9349098185562,1326.3104943815656,True,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.7,0.7,808.9584790988589,fixed_ell_0.70,6
exact clipped,0.09883875130655255,0.2414222086370262,1302.3172913701162,877.813523820669,424.50376754944716,0.36206896551724155,-0.1206896551724137,877.813523820669,8.394894658361668,861.3595302902802,894.2675173510579,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.3652754948283023,1.3652754948283023,808.9584790988589,unsat_mll_tuned,6
discard saturated,0.08600175972806849,0.20900223146861802,1302.3172913701162,930.2172302923158,372.10006107780043,0.36206896551724155,-0.1206896551724137,930.2172302923158,16.49951612199029,897.8781786932147,962.5562818914168,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.3652754948283023,1.3652754948283023,808.9584790988589,unsat_mll_tuned,6
censored Laplace,0.079828347670261,0.1928950351684585,1302.3172913701162,955.1678894985225,347.1494018715937,0.36206896551724155,-0.1206896551724137,955.1678894985225,14.195665174058833,927.3443857573673,982.9913932396778,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.3652754948283023,1.3652754948283023,808.9584790988589,unsat_mll_tuned,6
censored sampled,0.08009145716921794,0.19315767296041528,1302.3172913701162,954.55210545914,347.76518591097624,0.36206896551724155,-0.1206896551724137,954.55210545914,13.422146229046467,927.301892137836,979.1506836603054,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.3652754948283023,1.3652754948283023,808.9584790988589,unsat_mll_tuned,6
oracle true,0.036548892956552094,0.058792795291660455,1302.3172913701162,1175.97062924363,126.34666212648631,0.36206896551724155,-0.1206896551724137,1175.97062924363,8.394894658361668,1159.516635713241,1192.4246227740189,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.3652754948283023,1.3652754948283023,808.9584790988589,unsat_mll_tuned,6
exact clipped,0.10369694375108521,0.25143648223956677,1302.3172913701162,835.2129796580115,467.10431171210473,0.36206896551724155,-0.1206896551724137,804.8494570495853,15.146832796686091,775.1616647680806,834.53724933109,False,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,0.7,0.7,808.9584790988589,fixed_ell_0.70,7
discard saturated,0.045014478490956175,0.09093935486978034,1302.3172913701162,1133.0271279814847,169.29016338863153,0.36206896551724155,-0.1206896551724137,1119.715046461576,123.53910657401686,877.578397576503,1361.8516953466492,True,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,0.7,0.7,808.9584790988589,fixed_ell_0.70,7
censored Laplace,0.030811386448036326,0.038642781987052205,1302.3172913701162,1262.5082959828737,39.808995387242476,0.36206896551724155,-0.1206896551724137,1244.2111678562437,90.52997424094903,1066.7724183439836,1421.6499173685038,True,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,0.7,0.7,808.9584790988589,fixed_ell_0.70,7
censored sampled,0.03082977452956019,0.0364323003583196,1302.3172913701162,1279.4159654279356,22.90132594218062,0.36206896551724155,-0.1206896551724137,1260.0209569726949,92.16995052154788,1089.8225911910547,1440.6578545027937,True,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,0.7,0.7,808.9584790988589,fixed_ell_0.70,7
oracle true,0.0015770389686947316,0.0030837502102339744,1302.3172913701162,1296.622702100061,5.694589270055303,0.36206896551724155,-0.1206896551724137,1296.622702100061,15.146832796686091,1266.9349098185562,1326.3104943815656,True,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,0.7,0.7,808.9584790988589,fixed_ell_0.70,7
exact clipped,0.0980186340498938,0.23864634455653955,1302.3172913701162,877.931898012021,424.38539335809526,0.36206896551724155,-0.1206896551724137,877.931898012021,8.293423764181682,861.6767874342248,894.1870085898171,False,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,1.3846806245536867,1.3846806245536867,808.9584790988589,unsat_mll_tuned,7
discard saturated,0.08982449222749021,0.21825997608944628,1302.3172913701162,909.3470443553769,392.97024701473936,0.36206896551724155,-0.1206896551724137,909.3470443553769,18.029014613848243,874.0101757122343,944.6839129985194,False,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,1.3846806245536867,1.3846806245536867,808.9584790988589,unsat_mll_tuned,7
censored Laplace,0.07803638450833723,0.18729538685864305,1302.3172913701162,958.2627698177441,344.0545215523721,0.36206896551724155,-0.1206896551724137,958.2627698177441,13.985267188453696,930.8516461283749,985.6738935071133,False,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,1.3846806245536867,1.3846806245536867,808.9584790988589,unsat_mll_tuned,7
censored sampled,0.07737413477350824,0.18491495602088492,1302.3172913701162,961.7733614398467,340.54392993026954,0.36206896551724155,-0.1206896551724137,960.7743703171657,11.890113087392011,937.7801507580505,980.6318497148982,False,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,1.3846806245536867,1.3846806245536867,808.9584790988589,unsat_mll_tuned,7
oracle true,0.037971742227029905,0.061111818771420516,1302.3172913701162,1170.8164852434625,131.50080612665374,0.36206896551724155,-0.1206896551724137,1170.8164852434625,8.293423764181682,1154.5613746656663,1187.0715958212586,False,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,1.3846806245536867,1.3846806245536867,808.9584790988589,unsat_mll_tuned,7
exact clipped,0.10442771708209682,0.25148577307051095,1302.3172913701162,836.2282417019295,466.0890496681867,0.36206896551724155,-0.1206896551724137,792.7420702338699,15.146832796686091,763.0542779523652,822.4298625153746,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.7,0.7,808.9584790988589,fixed_ell_0.70,8
