selection,trajectory,st_top_1pct_coverage,rbf_top_1pct_coverage,rbf_minus_st_coverage
smallest difference,HorizontalScanPath_10,0.7307692307692307,0.8846153846153846,0.15384615384615385
median difference,HorizontalScanPath_5,0.3846153846153846,0.8461538461538461,0.46153846153846156
largest difference,DiagonalScanPath_7,0.0769230769230769,0.8076923076923077,0.7307692307692308
