trajectory,st_innovation_variance_K2,st_innovation_sd_K,rbf_prior_variance_K2,rbf_prior_sd_K,rbf_to_st_prior_variance_ratio,rbf_to_st_prior_sd_ratio,variance_match_scale
DiagonalScanPath_1,0.5125584483307293,0.7159318740849085,11.76842211561903,3.4305133895116966,22.960156356695997,4.791675735762594,0.043553710369588335
DiagonalScanPath_2,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
DiagonalScanPath_3,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
DiagonalScanPath_4,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
DiagonalScanPath_5,0.5125584483307222,0.7159318740849036,11.76842211561903,3.4305133895116966,22.960156356696313,4.7916757357626265,0.04355371036958773
DiagonalScanPath_6,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
DiagonalScanPath_7,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
HorizontalScanPath_1,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
HorizontalScanPath_2,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
HorizontalScanPath_3,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
HorizontalScanPath_4,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
HorizontalScanPath_5,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
HorizontalScanPath_6,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
HorizontalScanPath_7,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
HorizontalScanPath_8,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
HorizontalScanPath_10,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
HorizontalScanPath_11,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
HorizontalScanPath_12,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
SpiralScanPath_1,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
SpiralScanPath_2,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
SpiralScanPath_3,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
SpiralScanPath_4,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
SpiralScanPath_5,0.5125584483307222,0.7159318740849036,11.76842211561903,3.4305133895116966,22.960156356696313,4.7916757357626265,0.04355371036958773
SpiralScanPath_6,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
SpiralScanPath_7,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
SpiralScanPath_8,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
SpiralScanPath_9,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
SpiralScanPath_10,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
SpiralScanPath_11,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
SpiralScanPath_12,0.5125584483307346,0.7159318740849122,11.76842211561903,3.4305133895116966,22.96015635669576,4.791675735762569,0.04355371036958879
