trajectory,method,region,rmse_K_rerun,mae_K_rerun,signed_error_K_rerun,crps_K_rerun,coverage_95_rerun,interval_width_95_K_rerun,posterior_sd_K_rerun,rmse_K_saved,mae_K_saved,signed_error_K_saved,crps_K_saved,coverage_95_saved,interval_width_95_K_saved,posterior_sd_K_saved,rmse_K_difference,mae_K_difference,signed_error_K_difference,crps_K_difference,coverage_95_difference,interval_width_95_K_difference,posterior_sd_K_difference
DiagonalScanPath_1,full-posterior mixture sequential advective stochastic ST,Q1,0.19582895217452237,0.13036687218273935,0.08229821480569925,0.17818942994831938,1.0,2.5396303253939645,0.6643748452933744,0.1958289521745223,0.1303668721827393,0.0822982148056992,0.1781894299483193,1.0,2.5396303253939645,0.6643748452933744,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,8.326672684688674e-17,0.0,0.0,0.0
DiagonalScanPath_1,full-posterior mixture sequential advective stochastic ST,Q2,0.16250527257350197,0.1072231878905679,0.05765814808603936,0.16764928153000488,1.0,2.4996528968504026,0.6513405468198284,0.1625052725735019,0.1072231878905679,0.0576581480860393,0.1676492815300048,1.0,2.4996528968504026,0.6513405468198284,8.326672684688674e-17,0.0,6.245004513516506e-17,8.326672684688674e-17,0.0,0.0,0.0
DiagonalScanPath_1,full-posterior mixture sequential advective stochastic ST,Q3,0.18713472861707162,0.12893286996538755,0.0652234697650656,0.1749266544729479,1.0,2.499528949578044,0.654364021381611,0.1871347286170716,0.1289328699653875,0.0652234697650656,0.1749266544729479,1.0,2.499528949578044,0.654364021381611,2.7755575615628914e-17,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0
DiagonalScanPath_1,full-posterior mixture sequential advective stochastic ST,Q4,0.9354312260697886,0.3523328841848454,-0.02148464485421864,0.3198692221532488,0.9648,2.6187060776857134,0.6842032057990426,0.9354312260697886,0.3523328841848454,-0.0214846448542186,0.3198692221532488,0.9648,2.6187060776857134,0.6842032057990426,0.0,0.0,-4.163336342344337e-17,0.0,0.0,0.0,0.0
DiagonalScanPath_1,full-posterior mixture sequential advective stochastic ST,top_1pct,4.222182106606016,2.9487980379806973,-2.1614978005772865,2.58854321585036,0.38461538461538464,3.1493192551046456,0.8330912437413011,4.222182106606016,2.9487980379806973,-2.1614978005772865,2.58854321585036,0.3846153846153846,3.1493192551046456,0.8330912437413011,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0
DiagonalScanPath_1,full-posterior mixture sequential advective stochastic ST,above_camera_ceiling,2.5604043163505406,1.4561256936178735,-0.5061212246735307,1.1952033950774994,0.7236842105263158,3.1436843329164144,0.8341413266514079,2.560404316350541,1.4561256936178737,-0.5061212246735307,1.1952033950774994,0.7236842105263158,3.1436843329164144,0.8341413266514079,-4.440892098500626e-16,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0
DiagonalScanPath_1,full-posterior mixture sequential advective stochastic ST,overall,0.49357863964442555,0.17969422261571186,0.04593834090020859,0.21014586445232863,0.991203518592563,2.539379662642132,0.663570976371033,0.4935786396444255,0.1796942226157118,0.0459383409002085,0.2101458644523286,0.991203518592563,2.539379662642132,0.663570976371033,5.551115123125783e-17,5.551115123125783e-17,9.020562075079397e-17,2.7755575615628914e-17,0.0,0.0,0.0
DiagonalScanPath_1,posterior physics mean + RBF,Q1,0.2126231359429639,0.1456673731146313,0.07497116905046868,0.7218860174154292,1.0,11.66487105285563,3.049098062797894,0.2126231359429639,0.1456673731146313,0.0749711690504686,0.7218860174154292,1.0,11.66487105285563,3.049098062797894,0.0,0.0,6.938893903907228e-17,0.0,0.0,0.0,0.0
DiagonalScanPath_1,posterior physics mean + RBF,Q2,0.1763346181425503,0.12103215154464705,0.044834652966016075,0.6935430183729153,1.0,11.2305281993804,2.9402641998806516,0.1763346181425503,0.121032151544647,0.044834652966016,0.6935430183729153,1.0,11.2305281993804,2.9402641998806516,0.0,5.551115123125783e-17,7.632783294297951e-17,0.0,0.0,0.0,0.0
DiagonalScanPath_1,posterior physics mean + RBF,Q3,0.20859430465850953,0.1497743208378949,0.0519349201748174,0.6997852717637411,1.0,11.320028355926418,2.96229655383479,0.2085943046585095,0.1497743208378949,0.0519349201748174,0.6997852717637411,1.0,11.320028355926418,2.96229655383479,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0
