trajectory,role,method,region,n_pixels,true_temperature_min_K,true_temperature_max_K,true_temperature_mean_K,rmse_K,mae_K,signed_error_K,crps_K,coverage_95,interval_width_95_K,posterior_sd_K
DiagonalScanPath_1,evaluation,full-posterior mixture sequential advective stochastic ST,Q1,626,293.13047954512126,293.1499999951061,293.1494884029443,0.19582895217452237,0.13036687218273935,0.08229821480569925,0.17818942994831938,1.0,2.5396303253939645,0.6643748452933744
DiagonalScanPath_1,evaluation,full-posterior mixture sequential advective stochastic ST,Q2,625,293.14999999525764,293.1500000140052,293.15000000078516,0.16250527257350197,0.1072231878905679,0.05765814808603936,0.16764928153000488,1.0,2.4996528968504026,0.6513405468198284
DiagonalScanPath_1,evaluation,full-posterior mixture sequential advective stochastic ST,Q3,625,293.1500000142411,293.1523234907281,293.15020495890025,0.18713472861707162,0.12893286996538755,0.0652234697650656,0.1749266544729479,1.0,2.499528949578044,0.654364021381611
DiagonalScanPath_1,evaluation,full-posterior mixture sequential advective stochastic ST,Q4,625,293.152331607467,334.19579037327884,293.9671597773808,0.9354312260697886,0.3523328841848454,-0.02148464485421864,0.3198692221532488,0.9648,2.6187060776857134,0.6842032057990426
DiagonalScanPath_1,evaluation,full-posterior mixture sequential advective stochastic ST,top_1pct,26,296.69768818012363,334.19579037327884,300.6841643435643,4.222182106606016,2.9487980379806973,-2.1614978005772865,2.58854321585036,0.38461538461538464,3.1493192551046456,0.8330912437413011
DiagonalScanPath_1,evaluation,full-posterior mixture sequential advective stochastic ST,above_camera_ceiling,76,294.6560504149699,334.19579037327884,297.26441333289756,2.5604043163505406,1.4561256936178735,-0.5061212246735307,1.1952033950774994,0.7236842105263158,3.1436843329164144,0.8341413266514079
DiagonalScanPath_1,evaluation,full-posterior mixture sequential advective stochastic ST,overall,2501,293.13047954512126,334.19579037327884,293.3541314277927,0.49357863964442555,0.17969422261571186,0.04593834090020859,0.21014586445232863,0.991203518592563,2.539379662642132,0.663570976371033
DiagonalScanPath_1,evaluation,posterior physics mean + RBF,Q1,626,293.13047954512126,293.1499999951061,293.1494884029443,0.2126231359429639,0.1456673731146313,0.07497116905046868,0.7218860174154292,1.0,11.66487105285563,3.049098062797894
DiagonalScanPath_1,evaluation,posterior physics mean + RBF,Q2,625,293.14999999525764,293.1500000140052,293.15000000078516,0.1763346181425503,0.12103215154464705,0.044834652966016075,0.6935430183729153,1.0,11.2305281993804,2.9402641998806516
DiagonalScanPath_1,evaluation,posterior physics mean + RBF,Q3,625,293.1500000142411,293.1523234907281,293.15020495890025,0.20859430465850953,0.1497743208378949,0.0519349201748174,0.6997852717637411,1.0,11.320028355926418,2.96229655383479
DiagonalScanPath_1,evaluation,posterior physics mean + RBF,Q4,625,293.152331607467,334.19579037327884,293.9671597773808,0.9988212065110349,0.4090524436269247,0.030691908593638163,0.8046719301813672,0.9952,11.59754390685106,3.031944078465752
DiagonalScanPath_1,evaluation,posterior physics mean + RBF,top_1pct,26,296.69768818012363,334.19579037327884,300.6841643435643,4.225606089674847,2.953976025595654,-2.1450250588065214,2.3011106844812397,0.8846153846153846,12.777439276290464,3.300578673697914
DiagonalScanPath_1,evaluation,posterior physics mean + RBF,above_camera_ceiling,76,294.6560504149699,334.19579037327884,297.26441333289756,2.659053736309719,1.6249916330145744,-0.3236636704180973,1.3916884388202955,0.9605263157894737,12.319257041988285,3.200272404519634
DiagonalScanPath_1,evaluation,posterior physics mean + RBF,overall,2501,293.13047954512126,334.19579037327884,293.3541314277927,0.5284608269326978,0.20635729631174565,0.05061790400225436,0.7299683265097255,0.9988004798080767,11.45332749617605,2.995921994172222
DiagonalScanPath_1,evaluation,posterior physics mean + variance-matched RBF (diagnostic),Q1,626,293.13047954512126,293.1499999951061,293.1494884029443,0.1950807304399472,0.1292545274185574,0.08326786198105252,0.1774485325200595,1.0,2.5474682473431174,0.66696061492285
DiagonalScanPath_1,evaluation,posterior physics mean + variance-matched RBF (diagnostic),Q2,625,293.14999999525764,293.1500000140052,293.15000000078516,0.16200990274121221,0.10624326794464814,0.05885207875900905,0.16864061168563763,1.0,2.507268856341381,0.6541734612108238
DiagonalScanPath_1,evaluation,posterior physics mean + variance-matched RBF (diagnostic),Q3,625,293.1500000142411,293.1523234907281,293.15020495890025,0.18637402690135146,0.12761538487760318,0.06638174210693232,0.17430396613278415,1.0,2.5035088442180213,0.6571128607457607
DiagonalScanPath_1,evaluation,posterior physics mean + variance-matched RBF (diagnostic),Q4,625,293.152331607467,334.19579037327884,293.9671597773808,0.9344692393285604,0.3503720431403964,-0.024193587893024688,0.32405838645889107,0.9584,2.553298111620574,0.666035404241388
DiagonalScanPath_1,evaluation,posterior physics mean + variance-matched RBF (diagnostic),top_1pct,26,296.69768818012363,334.19579037327884,300.6841643435643,4.2289599554343535,2.956536958253795,-2.174229584218127,2.6254322389969045,0.38461538461538464,2.6556577166229,0.6979408740503369
DiagonalScanPath_1,evaluation,posterior physics mean + variance-matched RBF (diagnostic),above_camera_ceiling,76,294.6560504149699,334.19579037327884,297.26441333289756,2.55949045809456,1.4481974501199744,-0.5249696976647577,1.2101875974345777,0.7105263157894737,2.6346180987830334,0.6891090357739661
DiagonalScanPath_1,evaluation,posterior physics mean + variance-matched RBF (diagnostic),overall,2501,293.13047954512126,334.19579037327884,293.3541314277927,0.4929360632922278,0.1783516669894729,0.04609189412563447,0.21109941384681238,0.9896041583366654,2.527893844641854,0.6610729403500347
