trajectory,method,n_observations,n_saturated,threshold_K,excess_field_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,hot_region_95_interval_width_K,mean_95_interval_width_K,mean_crps_K,hot_region_crps_K,fixed_top_01_crps_K,family,run_index,role,rmse_K,signed_error_K,fraction_saturated,previous_frame_offset,time_lag_s,diffusivity_m2_s,cooling_rate_1_s,source_coupling,signal_sd_K,lengthscale_m,forcing_lengthscale_m,previous_observations_reused_in_current_update,same_previous_posterior_for_all_models,same_current_observations_for_all_models,same_sampler_seed_for_all_models,crps_estimator,uncertainty_propagation,mixture_component_count,mixture_component_weight_ess,mixture_max_component_weight,mixture_normalized_weight_entropy,mixture_resampled_unique_components,mixture_log_weight_range,mixture_mvn_integration_failures
DiagonalScanPath_1,mean-only sequential advective stochastic ST,117,2,294.6560504149699,0.40074009704771135,334.19579037327884,341.374771341934,7.178980968655139,0.7140626955142723,False,0.9896041583366654,0.7105263157894737,2.6281475712538143,2.5176864895930122,0.21075509769012687,1.2101746045731967,2.625478862087598,Diagonal,1,evaluation,0.4931857567205522,0.04515747356466033,0.03,1,0.0004999999999999935,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,previous posterior collapsed to mean; innovation C only,,,,,,,
DiagonalScanPath_1,moment-matched sequential advective stochastic ST,117,2,294.6560504149699,0.4004184126327444,334.19579037327884,341.40031906300794,7.204528689729102,0.8265421077118603,False,0.989204318272691,0.6973684210526315,3.1040594977257987,2.5337929854912145,0.21067175063430674,1.1988136579130089,2.573050503951288,Diagonal,1,evaluation,0.4927898637894743,0.04618296196449793,0.03,1,0.0004999999999999935,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,Gaussian C + B Sigma B^T from propagated draws,,,,,,,
DiagonalScanPath_1,full-posterior mixture sequential advective stochastic ST,117,2,294.6560504149699,0.40105933566905416,334.19579037327884,341.378190114671,7.182399741392146,0.8419638846722902,False,0.991203518592563,0.7236842105263158,3.1436843329164144,2.539379662642132,0.21014586445232863,1.1952033950774994,2.58854321585036,Diagonal,1,evaluation,0.49357863964442555,0.04593834090020859,0.03,1,0.0004999999999999935,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,likelihood-reweighted propagated-draw mixture with shared C,180.0,174.9424263834588,0.007800379950067429,0.9971477091070554,169.0,1.0483432870337595,0.0
DiagonalScanPath_1,posterior physics mean + RBF,117,2,294.6560504149699,0.4294029991440301,334.19579037327884,341.3672500501756,7.171459676896745,3.4196267389534687,True,0.9988004798080767,0.9605263157894737,12.319257041988285,11.45332749617605,0.7299683265097255,1.3916884388202955,2.3011106844812397,Diagonal,1,evaluation,0.5284608269326978,0.05061790400225436,0.03,1,0.0004999999999999935,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,current spatial RBF residual,,,,,,,
DiagonalScanPath_2,mean-only sequential advective stochastic ST,117,1,294.7833581687172,0.43515150874576813,330.73381085494185,327.40740754342363,3.32640331151822,0.7140626955142672,False,0.9908036785285885,0.6973684210526315,2.6090934548824207,2.519637276919928,0.2127820150350421,1.3074018304689503,3.2436849646918207,Diagonal,2,evaluation,0.5219822476763841,0.04383276035427724,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,previous posterior collapsed to mean; innovation C only,,,,,,,
DiagonalScanPath_2,moment-matched sequential advective stochastic ST,117,1,294.7833581687172,0.43516959740266803,330.73381085494185,327.4121539376227,3.32165691731916,0.7646581998969466,False,0.9920031987205118,0.7368421052631579,2.8621541110060096,2.52882527612103,0.2125763998862669,1.2988519815352686,3.2120329646173924,Diagonal,2,evaluation,0.5220039457691088,0.043674896053376905,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,Gaussian C + B Sigma B^T from propagated draws,,,,,,,
DiagonalScanPath_2,full-posterior mixture sequential advective stochastic ST,117,1,294.7833581687172,0.43519044702974546,330.73381085494185,327.41700702882355,3.316803826118303,0.7662685674412814,False,0.9916033586565374,0.7236842105263158,2.856542331593482,2.5321615206826196,0.21215732428285944,1.2967210386763106,3.204804754253714,Diagonal,2,evaluation,0.5220289557598506,0.04400977181917255,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,likelihood-reweighted propagated-draw mixture with shared C,180.0,177.6372165206295,0.006903647548729603,0.9987027021594226,173.0,0.5771504828561405,0.0
DiagonalScanPath_2,posterior physics mean + RBF,117,1,294.7833581687172,0.4500120400775851,330.73381085494185,327.41425624182443,3.3195546131174183,3.4196267389534687,True,0.9984006397441023,0.9473684210526315,12.09488155190808,11.467866173339916,0.7289479423981295,1.4124691677417236,2.5546812764859603,Diagonal,2,evaluation,0.5398080701550992,0.047783501991700096,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,current spatial RBF residual,,,,,,,
DiagonalScanPath_3,mean-only sequential advective stochastic ST,117,2,294.9015209525281,0.42244547889147405,326.4740358780628,333.4235598932233,6.949524015160478,0.7140989790120875,False,0.9916033586565374,0.7763157894736842,2.6322118090770563,2.517466804212994,0.21296746580776904,1.226560469076035,2.994648680934132,Diagonal,3,evaluation,0.5317022646414167,0.03255495928023672,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,previous posterior collapsed to mean; innovation C only,,,,,,,
DiagonalScanPath_3,moment-matched sequential advective stochastic ST,117,2,294.9015209525281,0.4305276571609481,326.4740358780628,332.76689918895767,6.292863310894859,1.0255085472486591,False,0.9924030387844862,0.8157894736842105,3.1491900688528602,2.537007334882019,0.21273780380177687,1.2420375592994402,3.044667295770779,Diagonal,3,evaluation,0.5418747311580223,0.027298188646991038,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,False,True,True,True,unbiased_M_times_M_minus_1,Gaussian C + B Sigma B^T from propagated draws,,,,,,,
