method,excess_field_rel_l2_mean,excess_field_rel_l2_std,excess_field_rel_l2_count,rmse_K_mean,rmse_K_std,rmse_K_count,mean_crps_K_mean,mean_crps_K_std,mean_crps_K_count,fixed_top_01_crps_K_mean,fixed_top_01_crps_K_std,fixed_top_01_crps_K_count,peak_absolute_error_K_mean,peak_absolute_error_K_std,peak_absolute_error_K_count,signed_error_K_mean,signed_error_K_std,signed_error_K_count,pointwise_95_coverage_mean,pointwise_95_coverage_std,pointwise_95_coverage_count,hot_region_95_coverage_mean,hot_region_95_coverage_std,hot_region_95_coverage_count,hot_region_95_interval_width_K_mean,hot_region_95_interval_width_K_std,hot_region_95_interval_width_K_count
mean-only sequential advective stochastic ST,0.40723775720255595,0.07455527685677106,30,0.4950901375344149,0.030786699348591184,30,0.21058002406939197,0.0037951291580838207,30,2.8080419939737875,0.3824687757011382,30,7.620219455551298,3.8881286924521836,30,0.03628716720227895,0.011069730908693372,30,0.9905104624816741,0.0015677969383560374,30,0.7166666666666667,0.040257394539845136,30,2.630714386841282,0.028443531277871432,30
moment-matched sequential advective stochastic ST,0.407393048136946,0.07565462147240298,30,0.49510663548743883,0.03192092013151151,30,0.20988940356442073,0.004038182117939868,30,2.749229122294025,0.3888076916392065,30,7.639359342017392,3.9269688867840675,30,0.03661687326378848,0.01170204807275108,30,0.9924696787951486,0.001831043305535401,30,0.7706140350877193,0.05663993814485064,30,3.1736401340535725,0.297286453046628,30
full-posterior mixture sequential advective stochastic ST,0.407157475717369,0.07500351486878169,30,0.49497483577808216,0.03213936780754919,30,0.20994095736346083,0.0039991588191609214,30,2.7447599451586484,0.40019957228477543,30,7.635436638109591,3.919904544057974,30,0.03690925360564507,0.011941385267612192,30,0.992589630814341,0.0016460171015353106,30,0.7728070175438596,0.05462789893737656,30,3.1907120051978586,0.3136382555297682,30
posterior physics mean + RBF,0.42423768726890726,0.07913271932593066,30,0.5153057736977394,0.03195583660151306,30,0.7279926525921767,0.0031439709721820057,30,2.242930908631004,0.20749908747342885,30,7.618286281606195,3.8876302571831345,30,0.04472593823362891,0.015172223672353888,30,0.9984006397441024,0.0003320490997750192,30,0.9495614035087719,0.009824210303984806,30,12.230718158001961,0.1299487137840881,30
