trajectory,role,method,region,n_pixels,true_temperature_min_K,true_temperature_max_K,true_temperature_mean_K,rmse_K,mae_K,signed_error_K,crps_K,coverage_95,interval_width_95_K,posterior_sd_K
DiagonalScanPath_1,evaluation,mean-only sequential advective stochastic ST,Q1,626,293.13047954512126,293.1499999951061,293.1494884029443,0.1958290444763054,0.13036694535039292,0.08229836488263041,0.17712016700144528,1.0,2.537597530216399,0.6643748450872339
DiagonalScanPath_1,evaluation,mean-only sequential advective stochastic ST,Q2,625,293.14999999525764,293.1500000140052,293.15000000078516,0.16250527255517336,0.10722318786633186,0.05765814809487365,0.1681573060747452,1.0,2.496428139560535,0.6513405468198284
DiagonalScanPath_1,evaluation,mean-only sequential advective stochastic ST,Q3,625,293.1500000142411,293.1523234907281,293.15020495890025,0.18713480034787947,0.12893291282813507,0.06522356400254457,0.17393564902484987,1.0,2.4930409815613603,0.6543640210163809
DiagonalScanPath_1,evaluation,mean-only sequential advective stochastic ST,Q4,625,293.152331607467,334.19579037327884,293.9671597773808,0.93460160701749,0.3510007415344685,-0.024609608147516063,0.32386108454856904,0.9584,2.543647449368758,0.663492528433368
DiagonalScanPath_1,evaluation,mean-only sequential advective stochastic ST,top_1pct,26,296.69768818012363,334.19579037327884,300.6841643435643,4.228619790980211,2.9557359825917198,-2.173661897843407,2.625478862087598,0.38461538461538464,2.649461304270867,0.696290274310901
DiagonalScanPath_1,evaluation,mean-only sequential advective stochastic ST,above_camera_ceiling,76,294.6560504149699,334.19579037327884,297.26441333289756,2.5593038088767845,1.447888813105101,-0.5243112372243462,1.2101746045731967,0.7105263157894737,2.6281475712538143,0.6874218052197512
DiagonalScanPath_1,evaluation,mean-only sequential advective stochastic ST,overall,2501,293.13047954512126,334.19579037327884,293.3541314277927,0.4931857567205522,0.17936134913331891,0.04515747356466033,0.21075509769012687,0.9896041583366654,2.5176864895930122,0.6583953771263871
DiagonalScanPath_1,evaluation,moment-matched sequential advective stochastic ST,Q1,626,293.13047954512126,293.1499999951061,293.1494884029443,0.19582887917494385,0.1303667275985043,0.08229812156080656,0.17766105981594818,1.0,2.5308466786529387,0.664374855252373
DiagonalScanPath_1,evaluation,moment-matched sequential advective stochastic ST,Q2,625,293.14999999525764,293.1500000140052,293.15000000078516,0.1625052685600365,0.1072231827980786,0.05765815347141761,0.16866991587022817,1.0,2.481052581171004,0.6513405595536114
DiagonalScanPath_1,evaluation,moment-matched sequential advective stochastic ST,Q3,625,293.1500000142411,293.1523234907281,293.15020495890025,0.18713475060880852,0.12893280272803095,0.06522344676716985,0.17414398654071342,1.0,2.515314170013795,0.6543640334794117
DiagonalScanPath_1,evaluation,moment-matched sequential advective stochastic ST,Q4,625,293.152331607467,334.19579037327884,293.9671597773808,0.9337656349108083,0.3524164131304516,-0.020505658196756395,0.3222648574156465,0.9568,2.6079632262180628,0.6815315356318623
DiagonalScanPath_1,evaluation,moment-matched sequential advective stochastic ST,top_1pct,26,296.69768818012363,334.19579037327884,300.6841643435643,4.212227552233456,2.93836909283615,-2.142042254361826,2.573050503951288,0.34615384615384615,3.0693884941367875,0.8181486754000471
DiagonalScanPath_1,evaluation,moment-matched sequential advective stochastic ST,above_camera_ceiling,76,294.6560504149699,334.19579037327884,297.26441333289756,2.5552963758274725,1.4546069631998535,-0.4926563904242009,1.1988136579130089,0.6973684210526315,3.1040594977257987,0.8134804704584999
DiagonalScanPath_1,evaluation,moment-matched sequential advective stochastic ST,overall,2501,293.13047954512126,334.19579037327884,293.3541314277927,0.4927898637894743,0.1797150422379106,0.04618296196449793,0.21067175063430674,0.989204318272691,2.5337929854912145,0.6629033345875804
DiagonalScanPath_1,evaluation,full-posterior mixture sequential advective stochastic ST,Q1,626,293.13047954512126,293.1499999951061,293.1494884029443,0.19582895217452237,0.13036687218273935,0.08229821480569925,0.17818942994831938,1.0,2.5396303253939645,0.6643748452933744
DiagonalScanPath_1,evaluation,full-posterior mixture sequential advective stochastic ST,Q2,625,293.14999999525764,293.1500000140052,293.15000000078516,0.16250527257350197,0.1072231878905679,0.05765814808603936,0.16764928153000488,1.0,2.4996528968504026,0.6513405468198284
DiagonalScanPath_1,evaluation,full-posterior mixture sequential advective stochastic ST,Q3,625,293.1500000142411,293.1523234907281,293.15020495890025,0.18713472861707162,0.12893286996538755,0.0652234697650656,0.1749266544729479,1.0,2.499528949578044,0.654364021381611
DiagonalScanPath_1,evaluation,full-posterior mixture sequential advective stochastic ST,Q4,625,293.152331607467,334.19579037327884,293.9671597773808,0.9354312260697886,0.3523328841848454,-0.02148464485421864,0.3198692221532488,0.9648,2.6187060776857134,0.6842032057990426
DiagonalScanPath_1,evaluation,full-posterior mixture sequential advective stochastic ST,top_1pct,26,296.69768818012363,334.19579037327884,300.6841643435643,4.222182106606016,2.9487980379806973,-2.1614978005772865,2.58854321585036,0.38461538461538464,3.1493192551046456,0.8330912437413011
DiagonalScanPath_1,evaluation,full-posterior mixture sequential advective stochastic ST,above_camera_ceiling,76,294.6560504149699,334.19579037327884,297.26441333289756,2.5604043163505406,1.4561256936178735,-0.5061212246735307,1.1952033950774994,0.7236842105263158,3.1436843329164144,0.8341413266514079
DiagonalScanPath_1,evaluation,full-posterior mixture sequential advective stochastic ST,overall,2501,293.13047954512126,334.19579037327884,293.3541314277927,0.49357863964442555,0.17969422261571186,0.04593834090020859,0.21014586445232863,0.991203518592563,2.539379662642132,0.663570976371033
DiagonalScanPath_1,evaluation,posterior physics mean + RBF,Q1,626,293.13047954512126,293.1499999951061,293.1494884029443,0.2126231359429639,0.1456673731146313,0.07497116905046868,0.7218860174154292,1.0,11.66487105285563,3.049098062797894
DiagonalScanPath_1,evaluation,posterior physics mean + RBF,Q2,625,293.14999999525764,293.1500000140052,293.15000000078516,0.1763346181425503,0.12103215154464705,0.044834652966016075,0.6935430183729153,1.0,11.2305281993804,2.9402641998806516
DiagonalScanPath_1,evaluation,posterior physics mean + RBF,Q3,625,293.1500000142411,293.1523234907281,293.15020495890025,0.20859430465850953,0.1497743208378949,0.0519349201748174,0.6997852717637411,1.0,11.320028355926418,2.96229655383479
