method,baseline,n_trajectories,excess_field_rel_l2_mean_change,excess_field_rel_l2_median_change,excess_field_rel_l2_win_count,rmse_K_mean_change,rmse_K_median_change,rmse_K_win_count,mean_crps_K_mean_change,mean_crps_K_median_change,mean_crps_K_win_count,fixed_top_01_crps_K_mean_change,fixed_top_01_crps_K_median_change,fixed_top_01_crps_K_win_count,peak_absolute_error_K_mean_change,peak_absolute_error_K_median_change,peak_absolute_error_K_win_count,signed_error_K_mean_change,signed_error_K_median_change,signed_error_K_win_count,pointwise_95_coverage_mean_change,pointwise_95_coverage_median_change,pointwise_95_coverage_closer_to_095_count,hot_region_95_coverage_mean_change,hot_region_95_coverage_median_change,hot_region_95_coverage_closer_to_095_count,hot_region_95_interval_width_K_mean_change,hot_region_95_interval_width_K_median_change,hot_region_95_interval_width_K_win_count
full-posterior mixture sequential advective stochastic ST,mean-only sequential advective stochastic ST,30,-8.02814851869856e-05,4.716020634873419e-05,13,-0.00011530175633271597,4.8383565243059756e-05,13,-0.000639066705931161,-0.0005546199851852729,25,-0.06328204881513906,-0.062385371550674584,26,0.015217182558293038,-0.003699779633734579,16,0.0006220864033661194,0.0006372142466933052,9,0.002079168332666933,0.0019992003198719965,0,0.056140350877193,0.05263157894736836,28,0.559997618356577,0.5047770995252214,0
full-posterior mixture sequential advective stochastic ST,moment-matched sequential advective stochastic ST,30,-0.0002355724195770644,0.00019087683288032675,12,-0.0001317997093566873,0.00023686326402996838,12,5.155379904007532e-05,-1.9703131399442797e-05,15,-0.004469177135376512,0.0037778209098071613,15,-0.003922703907801406,0.0006370941467821467,14,0.0002923803418565911,1.0335301516952236e-05,15,0.00011995201919232276,0.0,11,0.0021929824561403577,0.0,12,0.017071871144286335,0.018139370718686765,8
moment-matched sequential advective stochastic ST,mean-only sequential advective stochastic ST,30,0.0001552909343900788,-0.0005781875442734674,19,1.6497953023971353e-05,-0.0007179395611468797,19,-0.0006906205049712362,-0.0005208927676290942,28,-0.05881287167976255,-0.06921762457852632,27,0.019139886466094443,-8.90459460265447e-05,15,0.00032970606150952824,0.0010612117344011712,10,0.0019592163134746097,0.001599360255897575,2,0.053947368421052626,0.05263157894736836,26,0.5429257472122906,0.5222762707385011,0
full-posterior mixture sequential advective stochastic ST,posterior physics mean + RBF,30,-0.017080211551538316,-0.015397580221451268,28,-0.0203309379196573,-0.019660660304310268,28,-0.518051695228716,-0.5177864389307394,30,0.5018290365276445,0.5356612925563256,0,0.01715035650339587,-0.0019915109233465955,16,-0.007816684627983838,-0.007733583383838425,26,-0.005811008929761408,-0.005997600959616101,30,-0.17675438596491222,-0.18421052631578938,0,-9.040006152804102,-9.074153011296486,30
