trajectory,method,n_observations,n_saturated,threshold_K,excess_field_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,hot_region_95_interval_width_K,mean_95_interval_width_K,mean_crps_K,hot_region_crps_K,fixed_top_01_crps_K,family,run_index,role,fraction_saturated,previous_frame_offset,time_lag_s,diffusivity_m2_s,cooling_rate_1_s,source_coupling,signal_sd_K,lengthscale_m,forcing_lengthscale_m,previous_posterior_prior,mean_construction,residual_covariance,update_structure,previous_observations_reused_in_current_update,same_previous_posterior_for_all_models,same_current_observations_for_all_models,same_sampler_seed_for_all_models,displacement_x_m,displacement_y_m,crps_estimator,predictive_variance_mean_K2,predictive_variance_max_K2,covariance_symmetry_error,innovation_variance_mean_K2,propagated_variance_mean_K2
DiagonalScanPath_1,posterior physics mean + RBF,117,2,294.6560504149699,0.4294029991440301,334.19579037327884,341.3672500501756,7.171459676896745,3.4196267389534687,True,0.9988004798080767,0.9605263157894737,12.319257041988285,11.45332749617605,0.7299683265097255,1.3916884388202955,2.3011106844812397,Diagonal,1,evaluation,0.03,1,0.0004999999999999935,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,ambient-mean spatial RBF; saturated-pixel correction,posterior physics mean,current spatial RBF,one-step sequential; current likelihood uses Y_n only,False,True,True,True,0.0001437519580240426,5.365480641931868e-07,unbiased_M_times_M_minus_1,11.768422115619032,11.76842211561903,0.0,,
DiagonalScanPath_1,advective posterior physics mean + RBF,117,2,294.6560504149699,0.4135647442463844,334.19579037327884,341.2595438213388,7.06375344805997,3.4196267389534687,False,0.9976009596161536,0.9342105263157895,12.207162694157484,11.457425795427342,0.7266754234767067,1.3510566981633052,2.2501549950958197,Diagonal,1,evaluation,0.03,1,0.0004999999999999935,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,ambient-mean spatial RBF; saturated-pixel correction,advective posterior physics mean,current spatial RBF,one-step sequential; current likelihood uses Y_n only,False,True,True,True,0.0001437519580240426,5.365480641931868e-07,unbiased_M_times_M_minus_1,11.768422115619032,11.76842211561903,0.0,,
DiagonalScanPath_1,posterior physics mean + sequential stochastic ST,117,2,294.6560504149699,0.40085660354447605,334.19579037327884,341.4100847013294,7.214294328050585,0.9697773720738175,False,0.9928028788484606,0.7894736842105263,3.2395793347399584,2.539618801915614,0.20985341458439838,1.1872667229641158,2.5709881419941216,Diagonal,1,evaluation,0.03,1,0.0004999999999999935,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,ambient-mean spatial RBF; saturated-pixel correction,posterior physics mean,moment-matched sequential stochastic ST,one-step sequential; current likelihood uses Y_n only,False,True,True,True,0.0001437519580240426,5.365480641931868e-07,unbiased_M_times_M_minus_1,0.5242932122741829,2.423299043792637,0.0,0.5125584483307293,0.011734763943453557
DiagonalScanPath_1,posterior physics mean + sequential advective stochastic ST,117,2,294.6560504149699,0.4004184126327444,334.19579037327884,341.40031906300794,7.204528689729102,0.8265421077118603,False,0.989204318272691,0.6973684210526315,3.1040594977257987,2.5337929854912145,0.21067175063430674,1.1988136579130089,2.573050503951288,Diagonal,1,evaluation,0.03,1,0.0004999999999999935,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,ambient-mean spatial RBF; saturated-pixel correction,posterior physics mean,moment-matched sequential advective stochastic ST,one-step sequential; current likelihood uses Y_n only,False,True,True,True,0.0001437519580240426,5.365480641931868e-07,unbiased_M_times_M_minus_1,0.5215116884314688,2.2875091518906014,0.0,0.5125584483307293,0.008953240100739487
DiagonalScanPath_1,advective posterior physics mean + sequential advective stochastic ST,117,2,294.6560504149699,0.38867327294593706,334.19579037327884,341.27780858077665,7.082018207497811,0.8290475318105929,False,0.9924030387844862,0.7763157894736842,3.1174121902033938,2.5335266498121194,0.20266426691471728,1.1620152093172835,2.5722946648329312,Diagonal,1,evaluation,0.03,1,0.0004999999999999935,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,ambient-mean spatial RBF; saturated-pixel correction,advective posterior physics mean,moment-matched sequential advective stochastic ST,one-step sequential; current likelihood uses Y_n only,False,True,True,True,0.0001437519580240426,5.365480641931868e-07,unbiased_M_times_M_minus_1,0.5215116884314688,2.2875091518906014,0.0,0.5125584483307293,0.008953240100739487
DiagonalScanPath_2,posterior physics mean + RBF,117,1,294.7833581687172,0.4500120400775851,330.73381085494185,327.41425624182443,3.3195546131174183,3.4196267389534687,True,0.9984006397441023,0.9473684210526315,12.09488155190808,11.467866173339916,0.7289479423981295,1.4124691677417236,2.5546812764859603,Diagonal,2,evaluation,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,ambient-mean spatial RBF; saturated-pixel correction,posterior physics mean,current spatial RBF,one-step sequential; current likelihood uses Y_n only,False,True,True,True,0.00015351337759761927,-7.092565887148981e-07,unbiased_M_times_M_minus_1,11.768422115619032,11.76842211561903,0.0,,
DiagonalScanPath_2,advective posterior physics mean + RBF,117,1,294.7833581687172,0.4428990943532299,330.73381085494185,327.1549058475625,3.578905007379376,3.4196267389534687,True,0.998000799680128,0.9342105263157895,12.230374872002418,11.467442168856664,0.7286741397047252,1.439490790578408,2.644315732088766,Diagonal,2,evaluation,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,ambient-mean spatial RBF; saturated-pixel correction,advective posterior physics mean,current spatial RBF,one-step sequential; current likelihood uses Y_n only,False,True,True,True,0.00015351337759761927,-7.092565887148981e-07,unbiased_M_times_M_minus_1,11.768422115619032,11.76842211561903,0.0,,
DiagonalScanPath_2,posterior physics mean + sequential stochastic ST,117,1,294.7833581687172,0.43515148531610814,330.73381085494185,327.4074102378975,3.326400617044328,0.8034341806423312,False,0.9920031987205118,0.7368421052631579,3.0232904999738306,2.533362239454678,0.212458272656299,1.2967729892334907,3.195499646046318,Diagonal,2,evaluation,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,ambient-mean spatial RBF; saturated-pixel correction,posterior physics mean,moment-matched sequential stochastic ST,one-step sequential; current likelihood uses Y_n only,False,True,True,True,0.00015351337759761927,-7.092565887148981e-07,unbiased_M_times_M_minus_1,0.5179613218562684,1.1595945013057185,0.0,0.5125584483307346,0.005402873525533845
DiagonalScanPath_2,posterior physics mean + sequential advective stochastic ST,117,1,294.7833581687172,0.43516959740266803,330.73381085494185,327.4121539376227,3.32165691731916,0.7646581998969466,False,0.9920031987205118,0.7368421052631579,2.8621541110060096,2.52882527612103,0.2125763998862669,1.2988519815352686,3.2120329646173924,Diagonal,2,evaluation,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,ambient-mean spatial RBF; saturated-pixel correction,posterior physics mean,moment-matched sequential advective stochastic ST,one-step sequential; current likelihood uses Y_n only,False,True,True,True,0.00015351337759761927,-7.092565887148981e-07,unbiased_M_times_M_minus_1,0.5164439096876116,1.1153667494685746,0.0,0.5125584483307346,0.0038854613568770607
DiagonalScanPath_2,advective posterior physics mean + sequential advective stochastic ST,117,1,294.7833581687172,0.4298811017389075,330.73381085494185,327.17354880842936,3.5602620465124915,0.764658199860668,False,0.991203518592563,0.7236842105263158,2.8221279337199032,2.528319286810673,0.2068964055361528,1.3173137966896362,3.247565625398224,Diagonal,2,evaluation,0.03,1,0.0005000000000000004,3.6109129986233175e-06,12.422901570529978,0.1702227206133784,3.4305133895116966,0.0003125,0.0003125,ambient-mean spatial RBF; saturated-pixel correction,advective posterior physics mean,moment-matched sequential advective stochastic ST,one-step sequential; current likelihood uses Y_n only,False,True,True,True,0.00015351337759761927,-7.092565887148981e-07,unbiased_M_times_M_minus_1,0.5164439096876116,1.1153667494685746,0.0,0.5125584483307346,0.0038854613568770607
