method,excess_field_rel_l2_mean,excess_field_rel_l2_std,excess_field_rel_l2_count,mean_crps_K_mean,mean_crps_K_std,mean_crps_K_count,fixed_top_01_crps_K_mean,fixed_top_01_crps_K_std,fixed_top_01_crps_K_count,peak_absolute_error_K_mean,peak_absolute_error_K_std,peak_absolute_error_K_count,hot_region_95_coverage_mean,hot_region_95_coverage_std,hot_region_95_coverage_count,hot_region_95_interval_width_K_mean,hot_region_95_interval_width_K_std,hot_region_95_interval_width_K_count
posterior physics mean + RBF,0.42423768726890726,0.07913271932593066,30,0.7279926525921767,0.0031439709721820057,30,2.242930908631004,0.20749908747342885,30,7.618286281606195,3.8876302571831345,30,0.9495614035087719,0.009824210303984806,30,12.230718158001961,0.1299487137840881,30
advective posterior physics mean + RBF,0.41873044268136456,0.07655895875343184,30,0.7270440494186835,0.0032263422640151722,30,2.2808002735498945,0.2157842784082785,30,7.677939005301728,3.9126947005438475,30,0.9460526315789474,0.009367982615813814,30,12.230817048892495,0.1486170011058692,30
posterior physics mean + sequential stochastic ST,0.4073717316308778,0.07547866425667553,30,0.20960159934777917,0.0038896667650844185,30,2.737547605339473,0.4008547447980927,30,7.59820398638671,3.925819300426945,30,0.7903508771929825,0.05251044741981105,30,3.354406695569123,0.37218613307395276,30
posterior physics mean + sequential advective stochastic ST,0.407393048136946,0.07565462147240298,30,0.20988940356442073,0.004038182117939868,30,2.749229122294025,0.3888076916392065,30,7.639359342017392,3.9269688867840675,30,0.7706140350877193,0.05663993814485064,30,3.1736401340535725,0.297286453046628,30
advective posterior physics mean + sequential advective stochastic ST,0.4044589184225702,0.07182935242160135,30,0.20569330363751312,0.003934135911234377,30,2.8430061174009116,0.4293405346183613,30,7.662601921562859,3.9295414461223324,30,0.7539473684210526,0.06963789508140526,30,3.1775035256989113,0.2994643409076348,30
