method,baseline,n_trajectories,excess_field_rel_l2_mean_change,excess_field_rel_l2_median_change,excess_field_rel_l2_win_count,mean_crps_K_mean_change,mean_crps_K_median_change,mean_crps_K_win_count,fixed_top_01_crps_K_mean_change,fixed_top_01_crps_K_median_change,fixed_top_01_crps_K_win_count,peak_absolute_error_K_mean_change,peak_absolute_error_K_median_change,peak_absolute_error_K_win_count,hot_region_95_coverage_mean_change,hot_region_95_coverage_median_change,hot_region_95_coverage_win_count,hot_region_95_interval_width_K_mean_change,hot_region_95_interval_width_K_median_change,hot_region_95_interval_width_K_win_count
advective posterior physics mean + RBF,posterior physics mean + RBF,30,-0.005507244587542731,-0.006421835433217227,24,-0.0009486031734932713,-0.0009418678658673629,25,0.03786936491889046,0.028095081745756367,6,0.05965272369553342,0.019167456078804435,12,-0.0035087719298245576,0.0,3,9.889089053410534e-05,-0.004290701020489784,15
posterior physics mean + sequential stochastic ST,posterior physics mean + RBF,30,-0.016865955638029492,-0.015223085402916475,28,-0.5183910532443975,-0.5185967946431133,30,0.4946166967084692,0.5259619287236247,0,-0.020082295219485027,-0.002478571239436178,15,-0.1592105263157895,-0.17105263157894735,0,-8.876311462432836,-8.958154381045631,30
posterior physics mean + sequential advective stochastic ST,posterior physics mean + RBF,30,-0.016844639131961256,-0.015977673777323287,29,-0.5181032490277561,-0.5180475138175228,30,0.5062982136630211,0.5450574211863477,0,0.021073060411197275,0.0017451813874913569,14,-0.17894736842105263,-0.17763157894736836,0,-9.057078023948389,-9.083093790070405,30
posterior physics mean + sequential advective stochastic ST,posterior physics mean + sequential stochastic ST,30,2.1316506068241868e-05,-9.421171038803688e-06,15,0.00028780421664156933,9.334191795300206e-05,8,0.011681516954551826,0.009803087889188822,8,0.0411553556306823,0.004988059548423962,10,-0.01973684210526316,-0.006578947368421018,3,-0.18076656151555054,-0.14627024592681281,30
advective posterior physics mean + sequential advective stochastic ST,posterior physics mean + sequential advective stochastic ST,30,-0.0029341297143757753,-0.0048869140710514625,20,-0.004196099926907597,-0.004354424960130665,29,0.09377699510688674,0.06180878878515372,6,0.02324257954546738,0.012610324390436745,12,-0.01666666666666666,-0.013157894736842035,6,0.003863391645339146,0.00289526885766489,12
advective posterior physics mean + sequential advective stochastic ST,advective posterior physics mean + RBF,30,-0.014271524258794297,-0.013616640672941965,23,-0.5213507457811704,-0.5217948031407149,30,0.5622058438510174,0.5647838934011604,0,-0.015337083738868766,0.00355230642341553,14,-0.19210526315789475,-0.19078947368421045,0,-9.053313523193584,-9.069480929389371,30
