method,overall_crps_K,above_ceiling_crps_K,top_1pct_crps_K,top_1pct_rmse_K,top_1pct_coverage_95,top_1pct_interval_width_95_K,marginal_covariance_or_innovation_sd_K
Posterior physics mean + RBF,0.7279926525921767,1.3586671109903072,2.242930908631004,4.173155531890128,0.8551282051282051,12.556988644549604,3.4305133895116975
Variance-matched posterior physics mean + RBF (diagnostic),0.2108810997740649,1.2127023281613083,2.8075958173663382,4.303672234567367,0.3025641025641025,2.6740982983189197,0.7159318740849117
Posterior physics mean + sequential advective ST (moment-matched),0.2098894035644207,1.1965540942481454,2.749229122294025,4.3016681142430055,0.3884615384615384,3.330478775720964,0.7159318740849117
Posterior-sample mixture sequential advective ST,0.2099409573634608,1.196938605606427,2.7447599451586484,4.296549797582079,0.3987179487179487,3.352242418660968,0.7159318740849117
