trajectory,method,n_observations,n_saturated,threshold_K,excess_field_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,hot_region_95_interval_width_K,mean_95_interval_width_K,mean_crps_K,hot_region_crps_K,fixed_top_01_crps_K,role,rmse_K,signed_error_K
DiagonalScanPath_1,Posterior physics mean + RBF,117,2,294.6560504149699,0.4294029991440301,334.19579037327884,341.3672500501756,7.171459676896745,3.4196267389534687,True,0.9988004798080767,0.9605263157894737,12.319257041988285,11.45332749617605,0.7299683265097255,1.3916884388202955,2.3011106844812397,evaluation,0.5284608269326978,0.05061790400225436
DiagonalScanPath_1,Advective posterior physics mean + RBF,117,2,294.6560504149699,0.4135647442463844,334.19579037327884,341.2595438213388,7.06375344805997,3.4196267389534687,False,0.9976009596161536,0.9342105263157895,12.207162694157484,11.457425795427342,0.7266754234767067,1.3510566981633052,2.2501549950958197,evaluation,0.5089688874328219,0.04935561345143042
DiagonalScanPath_1,Posterior physics mean + sequential ST (moment-matched),117,2,294.6560504149699,0.40085660354447605,334.19579037327884,341.4100847013294,7.214294328050585,0.9697773720738175,False,0.9928028788484606,0.7894736842105263,3.2395793347399584,2.539618801915614,0.20985341458439838,1.1872667229641158,2.5709881419941216,evaluation,0.4933291397890125,0.045863257712784475
DiagonalScanPath_1,Posterior physics mean + sequential advective ST (moment-matched),117,2,294.6560504149699,0.4004184126327444,334.19579037327884,341.40031906300794,7.204528689729102,0.8265421077118603,False,0.989204318272691,0.6973684210526315,3.1040594977257987,2.5337929854912145,0.21067175063430674,1.1988136579130089,2.573050503951288,evaluation,0.4927898637894743,0.04618296196449793
DiagonalScanPath_1,Advective posterior mean + sequential advective ST (moment-matched),117,2,294.6560504149699,0.38867327294593706,334.19579037327884,341.27780858077665,7.082018207497811,0.8290475318105929,False,0.9924030387844862,0.7763157894736842,3.1174121902033938,2.5335266498121194,0.20266426691471728,1.1620152093172835,2.5722946648329312,evaluation,0.47833526928570286,0.0444213525068508
DiagonalScanPath_2,Posterior physics mean + RBF,117,1,294.7833581687172,0.4500120400775851,330.73381085494185,327.41425624182443,3.3195546131174183,3.4196267389534687,True,0.9984006397441023,0.9473684210526315,12.09488155190808,11.467866173339916,0.7289479423981295,1.4124691677417236,2.5546812764859603,evaluation,0.5398080701550992,0.047783501991700096
DiagonalScanPath_2,Advective posterior physics mean + RBF,117,1,294.7833581687172,0.4428990943532299,330.73381085494185,327.1549058475625,3.578905007379376,3.4196267389534687,True,0.998000799680128,0.9342105263157895,12.230374872002418,11.467442168856664,0.7286741397047252,1.439490790578408,2.644315732088766,evaluation,0.5312757973209765,0.05339686055302044
DiagonalScanPath_2,Posterior physics mean + sequential ST (moment-matched),117,1,294.7833581687172,0.43515148531610814,330.73381085494185,327.4074102378975,3.326400617044328,0.8034341806423312,False,0.9920031987205118,0.7368421052631579,3.0232904999738306,2.533362239454678,0.212458272656299,1.2967729892334907,3.195499646046318,evaluation,0.521982219571537,0.043832793337677756
DiagonalScanPath_2,Posterior physics mean + sequential advective ST (moment-matched),117,1,294.7833581687172,0.43516959740266803,330.73381085494185,327.4121539376227,3.32165691731916,0.7646581998969466,False,0.9920031987205118,0.7368421052631579,2.8621541110060096,2.52882527612103,0.2125763998862669,1.2988519815352686,3.2120329646173924,evaluation,0.5220039457691088,0.043674896053376905
DiagonalScanPath_2,Advective posterior mean + sequential advective ST (moment-matched),117,1,294.7833581687172,0.4298811017389075,330.73381085494185,327.17354880842936,3.5602620465124915,0.764658199860668,False,0.991203518592563,0.7236842105263158,2.8221279337199032,2.528319286810673,0.2068964055361528,1.3173137966896362,3.247565625398224,evaluation,0.5156601763051051,0.045636740174388284
